Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,1,305497,Greek,23146,Βίβλος,Biblos,N-NFS,Noun - Nominative Feminine Singular,976,Matthew 1:1,The Genealogy of Jesus,(Ruth 4:18–22; Luke 3:23–38), [This is the] record ,,"Properly, the inner bark of the papyrus plant, i.e. a sheet or scroll of writing."
999999,2,305498,Greek,23146,γενέσεως,geneseōs,N-GFS,Noun - Genitive Feminine Singular,1078,,,, of [the] genealogy ,,"Birth, lineage, descent. From the same as genea; nativity; figuratively, nature."
999999,3,305499,Greek,23146,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, of Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,4,305500,Greek,23146,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,," Christ , ",,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,5,305501,Greek,23146,υἱοῦ,huiou,N-GMS,Noun - Genitive Masculine Singular,5207,,,, [the] son ,,"A son, descendent. Apparently a primary word; a |son|, used very widely of immediate, remote or figuratively, kinship."
999999,6,305502,Greek,23146,Δαυὶδ,Dauid,N-GMS,Noun - Genitive Masculine Singular,1138,,,," of David , ",,"David, King of Israel. Of Hebrew origin; Dabid, the Israelite king."
999999,7,305503,Greek,23146,υἱοῦ,huiou,N-GMS,Noun - Genitive Masculine Singular,5207,,,, [the] son ,,"A son, descendent. Apparently a primary word; a |son|, used very widely of immediate, remote or figuratively, kinship."
999999,8,305504,Greek,23146,Ἀβραάμ,Abraam,N-GMS,Noun - Genitive Masculine Singular,11,,,, of Abraham : ,,"Abraham, progenitor of the Hebrew race. Of Hebrew origin; Abraham, the Hebrew patriarch."
999999,9,305505,Greek,23147,Ἀβραὰμ,Abraam,N-NMS,Noun - Nominative Masculine Singular,11,Matthew 1:2,,, Abraham ,,"Abraham, progenitor of the Hebrew race. Of Hebrew origin; Abraham, the Hebrew patriarch."
999999,10,305506,Greek,23147,ἐγέννησεν,egennēsen,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,1080,,,, was the father of ,,"From a variation of genos; to procreate; figuratively, to regenerate."
999999,11,305507,Greek,23147,τὸν,ton,Art-AMS,Article - Accusative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,12,305508,Greek,23147,Ἰσαάκ,Isaak,N-AMS,Noun - Accusative Masculine Singular,2464,,,," Isaac , ",,"(Hebrew), Isaac, the patriarch. Of Hebrew origin; Isaac, the son of Abraham."
999999,14,305509,Greek,23147,δὲ,de,Conj,Conjunction,1161,,,, - ,,"A primary particle; but, and, etc."
999999,13,305510,Greek,23147,Ἰσαὰκ,Isaak,N-NMS,Noun - Nominative Masculine Singular,2464,,,, Isaac ,,"(Hebrew), Isaac, the patriarch. Of Hebrew origin; Isaac, the son of Abraham."
999999,15,305511,Greek,23147,ἐγέννησεν,egennēsen,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,1080,,,, the father of ,,"From a variation of genos; to procreate; figuratively, to regenerate."
999999,16,305512,Greek,23147,τὸν,ton,Art-AMS,Article - Accusative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,17,305513,Greek,23147,Ἰακώβ,Iakōb,N-AMS,Noun - Accusative Masculine Singular,2384,,,," Jacob , ",,"Of Hebrew origin; Jacob, the progenitor of the Israelites."
999999,19,305514,Greek,23147,δὲ,de,Conj,Conjunction,1161,,,, and ,,"A primary particle; but, and, etc."
999999,18,305515,Greek,23147,Ἰακὼβ,Iakōb,N-NMS,Noun - Nominative Masculine Singular,2384,,,, Jacob ,,"Of Hebrew origin; Jacob, the progenitor of the Israelites."
999999,20,305516,Greek,23147,ἐγέννησεν,egennēsen,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,1080,,,, the father of ,,"From a variation of genos; to procreate; figuratively, to regenerate."
999999,21,305517,Greek,23147,τὸν,ton,Art-AMS,Article - Accusative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,22,305518,Greek,23147,Ἰούδαν,Ioudan,N-AMS,Noun - Accusative Masculine Singular,2455,,,, Judah ,,"Of Hebrew origin; Judas, the name of ten Israelites; also of the posterity of one of them and its region."
999999,23,305519,Greek,23147,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,24,305520,Greek,23147,τοὺς,tous,Art-AMP,Article - Accusative Masculine Plural,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,26,305521,Greek,23147,αὐτοῦ,autou,PPro-GM3S,Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular,846,,,, his ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,25,305522,Greek,23147,ἀδελφοὺς,adelphous,N-AMP,Noun - Accusative Masculine Plural,80,,,, brothers . ,,"A brother, member of the same religious community, especially a fellow-Christian. A brother near or remote."
999999,27,305523,Greek,23148,Ἰούδας,Ioudas,N-NMS,Noun - Nominative Masculine Singular,2455,Matthew 1:3,,, Judah ,,"Of Hebrew origin; Judas, the name of ten Israelites; also of the posterity of one of them and its region."
999999,28,305524,Greek,23148,δὲ,de,Conj,Conjunction,1161,,,, - ,,"A primary particle; but, and, etc."
999999,29,305525,Greek,23148,ἐγέννησεν,egennēsen,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,1080,,,, was the father of ,,"From a variation of genos; to procreate; figuratively, to regenerate."
999999,30,305526,Greek,23148,τὸν,ton,Art-AMS,Article - Accusative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,31,305527,Greek,23148,Φαρὲς,Phares,N-AMS,Noun - Accusative Masculine Singular,5329,,,, Perez ,,"Perez, son of Judah and one of the ancestors of Jesus. Of Hebrew origin; Phares, an Israelite."
999999,32,305528,Greek,23148,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,33,305529,Greek,23148,τὸν,ton,Art-AMS,Article - Accusative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
