Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,18374,323870,Greek,24217,Ἀρχὴ,Archē,N-NFS,Noun - Nominative Feminine Singular,746,Mark 1:1,The Mission of John the Baptist,(Isaiah 40:1–5; Matthew 3:1–17; Luke 3:1–22; John 1:19–34), [This is the] beginning ,,"From archomai; a commencement, or chief."
999999,18375,323871,Greek,24217,τοῦ,tou,Art-GNS,Article - Genitive Neuter Singular,3588,,,, of the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,18376,323872,Greek,24217,εὐαγγελίου,euangeliou,N-GNS,Noun - Genitive Neuter Singular,2098,,,, gospel ,,"From the same as euaggelizo; a good message, i.e. The gospel."
999999,18377,323873,Greek,24217,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, of Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,18378,323874,Greek,24217,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,," Christ , ",,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,18379,323875,Greek,24217,[[Υἱοῦ,Huiou,N-GMS,Noun - Genitive Masculine Singular,5207,,,, [the] Son ,,"A son, descendent. Apparently a primary word; a |son|, used very widely of immediate, remote or figuratively, kinship."
999999,18379.5,323875.5,Greek,24217,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,18380,323876,Greek,24217,Θεοῦ]],Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, of God . ,"ECM, NE, BYZ, and TR; SBL and WH <i>the beginning of the gospel of Jesus Christ.</i>","A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,18381,323877,Greek,24218,Καθὼς,Kathōs,Adv,Adverb,2531,Mark 1:2,,, As ,,"According to the manner in which, in the degree that, just as, as. From kata and hos; just as, that."
999999,18382,323878,Greek,24218,γέγραπται,gegraptai,V-RIM/P-3S,Verb - Perfect Indicative Middle or Passive - 3rd Person Singular,1125,,,, it is written ,,"A primary verb; to |grave|, especially to write; figuratively, to describe."
999999,18383,323879,Greek,24218,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
