Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,29659,335155,Greek,24895,Ἐπειδήπερ,Epeidēper,Conj,Conjunction,1895,Luke 1:1,Dedication to Theophilus,(Acts 1:1–3), - ,,"Since, forasmuch as. From epeide and per; since indeed."
999999,29660,335156,Greek,24895,πολλοὶ,polloi,Adj-NMP,Adjective - Nominative Masculine Plural,4183,,,, Many ,,"Much, many; often. "
999999,29661,335157,Greek,24895,ἐπεχείρησαν,epecheirēsan,V-AIA-3P,Verb - Aorist Indicative Active - 3rd Person Plural,2021,,,, have undertaken ,,"To take in hand, attempt. From epi and cheir; to put the hand upon, i.e. Undertake."
999999,29662,335158,Greek,24895,ἀνατάξασθαι,anataxasthai,V-ANM,Verb - Aorist Infinitive Middle,392,,,, to compose ,,From ana and the middle voice of tasso; to arrange.
999999,29663,335159,Greek,24895,διήγησιν,diēgēsin,N-AFS,Noun - Accusative Feminine Singular,1335,,,, an account ,,A narrative. From diegeomai; a recital.
999999,29664,335160,Greek,24895,περὶ,peri,Prep,Preposition,4012,,,, of ,,"From the base of peran; properly, through, i.e. Around; figuratively with respect to; used in various applications, of place, cause or time."
999999,29665,335161,Greek,24895,τῶν,tōn,Art-GNP,Article - Genitive Neuter Plural,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,29669,335162,Greek,24895,πραγμάτων,pragmatōn,N-GNP,Noun - Genitive Neuter Plural,4229,,,, things that ,,"A thing done, a deed, action; a matter, an affair. From prasso; a deed; by implication, an affair; by extension, an object."
999999,29666,335163,Greek,24895,πεπληροφορημένων,peplērophorēmenōn,V-RPM/P-GNP,Verb - Perfect Participle Middle or Passive - Genitive Neuter Plural,4135,,,, have been fulfilled ,,"From pleres and phoreo; to carry out fully, i.e. Completely assure, entirely accomplish."
999999,29667,335164,Greek,24895,ἐν,en,Prep,Preposition,1722,,,, among ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,29668,335165,Greek,24895,ἡμῖν,hēmin,PPro-D1P,Personal / Possessive Pronoun - Dative 1st Person Plural,1473,,,," us , ",,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,29670,335166,Greek,24896,καθὼς,kathōs,Adv,Adverb,2531,Luke 1:2,,, just as ,,"According to the manner in which, in the degree that, just as, as. From kata and hos; just as, that."
999999,29673,335167,Greek,24896,οἱ,hoi,Art-NMP,Article - Nominative Masculine Plural,3588,,,, they ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,29671,335168,Greek,24896,παρέδοσαν,paredosan,V-AIA-3P,Verb - Aorist Indicative Active - 3rd Person Plural,3860,,,, were handed down ,,"From para and didomi; to surrender, i.e yield up, intrust, transmit."
999999,29672,335169,Greek,24896,ἡμῖν,hēmin,PPro-D1P,Personal / Possessive Pronoun - Dative 1st Person Plural,1473,,,, to us ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,29674,335170,Greek,24896,ἀπ’,ap’,Prep,Preposition,575,,,, by ,,"From, away from. A primary particle; |off, | i.e. Away, in various senses."
999999,29675,335171,Greek,24896,ἀρχῆς,archēs,N-GFS,Noun - Genitive Feminine Singular,746,,,, the initial ,,"From archomai; a commencement, or chief."
999999,29679,335172,Greek,24896,γενόμενοι,genomenoi,V-APM-NMP,Verb - Aorist Participle Middle - Nominative Masculine Plural,1096,,,, - ,,"A prolongation and middle voice form of a primary verb; to cause to be, i.e. to become, used with great latitude."
999999,29676,335173,Greek,24896,αὐτόπται,autoptai,N-NMP,Noun - Nominative Masculine Plural,845,,,, eyewitnesses ,,"An eye-witness. From autos and optanomai; self-seeing, i.e. An eye-witness."
999999,29677,335174,Greek,24896,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,29678,335175,Greek,24896,ὑπηρέται,hypēretai,N-NMP,Noun - Nominative Masculine Plural,5257,,,, servants ,,"From hupo and a derivative of eresso; an under-oarsman, i.e. subordinate."
999999,29680,335176,Greek,24896,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,,,, of the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,29681,335177,Greek,24896,λόγου,logou,N-GMS,Noun - Genitive Masculine Singular,3056,,,, word . ,,"From lego; something said; by implication, a topic, also reasoning or motive; by extension, a computation; specially, the Divine Expression."
999999,29684,335178,Greek,24897,παρηκολουθηκότι,parēkolouthēkoti,V-RPA-DMS,Verb - Perfect Participle Active - Dative Masculine Singular,3877,Luke 1:3,,," Therefore, having carefully investigated ",,"From para and akoloutheo; to follow near, i.e. attend, trace out, conform to."
999999,29687,335179,Greek,24897,ἀκριβῶς,akribōs,Adv,Adverb,199,,,, . . . ,,"Carefully, exactly, strictly, distinctly. Adverb from the same as akribestatos; exactly."
999999,29686,335180,Greek,24897,πᾶσιν,pasin,Adj-DNP,Adjective - Dative Neuter Plural,3956,,,, everything ,,"All, the whole, every kind of. Including all the forms of declension; apparently a primary word; all, any, every, the whole."
999999,29685,335181,Greek,24897,ἄνωθεν,anōthen,Adv,Adverb,509,,,," from the beginning , ",,"From ano; from above; by analogy, from the first; by implication, anew."
999999,29682,335182,Greek,24897,ἔδοξε,edoxe,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,1380,,,, it seemed good ,,"A prolonged form of a primary verb, doko dok'-o of the same meaning; to think; by implication, to seem."
999999,29683,335183,Greek,24897,κἀμοὶ,kamoi,PPro-D1S,Personal / Possessive Pronoun - Dative 1st Person Singular,2504,,,, also to me ,,"To also, I too, but I. From kai and ego; so also the dative case kamoi, and accusative case kame and I, me."
999999,29690,335184,Greek,24897,γράψαι,grapsai,V-ANA,Verb - Aorist Infinitive Active,1125,,,, to write ,,"A primary verb; to |grave|, especially to write; figuratively, to describe."
999999,29688,335185,Greek,24897,καθεξῆς,kathexēs,Adv,Adverb,2517,,,, an orderly account ,,"From kata and hexes; thereafter, i.e. Consecutively; as a noun a subsequent person or time."
999999,29689,335186,Greek,24897,σοι,soi,PPro-D2S,Personal / Possessive Pronoun - Dative 2nd Person Singular,4771,,,," for you , ",,You. The person pronoun of the second person singular; thou.
999999,29691,335187,Greek,24897,κράτιστε,kratiste,Adj-VMS-S,Adjective - Vocative Masculine Singular - Superlative,2903,,,, most excellent ,,"Superlative of a derivative of kratos; strongest, i.e. very honorable."
999999,29692,335188,Greek,24897,Θεόφιλε,Theophile,N-VMS,Noun - Vocative Masculine Singular,2321,,,," Theophilus , ",,"From theos and philos; friend of God; Theophilus, a Christian."
999999,29693,335189,Greek,24898,ἵνα,hina,Conj,Conjunction,2443,Luke 1:4,,, so that ,,"In order that, so that. Probably from the same as the former part of heautou; in order that."
999999,29694,335190,Greek,24898,ἐπιγνῷς,epignōs,V-ASA-2S,Verb - Aorist Subjunctive Active - 2nd Person Singular,1921,,,, you may know ,,"From epi and ginosko; to know upon some mark, i.e. Recognize; by implication, to become fully acquainted with, to acknowledge."
999999,29699,335191,Greek,24898,τὴν,tēn,Art-AFS,Article - Accusative Feminine Singular,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,29700,335192,Greek,24898,ἀσφάλειαν,asphaleian,N-AFS,Noun - Accusative Feminine Singular,803,,,, certainty ,,"Safety, security, reliability, firmness. From asphales; security."
999999,29695,335193,Greek,24898,περὶ,peri,Prep,Preposition,4012,,,, of ,,"From the base of peran; properly, through, i.e. Around; figuratively with respect to; used in various applications, of place, cause or time."
999999,29698,335194,Greek,24898,λόγων,logōn,N-GMP,Noun - Genitive Masculine Plural,3056,,,, [the] things ,,"From lego; something said; by implication, a topic, also reasoning or motive; by extension, a computation; specially, the Divine Expression."
