Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,49168,354664,Greek,26046,Ἐν,En,Prep,Preposition,1722,John 1:1,The Beginning,(Genesis 1:1–2; Hebrews 11:1–3), In ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,49169,354665,Greek,26046,ἀρχῇ,archē,N-DFS,Noun - Dative Feminine Singular,746,,,, [the] beginning ,,"From archomai; a commencement, or chief."
999999,49170,354666,Greek,26046,ἦν,ēn,V-IIA-3S,Verb - Imperfect Indicative Active - 3rd Person Singular,1510,,,, was ,,"I am, exist. The first person singular present indicative; a prolonged form of a primary and defective verb; I exist."
999999,49171,354667,Greek,26046,ὁ,ho,Art-NMS,Article - Nominative Masculine Singular,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,49172,354668,Greek,26046,Λόγος,Logos,N-NMS,Noun - Nominative Masculine Singular,3056,,,," Word , ",,"From lego; something said; by implication, a topic, also reasoning or motive; by extension, a computation; specially, the Divine Expression."
999999,49173,354669,Greek,26046,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,49174,354670,Greek,26046,ὁ,ho,Art-NMS,Article - Nominative Masculine Singular,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,49175,354671,Greek,26046,Λόγος,Logos,N-NMS,Noun - Nominative Masculine Singular,3056,,,, Word ,,"From lego; something said; by implication, a topic, also reasoning or motive; by extension, a computation; specially, the Divine Expression."
999999,49176,354672,Greek,26046,ἦν,ēn,V-IIA-3S,Verb - Imperfect Indicative Active - 3rd Person Singular,1510,,,, was ,,"I am, exist. The first person singular present indicative; a prolonged form of a primary and defective verb; I exist."
999999,49177,354673,Greek,26046,πρὸς,pros,Prep,Preposition,4314,,,, with ,,"To, towards, with. A strengthened form of pro; a preposition of direction; forward to, i.e. Toward."
