Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,64829,370324,Greek,26925,μὲν,men,Prtcl,Particle,3303,Acts 1:1,Prologue,(Luke 1:1–4), - ,,"A primary particle; properly, indicative of affirmation or concession; usually followed by a contrasted clause with de."
999999,64828,370325,Greek,26925,Τὸν,Ton,Art-AMS,Article - Accusative Masculine Singular,3588,,,, In my ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,64830,370326,Greek,26925,πρῶτον,prōton,Adj-AMS,Adjective - Accusative Masculine Singular,4413,,,, first ,,"First, before, principal, most important. Contracted superlative of pro; foremost."
999999,64831,370327,Greek,26925,λόγον,logon,N-AMS,Noun - Accusative Masculine Singular,3056,,,," book , ",,"From lego; something said; by implication, a topic, also reasoning or motive; by extension, a computation; specially, the Divine Expression."
999999,64835,370328,Greek,26925,ὦ,ō,I,Interjection,5599,,,, O ,,"A primary interjection; as a sign of the vocative case, O; as a note of exclamation, oh."
999999,64836,370329,Greek,26925,Θεόφιλε,Theophile,N-VMS,Noun - Vocative Masculine Singular,2321,,,," Theophilus , ",,"From theos and philos; friend of God; Theophilus, a Christian."
999999,64832,370330,Greek,26925,ἐποιησάμην,epoiēsamēn,V-AIM-1S,Verb - Aorist Indicative Middle - 1st Person Singular,4160,,,, I wrote ,,"(a) I make, manufacture, construct, (b) I do, act, cause. Apparently a prolonged form of an obsolete primary; to make or do."
999999,64833,370331,Greek,26925,περὶ,peri,Prep,Preposition,4012,,,, about ,,"From the base of peran; properly, through, i.e. Around; figuratively with respect to; used in various applications, of place, cause or time."
999999,64834,370332,Greek,26925,πάντων,pantōn,Adj-GNP,Adjective - Genitive Neuter Plural,3956,,,, all ,,"All, the whole, every kind of. Including all the forms of declension; apparently a primary word; all, any, every, the whole."
999999,64837,370333,Greek,26925,ὧν,hōn,RelPro-GNP,Personal / Relative Pronoun - Genitive Neuter Plural,3739,,,, that ,,"Who, which, what, that. "
