Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,83287,388783,Greek,27932,Παῦλος,Paulos,N-NMS,Noun - Nominative Masculine Singular,3972,Romans 1:1,Paul Greets the Saints in Rome,," Paul , ",,"Paul, Paulus. Of Latin origin; Paulus, the name of a Roman and of an apostle."
999999,83288,388784,Greek,27932,δοῦλος,doulos,N-NMS,Noun - Nominative Masculine Singular,1401,,,, a servant ,,"(a) (as adj.) enslaved, (b) (as noun) a (male) slave. From deo; a slave."
999999,83289,388785,Greek,27932,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, of Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,83290,388786,Greek,27932,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,," Jesus , ",,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,83291,388787,Greek,27932,κλητὸς,klētos,Adj-NMS,Adjective - Nominative Masculine Singular,2822,,,, called [to be] ,,"From the same as klesis; invited, i.e. Appointed, or, a saint."
999999,83292,388788,Greek,27932,ἀπόστολος,apostolos,N-NMS,Noun - Nominative Masculine Singular,652,,,," [an] apostle , ",,"From apostello; a delegate; specially, an ambassador of the Gospel; officially a commissioner of Christ."
999999,83293,388789,Greek,27932,ἀφωρισμένος,aphōrismenos,V-RPM/P-NMS,Verb - Perfect Participle Middle or Passive - Nominative Masculine Singular,873,,,, [and] set apart ,,"To rail off, separate, place apart. From apo and horizo; to set off by boundary, i.e. limit, exclude, appoint, etc."
999999,83294,388790,Greek,27932,εἰς,eis,Prep,Preposition,1519,,,, for ,,"A primary preposition; to or into, of place, time, or purpose; also in adverbial phrases."
999999,83295,388791,Greek,27932,εὐαγγέλιον,euangelion,N-ANS,Noun - Accusative Neuter Singular,2098,,,, [the] gospel ,,"From the same as euaggelizo; a good message, i.e. The gospel."
999999,83296,388792,Greek,27932,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, of God — ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,83297,388793,Greek,27933,ὃ,ho,RelPro-ANS,Personal / Relative Pronoun - Accusative Neuter Singular,3739,Romans 1:2,,, [the gospel] ,,"Who, which, what, that. "
999999,83298,388794,Greek,27933,προεπηγγείλατο,proepēngeilato,V-AIM-3S,Verb - Aorist Indicative Middle - 3rd Person Singular,4279,,,, He promised beforehand ,,To promise beforehand. Middle voice from pro and epaggello; to promise of old.
999999,83299,388795,Greek,27933,διὰ,dia,Prep,Preposition,1223,,,, through ,,A primary preposition denoting the channel of an act; through.
999999,83302,388796,Greek,27933,αὐτοῦ,autou,PPro-GM3S,Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular,846,,,, His ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,83300,388797,Greek,27933,τῶν,tōn,Art-GMP,Article - Genitive Masculine Plural,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,83301,388798,Greek,27933,προφητῶν,prophētōn,N-GMP,Noun - Genitive Masculine Plural,4396,,,, prophets ,,"From a compound of pro and phemi; a foreteller; by analogy, an inspired speaker; by extension, a poet."
999999,83303,388799,Greek,27933,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,83305,388800,Greek,27933,ἁγίαις,hagiais,Adj-DFP,Adjective - Dative Feminine Plural,40,,,, [the] Holy ,,"Set apart by (or for) God, holy, sacred. From hagos; sacred."
999999,83304,388801,Greek,27933,γραφαῖς,graphais,N-DFP,Noun - Dative Feminine Plural,1124,,,," Scriptures , ",,"(a) a writing, (b) a passage of scripture; plur: the scriptures. A document, i.e. Holy Writ."
999999,83306,388802,Greek,27934,περὶ,peri,Prep,Preposition,4012,Romans 1:3,,, regarding ,,"From the base of peran; properly, through, i.e. Around; figuratively with respect to; used in various applications, of place, cause or time."
999999,83309,388803,Greek,27934,αὐτοῦ,autou,PPro-GM3S,Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular,846,,,, His ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,83307,388804,Greek,27934,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,83308,388805,Greek,27934,Υἱοῦ,Huiou,N-GMS,Noun - Genitive Masculine Singular,5207,,,," Son , ",,"A son, descendent. Apparently a primary word; a |son|, used very widely of immediate, remote or figuratively, kinship."
999999,83310,388806,Greek,27934,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,,,, who ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,83311,388807,Greek,27934,γενομένου,genomenou,V-APM-GMS,Verb - Aorist Participle Middle - Genitive Masculine Singular,1096,,,, was a descendant ,,"A prolongation and middle voice form of a primary verb; to cause to be, i.e. to become, used with great latitude."
999999,83312,388808,Greek,27934,ἐκ,ek,Prep,Preposition,1537,,,, . . . ,,"From out, out from among, from, suggesting from the interior outwards. A primary preposition denoting origin, from, out."
999999,83313,388809,Greek,27934,σπέρματος,spermatos,N-GNS,Noun - Genitive Neuter Singular,4690,,,, . . . ,,"From speiro; something sown, i.e. Seed; by implication, offspring; specially, a remnant."
999999,83314,388810,Greek,27934,Δαυὶδ,Dauid,N-GMS,Noun - Genitive Masculine Singular,1138,,,, of David ,,"David, King of Israel. Of Hebrew origin; Dabid, the Israelite king."
999999,83315,388811,Greek,27934,κατὰ,kata,Prep,Preposition,2596,,,, according to ,,"A primary particle; down, in varied relations (genitive, dative or accusative) with which it is joined)."
999999,83316,388812,Greek,27934,σάρκα,sarka,N-AFS,Noun - Accusative Feminine Singular,4561,,,," [the] flesh , ",,"Flesh, body, human nature, materiality; kindred. "
999999,83317,388813,Greek,27935,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,Romans 1:4,,, [and] who ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,83323,388814,Greek,27935,κατὰ,kata,Prep,Preposition,2596,,,, through ,,"A primary particle; down, in varied relations (genitive, dative or accusative) with which it is joined)."
999999,83324,388815,Greek,27935,πνεῦμα,pneuma,N-ANS,Noun - Accusative Neuter Singular,4151,,,, [the] Spirit ,,"Wind, breath, spirit. "
999999,83325,388816,Greek,27935,ἁγιωσύνης,hagiōsynēs,N-GFS,Noun - Genitive Feminine Singular,42,,,, of holiness ,,A holy or sanctified state. From hagios; sacredness.
999999,83318,388817,Greek,27935,ὁρισθέντος,horisthentos,V-APP-GMS,Verb - Aorist Participle Passive - Genitive Masculine Singular,3724,,,, was declared ,,"From horion; to mark out or bound, i.e. to appoint, decree, specify."
999999,83321,388818,Greek,27935,ἐν,en,Prep,Preposition,1722,,,, with ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,83322,388819,Greek,27935,δυνάμει,dynamei,N-DFS,Noun - Dative Feminine Singular,1411,,,, power ,,"From dunamai; force; specially, miraculous power."
999999,83319,388820,Greek,27935,Υἱοῦ,Huiou,N-GMS,Noun - Genitive Masculine Singular,5207,,,, [to be the] Son ,,"A son, descendent. Apparently a primary word; a |son|, used very widely of immediate, remote or figuratively, kinship."
