Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,97245,402741,Greek,28802,Παῦλος,Paulos,N-NMS,Noun - Nominative Masculine Singular,3972,2 Corinthians 1:1,Paul Greets the Corinthians,(Acts 18:1–11; 1 Corinthians 1:1–3)," Paul , ",,"Paul, Paulus. Of Latin origin; Paulus, the name of a Roman and of an apostle."
999999,97246,402742,Greek,28802,ἀπόστολος,apostolos,N-NMS,Noun - Nominative Masculine Singular,652,,,, an apostle ,,"From apostello; a delegate; specially, an ambassador of the Gospel; officially a commissioner of Christ."
999999,97247,402743,Greek,28802,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, of Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,97248,402744,Greek,28802,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,97249,402745,Greek,28802,διὰ,dia,Prep,Preposition,1223,,,, by ,,A primary preposition denoting the channel of an act; through.
999999,97250,402746,Greek,28802,θελήματος,thelēmatos,N-GNS,Noun - Genitive Neuter Singular,2307,,,, [the] will ,,"An act of will, will; plur: wishes, desires. From the prolonged form of ethelo; a determination, i.e. choice or inclination."
999999,97251,402747,Greek,28802,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,," of God , ",,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,97252,402748,Greek,28802,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,97253,402749,Greek,28802,Τιμόθεος,Timotheos,N-NMS,Noun - Nominative Masculine Singular,5095,,,, Timothy ,,"Timothy, a Christian of Lystra, helper of Paul. From time and theos; dear to God; Timotheus, a Christian."
999999,97254,402750,Greek,28802,ὁ,ho,Art-NMS,Article - Nominative Masculine Singular,3588,,,, [our] ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,97255,402751,Greek,28802,ἀδελφὸς,adelphos,N-NMS,Noun - Nominative Masculine Singular,80,,,," brother , ",,"A brother, member of the same religious community, especially a fellow-Christian. A brother near or remote."
999999,97256,402752,Greek,28802,Τῇ,Tē,Art-DFS,Article - Dative Feminine Singular,3588,,,, To the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,97257,402753,Greek,28802,ἐκκλησίᾳ,ekklēsia,N-DFS,Noun - Dative Feminine Singular,1577,,,, church ,,"From a compound of ek and a derivative of kaleo; a calling out, i.e. a popular meeting, especially a religious congregation."
999999,97258,402754,Greek,28802,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,97259,402755,Greek,28802,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, of God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,97260,402756,Greek,28802,τῇ,tē,Art-DFS,Article - Dative Feminine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,97261,402757,Greek,28802,οὔσῃ,ousē,V-PPA-DFS,Verb - Present Participle Active - Dative Feminine Singular,1510,,,, - ,,"I am, exist. The first person singular present indicative; a prolonged form of a primary and defective verb; I exist."
999999,97262,402758,Greek,28802,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,97263,402759,Greek,28802,Κορίνθῳ,Korinthō,N-DFS,Noun - Dative Feminine Singular,2882,,,," Corinth , ",,"Corinthus, a city of Greece."
