Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,101722,407218,Greek,29059,Παῦλος,Paulos,N-NMS,Noun - Nominative Masculine Singular,3972,Galatians 1:1,Paul’s Greeting to the Galatians,," Paul , ",,"Paul, Paulus. Of Latin origin; Paulus, the name of a Roman and of an apostle."
999999,101723,407219,Greek,29059,ἀπόστολος,apostolos,N-NMS,Noun - Nominative Masculine Singular,652,,,, an apostle — ,,"From apostello; a delegate; specially, an ambassador of the Gospel; officially a commissioner of Christ."
999999,101724,407220,Greek,29059,οὐκ,ouk,Adv,Adverb,3756,,,, [sent] not ,,"No, not. Also ouk, and ouch a primary word; the absolute negative adverb; no or not."
999999,101725,407221,Greek,29059,ἀπ’,ap’,Prep,Preposition,575,,,, from ,,"From, away from. A primary particle; |off, | i.e. Away, in various senses."
999999,101726,407222,Greek,29059,ἀνθρώπων,anthrōpōn,N-GMP,Noun - Genitive Masculine Plural,444,,,, men ,,"A man, one of the human race. From aner and ops; man-faced, i.e. A human being."
999999,101727,407223,Greek,29059,οὐδὲ,oude,Conj,Conjunction,3761,,,, nor ,,"Neither, nor, not even, and not. From ou and de; not however, i.e. Neither, nor, not even."
999999,101728,407224,Greek,29059,δι’,di’,Prep,Preposition,1223,,,, by ,,A primary preposition denoting the channel of an act; through.
999999,101729,407225,Greek,29059,ἀνθρώπου,anthrōpou,N-GMS,Noun - Genitive Masculine Singular,444,,,," man , ",,"A man, one of the human race. From aner and ops; man-faced, i.e. A human being."
999999,101730,407226,Greek,29059,ἀλλὰ,alla,Conj,Conjunction,235,,,, but ,,"But, except, however. Neuter plural of allos; properly, other things, i.e. contrariwise."
999999,101731,407227,Greek,29059,διὰ,dia,Prep,Preposition,1223,,,, by ,,A primary preposition denoting the channel of an act; through.
999999,101732,407228,Greek,29059,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,101733,407229,Greek,29059,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,101734,407230,Greek,29059,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,101735,407231,Greek,29059,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,101736,407232,Greek,29059,Πατρὸς,Patros,N-GMS,Noun - Genitive Masculine Singular,3962,,,," [the] Father , ",,"Father, (Heavenly) Father, ancestor, elder, senior. Apparently a primary word; a |father|."
999999,101737,407233,Greek,29059,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,,,, who ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,101738,407234,Greek,29059,ἐγείραντος,egeirantos,V-APA-GMS,Verb - Aorist Participle Active - Genitive Masculine Singular,1453,,,, raised ,,"(a) I wake, arouse, (b) I raise up. Probably akin to the base of agora; to waken, i.e. Rouse."
999999,101739,407235,Greek,29059,αὐτὸν,auton,PPro-AM3S,Personal / Possessive Pronoun - Accusative Masculine 3rd Person Singular,846,,,, Him ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,101740,407236,Greek,29059,ἐκ,ek,Prep,Preposition,1537,,,, from ,,"From out, out from among, from, suggesting from the interior outwards. A primary preposition denoting origin, from, out."
999999,101741,407237,Greek,29059,νεκρῶν,nekrōn,Adj-GMP,Adjective - Genitive Masculine Plural,3498,,,, [the] dead — ,,"(a) adj: dead, lifeless, subject to death, mortal, (b) noun: a dead body, a corpse. From an apparently primary nekus; dead."
999999,101742,407238,Greek,29060,καὶ,kai,Conj,Conjunction,2532,Galatians 1:2,,, and ,,"And, even, also, namely. "
999999,101746,407239,Greek,29060,πάντες,pantes,Adj-NMP,Adjective - Nominative Masculine Plural,3956,,,, all ,,"All, the whole, every kind of. Including all the forms of declension; apparently a primary word; all, any, every, the whole."
999999,101743,407240,Greek,29060,οἱ,hoi,Art-NMP,Article - Nominative Masculine Plural,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,101747,407241,Greek,29060,ἀδελφοί,adelphoi,N-NMP,Noun - Nominative Masculine Plural,80,,,, brothers ,,"A brother, member of the same religious community, especially a fellow-Christian. A brother near or remote."
999999,101744,407242,Greek,29060,σὺν,syn,Prep,Preposition,4862,,,, with ,,With. A primary preposition denoting union; with or together.
999999,101745,407243,Greek,29060,ἐμοὶ,emoi,PPro-D1S,Personal / Possessive Pronoun - Dative 1st Person Singular,1473,,,," me , ",,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,101748,407244,Greek,29060,Ταῖς,Tais,Art-DFP,Article - Dative Feminine Plural,3588,,,, To the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
