Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,103953,409449,Greek,29208,Παῦλος,Paulos,N-NMS,Noun - Nominative Masculine Singular,3972,Ephesians 1:1,Paul’s Greeting to the Ephesians,(Acts 19:8–12; Revelation 2:1–7)," Paul , ",,"Paul, Paulus. Of Latin origin; Paulus, the name of a Roman and of an apostle."
999999,103954,409450,Greek,29208,ἀπόστολος,apostolos,N-NMS,Noun - Nominative Masculine Singular,652,,,, an apostle ,,"From apostello; a delegate; specially, an ambassador of the Gospel; officially a commissioner of Christ."
999999,103955,409451,Greek,29208,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, of Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,103956,409452,Greek,29208,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,103957,409453,Greek,29208,διὰ,dia,Prep,Preposition,1223,,,, by ,,A primary preposition denoting the channel of an act; through.
999999,103958,409454,Greek,29208,θελήματος,thelēmatos,N-GNS,Noun - Genitive Neuter Singular,2307,,,, [the] will ,,"An act of will, will; plur: wishes, desires. From the prolonged form of ethelo; a determination, i.e. choice or inclination."
999999,103959,409455,Greek,29208,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,," of God , ",,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,103960,409456,Greek,29208,Τοῖς,Tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, To the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,103961,409457,Greek,29208,ἁγίοις,hagiois,Adj-DMP,Adjective - Dative Masculine Plural,40,,,, saints ,,"Set apart by (or for) God, holy, sacred. From hagos; sacred."
999999,103962,409458,Greek,29208,τοῖς,tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,103963,409459,Greek,29208,οὖσιν,ousin,V-PPA-DMP,Verb - Present Participle Active - Dative Masculine Plural,1510,,,, - ,,"I am, exist. The first person singular present indicative; a prolonged form of a primary and defective verb; I exist."
999999,103964,409460,Greek,29208,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,103965,409461,Greek,29208,Ἐφέσῳ,Ephesō,N-DFS,Noun - Dative Feminine Singular,2181,,,," Ephesus , ",Some manuscripts do not include <i>in Ephesus</i>.,"Ephesus, a coast city, capital of the Roman province Asia. Probably of foreign origin; Ephesus, a city of Asia Minor."
999999,103966,409462,Greek,29208,καὶ,kai,Conj,Conjunction,2532,,,, - ,,"And, even, also, namely. "
999999,103967,409463,Greek,29208,πιστοῖς,pistois,Adj-DMP,Adjective - Dative Masculine Plural,4103,,,, [the] faithful ,,"Trustworthy, faithful, believing. From peitho; objectively, trustworthy; subjectively, trustful."
999999,103968,409464,Greek,29208,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,103969,409465,Greek,29208,Χριστῷ,Christō,N-DMS,Noun - Dative Masculine Singular,5547,,,, Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,103970,409466,Greek,29208,Ἰησοῦ,Iēsou,N-DMS,Noun - Dative Masculine Singular,2424,,,, Jesus : ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,103971,409467,Greek,29209,Χάρις,Charis,N-NFS,Noun - Nominative Feminine Singular,5485,Ephesians 1:2,,, Grace ,,"From chairo; graciousness, of manner or act."
999999,103973,409468,Greek,29209,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,103974,409469,Greek,29209,εἰρήνη,eirēnē,N-NFS,Noun - Nominative Feminine Singular,1515,,,, peace ,,"Probably from a primary verb eiro; peace; by implication, prosperity."
999999,103972,409470,Greek,29209,ὑμῖν,hymin,PPro-D2P,Personal / Possessive Pronoun - Dative 2nd Person Plural,4771,,,, to you ,,You. The person pronoun of the second person singular; thou.
999999,103975,409471,Greek,29209,ἀπὸ,apo,Prep,Preposition,575,,,, from ,,"From, away from. A primary particle; |off, | i.e. Away, in various senses."
999999,103976,409472,Greek,29209,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,103978,409473,Greek,29209,ἡμῶν,hēmōn,PPro-G1P,Personal / Possessive Pronoun - Genitive 1st Person Plural,1473,,,, our ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,103977,409474,Greek,29209,Πατρὸς,Patros,N-GMS,Noun - Genitive Masculine Singular,3962,,,, Father ,,"Father, (Heavenly) Father, ancestor, elder, senior. Apparently a primary word; a |father|."
999999,103979,409475,Greek,29209,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,103980,409476,Greek,29209,Κυρίου,Kyriou,N-GMS,Noun - Genitive Masculine Singular,2962,,,, [the] Lord ,,"Lord, master, sir; the Lord. From kuros; supreme in authority, i.e. controller; by implication, Master."
999999,103981,409477,Greek,29209,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,103982,409478,Greek,29209,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, Christ . ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,103983,409479,Greek,29210,Εὐλογητὸς,Eulogētos,Adj-NMS,Adjective - Nominative Masculine Singular,2128,Ephesians 1:3,Spiritual Blessings,(Romans 8:28–34), Blessed [be] ,,"(used only of God), blessed (as entitled to receive blessing from man), worthy of praise. From eulogeo; adorable."
999999,103984,409480,Greek,29210,ὁ,ho,Art-NMS,Article - Nominative Masculine Singular,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,103985,409481,Greek,29210,Θεὸς,Theos,N-NMS,Noun - Nominative Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,103986,409482,Greek,29210,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,103987,409483,Greek,29210,Πατὴρ,Patēr,N-NMS,Noun - Nominative Masculine Singular,3962,,,, Father ,,"Father, (Heavenly) Father, ancestor, elder, senior. Apparently a primary word; a |father|."
999999,103990,409484,Greek,29210,ἡμῶν,hēmōn,PPro-G1P,Personal / Possessive Pronoun - Genitive 1st Person Plural,1473,,,, of our ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,103988,409485,Greek,29210,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,103989,409486,Greek,29210,Κυρίου,Kyriou,N-GMS,Noun - Genitive Masculine Singular,2962,,,, Lord ,,"Lord, master, sir; the Lord. From kuros; supreme in authority, i.e. controller; by implication, Master."
999999,103991,409487,Greek,29210,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,103992,409488,Greek,29210,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,," Christ , ",,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,103993,409489,Greek,29210,ὁ,ho,Art-NMS,Article - Nominative Masculine Singular,3588,,,, who ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,103994,409490,Greek,29210,εὐλογήσας,eulogēsas,V-APA-NMS,Verb - Aorist Participle Active - Nominative Masculine Singular,2127,,,, has blessed ,,"(lit: I speak well of) I bless; pass: I am blessed. From a compound of eu and logos; to speak well of, i.e. to bless."
999999,103995,409491,Greek,29210,ἡμᾶς,hēmas,PPro-A1P,Personal / Possessive Pronoun - Accusative 1st Person Plural,1473,,,, us ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,104003,409492,Greek,29210,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,104004,409493,Greek,29210,Χριστῷ,Christō,N-DMS,Noun - Dative Masculine Singular,5547,,,, Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,103996,409494,Greek,29210,ἐν,en,Prep,Preposition,1722,,,, with ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,103997,409495,Greek,29210,πάσῃ,pasē,Adj-DFS,Adjective - Dative Feminine Singular,3956,,,, every ,,"All, the whole, every kind of. Including all the forms of declension; apparently a primary word; all, any, every, the whole."
999999,103999,409496,Greek,29210,πνευματικῇ,pneumatikē,Adj-DFS,Adjective - Dative Feminine Singular,4152,,,, spiritual ,,"Spiritual. From pneuma; non-carnal, i.e. ethereal, or a spirit, or supernatural, regenerate, religious."
999999,103998,409497,Greek,29210,εὐλογίᾳ,eulogia,N-DFS,Noun - Dative Feminine Singular,2129,,,, blessing ,,"Adulation, praise, blessing, gift. "
999999,104000,409498,Greek,29210,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,104001,409499,Greek,29210,τοῖς,tois,Art-DNP,Article - Dative Neuter Plural,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,104002,409500,Greek,29210,ἐπουρανίοις,epouraniois,Adj-DNP,Adjective - Dative Neuter Plural,2032,,,, heavenly realms . ,,From epi and ouranos; above the sky.
999999,104005,409501,Greek,29211,καθὼς,kathōs,Adv,Adverb,2531,Ephesians 1:4,,, For ,,"According to the manner in which, in the degree that, just as, as. From kata and hos; just as, that."
999999,104006,409502,Greek,29211,ἐξελέξατο,exelexato,V-AIM-3S,Verb - Aorist Indicative Middle - 3rd Person Singular,1586,,,, He chose ,,"To pick out for myself, choose, elect, select. Middle voice from ek and lego; to select."
999999,104007,409503,Greek,29211,ἡμᾶς,hēmas,PPro-A1P,Personal / Possessive Pronoun - Accusative 1st Person Plural,1473,,,, us ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,104008,409504,Greek,29211,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,104009,409505,Greek,29211,αὐτῷ,autō,PPro-DM3S,Personal / Possessive Pronoun - Dative Masculine 3rd Person Singular,846,,,, Him ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,104010,409506,Greek,29211,πρὸ,pro,Prep,Preposition,4253,,,, before ,,"A primary preposition; |fore|, i.e. In front of, prior to."
999999,104011,409507,Greek,29211,καταβολῆς,katabolēs,N-GFS,Noun - Genitive Feminine Singular,2602,,,, [the] foundation ,,"From kataballo; a deposition, i.e. Founding; figuratively, conception."
999999,104012,409508,Greek,29211,κόσμου,kosmou,N-GMS,Noun - Genitive Masculine Singular,2889,,,, of [the] world ,,"Probably from the base of komizo; orderly arrangement, i.e. Decoration; by implication, the world (morally)."
999999,104014,409509,Greek,29211,ἡμᾶς,hēmas,PPro-A1P,Personal / Possessive Pronoun - Accusative 1st Person Plural,1473,,,, - ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,104013,409510,Greek,29211,εἶναι,einai,V-PNA,Verb - Present Infinitive Active,1510,,,, to be ,,"I am, exist. The first person singular present indicative; a prolonged form of a primary and defective verb; I exist."
999999,104015,409511,Greek,29211,ἁγίους,hagious,Adj-AMP,Adjective - Accusative Masculine Plural,40,,,, holy ,,"Set apart by (or for) God, holy, sacred. From hagos; sacred."
999999,104016,409512,Greek,29211,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,104017,409513,Greek,29211,ἀμώμους,amōmous,Adj-AMP,Adjective - Accusative Masculine Plural,299,,,, blameless ,,"Blameless, without blemish, unblemished, faultless. Unblemished."
999999,104018,409514,Greek,29211,κατενώπιον,katenōpion,Prep,Preposition,2714,,,, in His presence ,,"Before the face of, over against. From kata and enopion; directly in front of."
999999,104019,409515,Greek,29211,αὐτοῦ,autou,PPro-GM3S,Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular,846,,,, . . . . ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,104020,409516,Greek,29211,ἐν,en,Prep,Preposition,1722,,,, In ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,104021,409517,Greek,29211,ἀγάπῃ,agapē,N-DFS,Noun - Dative Feminine Singular,26,,,, love ,,"From agapao; love, i.e. Affection or benevolence; specially a love-feast."
999999,104022,409518,Greek,29212,προορίσας,proorisas,V-APA-NMS,Verb - Aorist Participle Active - Nominative Masculine Singular,4309,Ephesians 1:5,,, He predestined ,,"To foreordain, predetermine, mark out beforehand. From pro and horizo; to limit in advance, i.e. predetermine."
999999,104023,409519,Greek,29212,ἡμᾶς,hēmas,PPro-A1P,Personal / Possessive Pronoun - Accusative 1st Person Plural,1473,,,, us ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,104024,409520,Greek,29212,εἰς,eis,Prep,Preposition,1519,,,, for ,,"A primary preposition; to or into, of place, time, or purpose; also in adverbial phrases."
