Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,106376,411872,Greek,29363,Παῦλος,Paulos,N-NMS,Noun - Nominative Masculine Singular,3972,Philippians 1:1,Greetings from Paul and Timothy,(Colossians 1:1–2; Philemon 1:1–3), Paul ,,"Paul, Paulus. Of Latin origin; Paulus, the name of a Roman and of an apostle."
999999,106377,411873,Greek,29363,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,106378,411874,Greek,29363,Τιμόθεος,Timotheos,N-NMS,Noun - Nominative Masculine Singular,5095,,,," Timothy , ",,"Timothy, a Christian of Lystra, helper of Paul. From time and theos; dear to God; Timotheus, a Christian."
999999,106379,411875,Greek,29363,δοῦλοι,douloi,N-NMP,Noun - Nominative Masculine Plural,1401,,,, servants ,,"(a) (as adj.) enslaved, (b) (as noun) a (male) slave. From deo; a slave."
999999,106380,411876,Greek,29363,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, of Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,106381,411877,Greek,29363,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,," Jesus , ",,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,106382,411878,Greek,29363,Πᾶσιν,Pasin,Adj-DMP,Adjective - Dative Masculine Plural,3956,,,, To all ,,"All, the whole, every kind of. Including all the forms of declension; apparently a primary word; all, any, every, the whole."
999999,106383,411879,Greek,29363,τοῖς,tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,106384,411880,Greek,29363,ἁγίοις,hagiois,Adj-DMP,Adjective - Dative Masculine Plural,40,,,, saints ,,"Set apart by (or for) God, holy, sacred. From hagos; sacred."
999999,106385,411881,Greek,29363,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,106386,411882,Greek,29363,Χριστῷ,Christō,N-DMS,Noun - Dative Masculine Singular,5547,,,, Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,106387,411883,Greek,29363,Ἰησοῦ,Iēsou,N-DMS,Noun - Dative Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,106388,411884,Greek,29363,τοῖς,tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,106389,411885,Greek,29363,οὖσιν,ousin,V-PPA-DMP,Verb - Present Participle Active - Dative Masculine Plural,1510,,,, - ,,"I am, exist. The first person singular present indicative; a prolonged form of a primary and defective verb; I exist."
999999,106390,411886,Greek,29363,ἐν,en,Prep,Preposition,1722,,,, at ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,106391,411887,Greek,29363,Φιλίπποις,Philippois,N-DMP,Noun - Dative Masculine Plural,5375,,,," Philippi , ",,"Philippi, a great city of the Roman province Macedonia. Plural of Philippos; Philippi, a place in Macedonia."
999999,106392,411888,Greek,29363,σὺν,syn,Prep,Preposition,4862,,,, together with ,,With. A primary preposition denoting union; with or together.
999999,106393,411889,Greek,29363,ἐπισκόποις,episkopois,N-DMP,Noun - Dative Masculine Plural,1985,,,, [the] overseers ,,"From epi and skopos; a superintendent, i.e. Christian officer in genitive case charge of a church."
999999,106394,411890,Greek,29363,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,106395,411891,Greek,29363,διακόνοις,diakonois,N-DMP,Noun - Dative Masculine Plural,1249,,,, deacons : ,,"Probably from an obsolete diako; an attendant, i.e. a waiter; specially, a Christian teacher and pastor."
999999,106396,411892,Greek,29364,Χάρις,Charis,N-NFS,Noun - Nominative Feminine Singular,5485,Philippians 1:2,,, Grace ,,"From chairo; graciousness, of manner or act."
999999,106398,411893,Greek,29364,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,106399,411894,Greek,29364,εἰρήνη,eirēnē,N-NFS,Noun - Nominative Feminine Singular,1515,,,, peace ,,"Probably from a primary verb eiro; peace; by implication, prosperity."
999999,106397,411895,Greek,29364,ὑμῖν,hymin,PPro-D2P,Personal / Possessive Pronoun - Dative 2nd Person Plural,4771,,,, to you ,,You. The person pronoun of the second person singular; thou.
999999,106400,411896,Greek,29364,ἀπὸ,apo,Prep,Preposition,575,,,, from ,,"From, away from. A primary particle; |off, | i.e. Away, in various senses."
999999,106401,411897,Greek,29364,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,106403,411898,Greek,29364,ἡμῶν,hēmōn,PPro-G1P,Personal / Possessive Pronoun - Genitive 1st Person Plural,1473,,,, our ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,106402,411899,Greek,29364,Πατρὸς,Patros,N-GMS,Noun - Genitive Masculine Singular,3962,,,, Father ,,"Father, (Heavenly) Father, ancestor, elder, senior. Apparently a primary word; a |father|."
999999,106404,411900,Greek,29364,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,106405,411901,Greek,29364,Κυρίου,Kyriou,N-GMS,Noun - Genitive Masculine Singular,2962,,,, [the] Lord ,,"Lord, master, sir; the Lord. From kuros; supreme in authority, i.e. controller; by implication, Master."
999999,106406,411902,Greek,29364,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,106407,411903,Greek,29364,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, Christ . ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,106408,411904,Greek,29365,Εὐχαριστῶ,Eucharistō,V-PIA-1S,Verb - Present Indicative Active - 1st Person Singular,2168,Philippians 1:3,Thanksgiving and Prayer,(1 Corinthians 1:4–9; Colossians 1:3–14), I thank ,,"From eucharistos; to be grateful, i.e. to express gratitude; specially, to say grace at a meal."
999999,106411,411905,Greek,29365,μου,mou,PPro-G1S,Personal / Possessive Pronoun - Genitive 1st Person Singular,1473,,,, my ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,106409,411906,Greek,29365,τῷ,tō,Art-DMS,Article - Dative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,106410,411907,Greek,29365,Θεῷ,Theō,N-DMS,Noun - Dative Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,106412,411908,Greek,29365,ἐπὶ,epi,Prep,Preposition,1909,,,, vvv ,,"On, to, against, on the basis of, at. "
999999,106414,411909,Greek,29365,τῇ,tē,Art-DFS,Article - Dative Feminine Singular,3588,,,, vvv ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,106413,411910,Greek,29365,πάσῃ,pasē,Adj-DFS,Adjective - Dative Feminine Singular,3956,,,, every time ,,"All, the whole, every kind of. Including all the forms of declension; apparently a primary word; all, any, every, the whole."
999999,106415,411911,Greek,29365,μνείᾳ,mneia,N-DFS,Noun - Dative Feminine Singular,3417,,,, I remember ,,"Remembrance, recollection, mention; commemoration. From mnaomai or mimnesko; recollection; by implication, recital."
999999,106416,411912,Greek,29365,ὑμῶν,hymōn,PPro-G2P,Personal / Possessive Pronoun - Genitive 2nd Person Plural,4771,,,, you . ,,You. The person pronoun of the second person singular; thou.
999999,106418,411913,Greek,29366,ἐν,en,Prep,Preposition,1722,Philippians 1:4,,, In ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,106419,411914,Greek,29366,πάσῃ,pasē,Adj-DFS,Adjective - Dative Feminine Singular,3956,,,, every ,,"All, the whole, every kind of. Including all the forms of declension; apparently a primary word; all, any, every, the whole."
999999,106420,411915,Greek,29366,δεήσει,deēsei,N-DFS,Noun - Dative Feminine Singular,1162,,,, prayer ,,"Supplication, prayer, entreaty. From deomai; a petition."
