Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,111072,416568,Greek,29651,Παῦλος,Paulos,N-NMS,Noun - Nominative Masculine Singular,3972,2 Thessalonians 1:1,Greetings to the Thessalonians,(1 Thessalonians 1:1–10)," Paul , ",,"Paul, Paulus. Of Latin origin; Paulus, the name of a Roman and of an apostle."
999999,111073,416569,Greek,29651,καὶ,kai,Conj,Conjunction,2532,,,, - ,,"And, even, also, namely. "
999999,111074,416570,Greek,29651,Σιλουανὸς,Silouanos,N-NMS,Noun - Nominative Masculine Singular,4610,,,," Silvanus , ","That is, Silas","Silvanus, a Roman citizen and a helper of Paul. Of Latin origin; |silvan|; Silvanus, a Christian."
999999,111075,416571,Greek,29651,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,111076,416572,Greek,29651,Τιμόθεος,Timotheos,N-NMS,Noun - Nominative Masculine Singular,5095,,,," Timothy , ",,"Timothy, a Christian of Lystra, helper of Paul. From time and theos; dear to God; Timotheus, a Christian."
999999,111077,416573,Greek,29651,Τῇ,Tē,Art-DFS,Article - Dative Feminine Singular,3588,,,, To the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,111078,416574,Greek,29651,ἐκκλησίᾳ,ekklēsia,N-DFS,Noun - Dative Feminine Singular,1577,,,, church ,,"From a compound of ek and a derivative of kaleo; a calling out, i.e. a popular meeting, especially a religious congregation."
999999,111079,416575,Greek,29651,Θεσσαλονικέων,Thessalonikeōn,N-GMP,Noun - Genitive Masculine Plural,2331,,,, of [the] Thessalonians ,,"A Thessalonian. From Thessalonike; a Thessalonican, i.e. Inhabitant of Thessalonice."
999999,111080,416576,Greek,29651,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,111081,416577,Greek,29651,Θεῷ,Theō,N-DMS,Noun - Dative Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
