Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,113488,418984,Greek,29811,Παῦλος,Paulos,N-NMS,Noun - Nominative Masculine Singular,3972,2 Timothy 1:1,Paul’s Greeting to Timothy,(1 Timothy 1:1–2)," Paul , ",,"Paul, Paulus. Of Latin origin; Paulus, the name of a Roman and of an apostle."
999999,113489,418985,Greek,29811,ἀπόστολος,apostolos,N-NMS,Noun - Nominative Masculine Singular,652,,,, an apostle ,,"From apostello; a delegate; specially, an ambassador of the Gospel; officially a commissioner of Christ."
999999,113490,418986,Greek,29811,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, of Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,113491,418987,Greek,29811,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,113492,418988,Greek,29811,διὰ,dia,Prep,Preposition,1223,,,, by ,,A primary preposition denoting the channel of an act; through.
999999,113493,418989,Greek,29811,θελήματος,thelēmatos,N-GNS,Noun - Genitive Neuter Singular,2307,,,, [the] will ,,"An act of will, will; plur: wishes, desires. From the prolonged form of ethelo; a determination, i.e. choice or inclination."
999999,113494,418990,Greek,29811,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,," of God , ",,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,113495,418991,Greek,29811,κατ’,kat’,Prep,Preposition,2596,,,, according to ,,"A primary particle; down, in varied relations (genitive, dative or accusative) with which it is joined)."
999999,113496,418992,Greek,29811,ἐπαγγελίαν,epangelian,N-AFS,Noun - Accusative Feminine Singular,1860,,,, [the] promise ,,A promise. From epaggello; an announcement.
999999,113497,418993,Greek,29811,ζωῆς,zōēs,N-GFS,Noun - Genitive Feminine Singular,2222,,,, of life ,,"Life, both of physical (present) and of spiritual (particularly future) existence. From zao; life."
999999,113498,418994,Greek,29811,τῆς,tēs,Art-GFS,Article - Genitive Feminine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,113499,418995,Greek,29811,ἐν,en,Prep,Preposition,1722,,,, in ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,113500,418996,Greek,29811,Χριστῷ,Christō,N-DMS,Noun - Dative Masculine Singular,5547,,,, Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,113501,418997,Greek,29811,Ἰησοῦ,Iēsou,N-DMS,Noun - Dative Masculine Singular,2424,,,," Jesus , ",,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,113502,418998,Greek,29812,Τιμοθέῳ,Timotheō,N-DMS,Noun - Dative Masculine Singular,5095,2 Timothy 1:2,,," To Timothy , ",,"Timothy, a Christian of Lystra, helper of Paul. From time and theos; dear to God; Timotheus, a Christian."
999999,113503,418999,Greek,29812,ἀγαπητῷ,agapētō,Adj-DNS,Adjective - Dative Neuter Singular,27,,,, [my] beloved ,,From agapao; beloved.
999999,113504,419000,Greek,29812,τέκνῳ,teknō,N-DNS,Noun - Dative Neuter Singular,5043,,,, child : ,,"A child, descendent, inhabitant. From the base of timoria; a child."
999999,113505,419001,Greek,29812,Χάρις,Charis,N-NFS,Noun - Nominative Feminine Singular,5485,,,," Grace , ",,"From chairo; graciousness, of manner or act."
999999,113506,419002,Greek,29812,ἔλεος,eleos,N-NNS,Noun - Nominative Neuter Singular,1656,,,," mercy , ",,"Pity, mercy, compassion. Of uncertain affinity; compassion."
999999,113507,419003,Greek,29812,εἰρήνη,eirēnē,N-NFS,Noun - Nominative Feminine Singular,1515,,,, [and] peace ,,"Probably from a primary verb eiro; peace; by implication, prosperity."
999999,113508,419004,Greek,29812,ἀπὸ,apo,Prep,Preposition,575,,,, from ,,"From, away from. A primary particle; |off, | i.e. Away, in various senses."
999999,113509,419005,Greek,29812,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,113510,419006,Greek,29812,Πατρὸς,Patros,N-GMS,Noun - Genitive Masculine Singular,3962,,,, [the] Father ,,"Father, (Heavenly) Father, ancestor, elder, senior. Apparently a primary word; a |father|."
999999,113511,419007,Greek,29812,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,113512,419008,Greek,29812,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,113513,419009,Greek,29812,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,113516,419010,Greek,29812,ἡμῶν,hēmōn,PPro-G1P,Personal / Possessive Pronoun - Genitive 1st Person Plural,1473,,,, our ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,113514,419011,Greek,29812,τοῦ,tou,Art-GMS,Article - Genitive Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,113515,419012,Greek,29812,Κυρίου,Kyriou,N-GMS,Noun - Genitive Masculine Singular,2962,,,, Lord . ,,"Lord, master, sir; the Lord. From kuros; supreme in authority, i.e. controller; by implication, Master."
