Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,115386,420882,Greek,29940,Παῦλος,Paulos,N-NMS,Noun - Nominative Masculine Singular,3972,Philemon 1:1,Greetings from Paul and Timothy,(Philippians 1:1–2; Colossians 1:1–2)," Paul , ",,"Paul, Paulus. Of Latin origin; Paulus, the name of a Roman and of an apostle."
999999,115387,420883,Greek,29940,δέσμιος,desmios,N-NMS,Noun - Nominative Masculine Singular,1198,,,, a prisoner ,,"One bound, a prisoner. From desmon; a captive."
999999,115388,420884,Greek,29940,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, of Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,115389,420885,Greek,29940,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,," Jesus , ",,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,115390,420886,Greek,29940,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,115391,420887,Greek,29940,Τιμόθεος,Timotheos,N-NMS,Noun - Nominative Masculine Singular,5095,,,, Timothy ,,"Timothy, a Christian of Lystra, helper of Paul. From time and theos; dear to God; Timotheus, a Christian."
999999,115392,420888,Greek,29940,ὁ,ho,Art-NMS,Article - Nominative Masculine Singular,3588,,,, [our] ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115393,420889,Greek,29940,ἀδελφὸς,adelphos,N-NMS,Noun - Nominative Masculine Singular,80,,,," brother , ",,"A brother, member of the same religious community, especially a fellow-Christian. A brother near or remote."
999999,115394,420890,Greek,29940,Φιλήμονι,Philēmoni,N-DMS,Noun - Dative Masculine Singular,5371,,,, To Philemon ,,"Philemon, a Christian man of Colossae. From phileo; friendly; Philemon, a Christian."
999999,115399,420891,Greek,29940,ἡμῶν,hēmōn,PPro-G1P,Personal / Possessive Pronoun - Genitive 1st Person Plural,1473,,,, our ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,115395,420892,Greek,29940,τῷ,tō,Art-DMS,Article - Dative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115396,420893,Greek,29940,ἀγαπητῷ,agapētō,Adj-DMS,Adjective - Dative Masculine Singular,27,,,, beloved ,,From agapao; beloved.
999999,115397,420894,Greek,29940,καὶ,kai,Conj,Conjunction,2532,,,, - ,,"And, even, also, namely. "
999999,115398,420895,Greek,29940,συνεργῷ,synergō,Adj-DMS,Adjective - Dative Masculine Singular,4904,,,," fellow worker , ",,"A fellow worker, associate, helper. From a presumed compound of sun and the base of ergon; a co-laborer, i.e. Coadjutor."
999999,115400,420896,Greek,29941,καὶ,kai,Conj,Conjunction,2532,Philemon 1:2,,, - ,,"And, even, also, namely. "
999999,115401,420897,Greek,29941,Ἀπφίᾳ,Apphia,N-DFS,Noun - Dative Feminine Singular,682,,,, to Apphia ,,"Probably of foreign origin; Apphia, a woman of Collosae."
999999,115402,420898,Greek,29941,τῇ,tē,Art-DFS,Article - Dative Feminine Singular,3588,,,, our ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115403,420899,Greek,29941,ἀδελφῇ,adelphē,N-DFS,Noun - Dative Feminine Singular,79,,,," sister , ",,"A sister, a woman (fellow-)member of a church, a Christian woman. Fem of adephos; a sister."
999999,115404,420900,Greek,29941,καὶ,kai,Conj,Conjunction,2532,,,, - ,,"And, even, also, namely. "
999999,115405,420901,Greek,29941,Ἀρχίππῳ,Archippō,N-DMS,Noun - Dative Masculine Singular,751,,,, to Archippus ,,"Archippus, a Christian of Colossae. From arche and hippos; horse-ruler; Archippus, a Christian."
999999,115408,420902,Greek,29941,ἡμῶν,hēmōn,PPro-G1P,Personal / Possessive Pronoun - Genitive 1st Person Plural,1473,,,, our ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,115406,420903,Greek,29941,τῷ,tō,Art-DMS,Article - Dative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115407,420904,Greek,29941,συστρατιώτῃ,systratiōtē,N-DMS,Noun - Dative Masculine Singular,4961,,,," fellow soldier , ",,"A fellow soldier (in the Christian faith). From sun and stratiotes; a co-campaigner, i.e. an associate in Christian toil."
999999,115409,420905,Greek,29941,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,115410,420906,Greek,29941,τῇ,tē,Art-DFS,Article - Dative Feminine Singular,3588,,,, to the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115414,420907,Greek,29941,ἐκκλησίᾳ,ekklēsia,N-DFS,Noun - Dative Feminine Singular,1577,,,, church ,,"From a compound of ek and a derivative of kaleo; a calling out, i.e. a popular meeting, especially a religious congregation."
999999,115411,420908,Greek,29941,κατ’,kat’,Prep,Preposition,2596,,,, [that meets] at ,,"A primary particle; down, in varied relations (genitive, dative or accusative) with which it is joined)."
999999,115413,420909,Greek,29941,σου,sou,PPro-G2S,Personal / Possessive Pronoun - Genitive 2nd Person Singular,4771,,,, your ,"<i>You</i> and <i>Your</i> are singular throughout this letter, except in verses 3, 22, and 25.",You. The person pronoun of the second person singular; thou.
999999,115412,420910,Greek,29941,οἶκόν,oikon,N-AMS,Noun - Accusative Masculine Singular,3624,,,, house : ,,"A dwelling; by implication, a family."
999999,115415,420911,Greek,29942,Χάρις,Charis,N-NFS,Noun - Nominative Feminine Singular,5485,Philemon 1:3,,, Grace ,,"From chairo; graciousness, of manner or act."
999999,115417,420912,Greek,29942,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,115418,420913,Greek,29942,εἰρήνη,eirēnē,N-NFS,Noun - Nominative Feminine Singular,1515,,,, peace ,,"Probably from a primary verb eiro; peace; by implication, prosperity."
999999,115416,420914,Greek,29942,ὑμῖν,hymin,PPro-D2P,Personal / Possessive Pronoun - Dative 2nd Person Plural,4771,,,, to you ,,You. The person pronoun of the second person singular; thou.
999999,115419,420915,Greek,29942,ἀπὸ,apo,Prep,Preposition,575,,,, from ,,"From, away from. A primary particle; |off, | i.e. Away, in various senses."
999999,115420,420916,Greek,29942,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,115422,420917,Greek,29942,ἡμῶν,hēmōn,PPro-G1P,Personal / Possessive Pronoun - Genitive 1st Person Plural,1473,,,, our ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,115421,420918,Greek,29942,Πατρὸς,Patros,N-GMS,Noun - Genitive Masculine Singular,3962,,,, Father ,,"Father, (Heavenly) Father, ancestor, elder, senior. Apparently a primary word; a |father|."
