Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,115724,421217,Greek,29965,πάλαι,palai,Adv,Adverb,3819,Hebrews 1:1,The Supremacy of the Son,(Colossians 1:15–23), {On many} past ,,"Of old, long ago, in times past, former. Probably another form for palin; formerly, or sometime since; ancient."
999999,115721,421218,Greek,29965,Πολυμερῶς,Polymerōs,Adv,Adverb,4181,,,, occasions ,,"Adverb from a compound of polus and meros; in many portions, i.e. Variously as to time and agency."
999999,115722,421219,Greek,29965,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,115723,421220,Greek,29965,πολυτρόπως,polytropōs,Adv,Adverb,4187,,,," in many different ways , ",,"In many ways. Adverb from a compound of polus and tropos; in many ways, i.e. Variously as to method or form."
999999,115725,421221,Greek,29965,ὁ,ho,Art-NMS,Article - Nominative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115726,421222,Greek,29965,Θεὸς,Theos,N-NMS,Noun - Nominative Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,115727,421223,Greek,29965,λαλήσας,lalēsas,V-APA-NMS,Verb - Aorist Participle Active - Nominative Masculine Singular,2980,,,, spoke ,,"A prolonged form of an otherwise obsolete verb; to talk, i.e. Utter words."
999999,115728,421224,Greek,29965,τοῖς,tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, to [our] ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115729,421225,Greek,29965,πατράσιν,patrasin,N-DMP,Noun - Dative Masculine Plural,3962,,,, fathers ,,"Father, (Heavenly) Father, ancestor, elder, senior. Apparently a primary word; a |father|."
999999,115730,421226,Greek,29965,ἐν,en,Prep,Preposition,1722,,,, through ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,115731,421227,Greek,29965,τοῖς,tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115732,421228,Greek,29965,προφήταις,prophētais,N-DMP,Noun - Dative Masculine Plural,4396,,,, prophets . ,,"From a compound of pro and phemi; a foreteller; by analogy, an inspired speaker; by extension, a poet."
999999,115733,421229,Greek,29966,ἐπ’,ep’,Prep,Preposition,1909,Hebrews 1:2,,, But in ,,"On, to, against, on the basis of, at. "
999999,115737,421230,Greek,29966,τούτων,toutōn,DPro-GFP,Demonstrative Pronoun - Genitive Feminine Plural,3778,,,, these ,,"This; he, she, it. "
999999,115734,421231,Greek,29966,ἐσχάτου,eschatou,Adj-GNS,Adjective - Genitive Neuter Singular,2078,,,, last ,,"Last, at the last, finally, till the end. A superlative probably from echo; farthest, final."
999999,115735,421232,Greek,29966,τῶν,tōn,Art-GFP,Article - Genitive Feminine Plural,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,115736,421233,Greek,29966,ἡμερῶν,hēmerōn,N-GFP,Noun - Genitive Feminine Plural,2250,,,, days ,,"A day, the period from sunrise to sunset. "
999999,115738,421234,Greek,29966,ἐλάλησεν,elalēsen,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,2980,,,, He has spoken ,,"A prolonged form of an otherwise obsolete verb; to talk, i.e. Utter words."
999999,115739,421235,Greek,29966,ἡμῖν,hēmin,PPro-D1P,Personal / Possessive Pronoun - Dative 1st Person Plural,1473,,,, to us ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,115740,421236,Greek,29966,ἐν,en,Prep,Preposition,1722,,,, by ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,115741,421237,Greek,29966,Υἱῷ,Huiō,N-DMS,Noun - Dative Masculine Singular,5207,,,," [His] Son , ",Or <i>in His Son</i>,"A son, descendent. Apparently a primary word; a |son|, used very widely of immediate, remote or figuratively, kinship."
999999,115742,421238,Greek,29966,ὃν,hon,RelPro-AMS,Personal / Relative Pronoun - Accusative Masculine Singular,3739,,,, whom ,,"Who, which, what, that. "
999999,115743,421239,Greek,29966,ἔθηκεν,ethēken,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,5087,,,, He appointed ,,"To put, place, lay, set, fix, establish. A prolonged form of a primary theo to place."
999999,115744,421240,Greek,29966,κληρονόμον,klēronomon,N-AMS,Noun - Accusative Masculine Singular,2818,,,, heir ,,"From kleros and the base of nomos (reflexively) getting by apportionment); a sharer by lot, i.e. Inheritor; by implication, a possessor."
999999,115745,421241,Greek,29966,πάντων,pantōn,Adj-GNP,Adjective - Genitive Neuter Plural,3956,,,," of all things , ",,"All, the whole, every kind of. Including all the forms of declension; apparently a primary word; all, any, every, the whole."
999999,115748,421242,Greek,29966,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,115746,421243,Greek,29966,δι’,di’,Prep,Preposition,1223,,,, through ,,A primary preposition denoting the channel of an act; through.
