Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,120681,426177,Greek,30268,Ἰάκωβος,Iakōbos,N-NMS,Noun - Nominative Masculine Singular,2385,James 1:1,A Greeting from James,(Jude 1:1–2)," James , ",,"The same as Iakob Graecized; Jacobus, the name of three Israelites."
999999,120687,426178,Greek,30268,δοῦλος,doulos,N-NMS,Noun - Nominative Masculine Singular,1401,,,, a servant ,,"(a) (as adj.) enslaved, (b) (as noun) a (male) slave. From deo; a slave."
999999,120682,426179,Greek,30268,Θεοῦ,Theou,N-GMS,Noun - Genitive Masculine Singular,2316,,,, of God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,120683,426180,Greek,30268,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,120684,426181,Greek,30268,Κυρίου,Kyriou,N-GMS,Noun - Genitive Masculine Singular,2962,,,, of [the] Lord ,,"Lord, master, sir; the Lord. From kuros; supreme in authority, i.e. controller; by implication, Master."
999999,120685,426182,Greek,30268,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,120686,426183,Greek,30268,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,," Christ , ",,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,120688,426184,Greek,30268,Ταῖς,Tais,Art-DFP,Article - Dative Feminine Plural,3588,,,, To the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,120689,426185,Greek,30268,δώδεκα,dōdeka,Adj-DFP,Adjective - Dative Feminine Plural,1427,,,, twelve ,,"Twelve; the usual way in which the Twelve apostles of Jesus are referred to. From duo and deka; two and ten, i.e. A dozen."
999999,120690,426186,Greek,30268,φυλαῖς,phylais,N-DFP,Noun - Dative Feminine Plural,5443,,,, tribes ,,"A tribe or race of people. From phuo; an offshoot, i.e. Race or clan."
999999,120691,426187,Greek,30268,ταῖς,tais,Art-DFP,Article - Dative Feminine Plural,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,120692,426188,Greek,30268,ἐν,en,Prep,Preposition,1722,,,, of ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,120693,426189,Greek,30268,τῇ,tē,Art-DFS,Article - Dative Feminine Singular,3588,,,, the ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,120694,426190,Greek,30268,Διασπορᾷ,Diaspora,N-DFS,Noun - Dative Feminine Singular,1290,,,, Dispersion : ,"Literally <i>To the twelve tribes in the Diaspora</i>. Originally referring to the Jewish people living outside the land of Israel, <i>the Diaspora</i> is applied here to the Jewish believers scattered abroad.","From diaspeiro; dispersion, i.e. the Israelite resident in Gentile countries."
999999,120695,426191,Greek,30268,Χαίρειν,Chairein,V-PNA,Verb - Present Infinitive Active,5463,,,, Greetings . ,,"A primary verb; to be |cheer|ful, i.e. Calmly happy or well-off; impersonally, especially as salutation, be well."
999999,120698,426192,Greek,30269,ἡγήσασθε,hēgēsasthe,V-AMM-2P,Verb - Aorist Imperative Middle - 2nd Person Plural,2233,James 1:2,Rejoicing in Trials,(Philippians 1:12–20), Consider [it] ,,"(a) To lead, (b) To think, be of opinion, suppose, consider. "
