Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,124109,429605,Greek,30481,Συμεὼν,Symeōn,N-NMS,Noun - Nominative Masculine Singular,4826,2 Peter 1:1,A Greeting from Peter,(1 Peter 1:1–2), Simon ,,"Simeon or Simon. From the same as Simon; Symeon, the name of five Israelites."
999999,124110,429606,Greek,30481,Πέτρος,Petros,N-NMS,Noun - Nominative Masculine Singular,4074,,,," Peter , ",,"Peter, a Greek name meaning rock. Apparently a primary word; a rock; as a name, Petrus, an apostle."
999999,124111,429607,Greek,30481,δοῦλος,doulos,N-NMS,Noun - Nominative Masculine Singular,1401,,,, a servant ,,"(a) (as adj.) enslaved, (b) (as noun) a (male) slave. From deo; a slave."
999999,124112,429608,Greek,30481,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
999999,124113,429609,Greek,30481,ἀπόστολος,apostolos,N-NMS,Noun - Nominative Masculine Singular,652,,,, apostle ,,"From apostello; a delegate; specially, an ambassador of the Gospel; officially a commissioner of Christ."
999999,124114,429610,Greek,30481,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, of Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,124115,429611,Greek,30481,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,," Christ , ",,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,124116,429612,Greek,30481,Τοῖς,Tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, To those who ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,124121,429613,Greek,30481,ἐν,en,Prep,Preposition,1722,,,, through ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,124122,429614,Greek,30481,δικαιοσύνῃ,dikaiosynē,N-DFS,Noun - Dative Feminine Singular,1343,,,, [the] righteousness ,,From dikaios; equity; specially justification.
