Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,125211,430707,Greek,30542,Ὃ,Ho,RelPro-NNS,Personal / Relative Pronoun - Nominative Neuter Singular,3739,1 John 1:1,The Word of Life,(Luke 24:36–49; John 20:19–23), That which ,,"Who, which, what, that. "
999999,125212,430708,Greek,30542,ἦν,ēn,V-IIA-3S,Verb - Imperfect Indicative Active - 3rd Person Singular,1510,,,, was ,,"I am, exist. The first person singular present indicative; a prolonged form of a primary and defective verb; I exist."
999999,125213,430709,Greek,30542,ἀπ’,ap’,Prep,Preposition,575,,,, from ,,"From, away from. A primary particle; |off, | i.e. Away, in various senses."
999999,125214,430710,Greek,30542,ἀρχῆς,archēs,N-GFS,Noun - Genitive Feminine Singular,746,,,," [the] beginning , ",,"From archomai; a commencement, or chief."
999999,125215,430711,Greek,30542,ὃ,ho,RelPro-ANS,Personal / Relative Pronoun - Accusative Neuter Singular,3739,,,, which ,,"Who, which, what, that. "
999999,125216,430712,Greek,30542,ἀκηκόαμεν,akēkoamen,V-RIA-1P,Verb - Perfect Indicative Active - 1st Person Plural,191,,,," we have heard , ",,"To hear, listen, comprehend by hearing; pass: is heard, reported. A primary verb; to hear."
999999,125217,430713,Greek,30542,ὃ,ho,RelPro-ANS,Personal / Relative Pronoun - Accusative Neuter Singular,3739,,,, which ,,"Who, which, what, that. "
999999,125218,430714,Greek,30542,ἑωράκαμεν,heōrakamen,V-RIA-1P,Verb - Perfect Indicative Active - 1st Person Plural,3708,,,, we have seen ,,"Properly, to stare at, i.e. to discern clearly; by extension, to attend to; by Hebraism, to experience; passively, to appear."
999999,125219,430715,Greek,30542,τοῖς,tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, with ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,125221,430716,Greek,30542,ἡμῶν,hēmōn,PPro-G1P,Personal / Possessive Pronoun - Genitive 1st Person Plural,1473,,,, our own ,,"I, the first-person pronoun. A primary pronoun of the first person I."
999999,125220,430717,Greek,30542,ὀφθαλμοῖς,ophthalmois,N-DMP,Noun - Dative Masculine Plural,3788,,,," eyes , ",,"The eye; fig: the mind's eye. From optanomai; the eye; by implication, vision; figuratively, envy."
999999,125222,430718,Greek,30542,ὃ,ho,RelPro-ANS,Personal / Relative Pronoun - Accusative Neuter Singular,3739,,,, which ,,"Who, which, what, that. "
