Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,127816,433312,Greek,30674,Ἰούδας,Ioudas,N-NMS,Noun - Nominative Masculine Singular,2455,Jude 1:1,A Greeting from Jude,(James 1:1)," Jude , ",,"Of Hebrew origin; Judas, the name of ten Israelites; also of the posterity of one of them and its region."
999999,127819,433313,Greek,30674,δοῦλος,doulos,N-NMS,Noun - Nominative Masculine Singular,1401,,,, a servant ,,"(a) (as adj.) enslaved, (b) (as noun) a (male) slave. From deo; a slave."
999999,127817,433314,Greek,30674,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, of Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,127818,433315,Greek,30674,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,, Christ ,,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,127821,433316,Greek,30674,δὲ,de,Conj,Conjunction,1161,,,, and ,,"A primary particle; but, and, etc."
999999,127820,433317,Greek,30674,ἀδελφὸς,adelphos,N-NMS,Noun - Nominative Masculine Singular,80,,,, a brother ,,"A brother, member of the same religious community, especially a fellow-Christian. A brother near or remote."
999999,127822,433318,Greek,30674,Ἰακώβου,Iakōbou,N-GMS,Noun - Genitive Masculine Singular,2385,,,," of James , ",,"The same as Iakob Graecized; Jacobus, the name of three Israelites."
999999,127823,433319,Greek,30674,Τοῖς,Tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, To those who [are] ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,127832,433320,Greek,30674,κλητοῖς,klētois,Adj-DMP,Adjective - Dative Masculine Plural,2822,,,," called , ",,"From the same as klesis; invited, i.e. Appointed, or, a saint."
999999,127827,433321,Greek,30674,ἠγαπημένοις,ēgapēmenois,V-RPM/P-DMP,Verb - Perfect Participle Middle or Passive - Dative Masculine Plural,25,,,, loved ,,"To love, wish well to, take pleasure in, long for; denotes the love of reason, esteem. Perhaps from agan; to love."
999999,127824,433322,Greek,30674,ἐν,en,Prep,Preposition,1722,,,, by ,,"In, on, among. A primary preposition denoting position, and instrumentality, i.e. A relation of rest; |in, | at, on, by, etc."
999999,127825,433323,Greek,30674,Θεῷ,Theō,N-DMS,Noun - Dative Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,127826,433324,Greek,30674,Πατρὶ,Patri,N-DMS,Noun - Dative Masculine Singular,3962,,,," [the] Father , ",,"Father, (Heavenly) Father, ancestor, elder, senior. Apparently a primary word; a |father|."
999999,127828,433325,Greek,30674,καὶ,kai,Conj,Conjunction,2532,,,, and ,,"And, even, also, namely. "
