Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
999999,128276,433772,Greek,30699,Ἀποκάλυψις,Apokalypsis,N-NFS,Noun - Nominative Feminine Singular,602,Revelation 1:1,Prologue,(Daniel 12:1–13), [ This is the ] revelation ,,"An unveiling, uncovering, revealing, revelation. From apokalupto; disclosure."
999999,128277,433773,Greek,30699,Ἰησοῦ,Iēsou,N-GMS,Noun - Genitive Masculine Singular,2424,,,, of Jesus ,,"Of Hebrew origin; Jesus, the name of our Lord and two other Israelites."
999999,128278,433774,Greek,30699,Χριστοῦ,Christou,N-GMS,Noun - Genitive Masculine Singular,5547,,,," Christ , ",,"Anointed One; the Messiah, the Christ. From chrio; Anointed One, i.e. The Messiah, an epithet of Jesus."
999999,128279,433775,Greek,30699,ἣν,hēn,RelPro-AFS,Personal / Relative Pronoun - Accusative Feminine Singular,3739,,,, which ,,"Who, which, what, that. "
999999,128282,433776,Greek,30699,ὁ,ho,Art-NMS,Article - Nominative Masculine Singular,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,128283,433777,Greek,30699,Θεός,Theos,N-NMS,Noun - Nominative Masculine Singular,2316,,,, God ,,"A deity, especially the supreme Divinity; figuratively, a magistrate; by Hebraism, very."
999999,128280,433778,Greek,30699,ἔδωκεν,edōken,V-AIA-3S,Verb - Aorist Indicative Active - 3rd Person Singular,1325,,,, gave ,,"To offer, give; I put, place. A prolonged form of a primary verb; to give."
999999,128281,433779,Greek,30699,αὐτῷ,autō,PPro-DM3S,Personal / Possessive Pronoun - Dative Masculine 3rd Person Singular,846,,,, Him ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,128284,433780,Greek,30699,δεῖξαι,deixai,V-ANA,Verb - Aorist Infinitive Active,1166,,,, to show ,,A prolonged form of an obsolete primary of the same meaning; to show.
999999,128285,433781,Greek,30699,τοῖς,tois,Art-DMP,Article - Dative Masculine Plural,3588,,,, - ,,"The, the definite article. Including the feminine he, and the neuter to in all their inflections; the definite article; the."
999999,128287,433782,Greek,30699,αὐτοῦ,autou,PPro-GM3S,Personal / Possessive Pronoun - Genitive Masculine 3rd Person Singular,846,,,, His ,,"He, she, it, they, them, same. From the particle au; the reflexive pronoun self, used of the third person, and of the other persons."
999999,128286,433783,Greek,30699,δούλοις,doulois,N-DMP,Noun - Dative Masculine Plural,1401,,,, servants ,,"(a) (as adj.) enslaved, (b) (as noun) a (male) slave. From deo; a slave."
999999,128288,433784,Greek,30699,ἃ,ha,RelPro-ANP,Personal / Relative Pronoun - Accusative Neuter Plural,3739,,,, what ,,"Who, which, what, that. "
