Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
174995,0,174994,Hebrew,12018,אַחַ֗ת,’a·ḥaṯ,Number-fs,Number - feminine singular,259,Ezra 1:1,The Proclamation of Cyrus,(2 Chronicles 36:22–23; Isaiah 45:1–25), In the first ,,"1) one (number) <BR> 1a) one (number) <BR> 1b) each, every <BR> 1c) a certain <BR> 1d) an (indefinite article) <BR> 1e) only, once, once for all <BR> 1f) one...another, the one...the other, one after another, one by one <BR> 1g) first <BR> 1h) eleven (in combination), eleventh (ordinal)"
174994,0,174995,Hebrew,12018,וּבִשְׁנַ֣ת,ū·ḇiš·naṯ,"Conj-w, Prep-b | N-fsc","Conjunctive waw, Preposition-b | Noun - feminine singular construct",8141,,,, year ,,1) year <BR> 1a) as division of time <BR> 1b) as measure of time <BR> 1c) as indication of age <BR> 1d) a lifetime (of years of life)
174996,0,174996,Hebrew,12018,לְכ֙וֹרֶשׁ֙,lə·ḵō·w·reš,Prep-l | N-proper-ms,Preposition-l | Noun - proper - masculine singular,3566,,,, of Cyrus ,,Cyrus = |posses thou the furnace|<BR> 1) the king of Persia and conqueror of Babylon; first ruler of Persia to make a decree allowing the Israelite exiles to return to Jerusalem
174997,0,174997,Hebrew,12018,מֶ֣לֶךְ,me·leḵ,N-msc,Noun - masculine singular construct,4428,,,, king ,,1) king
174998,0,174998,Hebrew,12018,פָּרַ֔ס,pā·ras,N-proper-fs,Noun - proper - feminine singular,6539,,,," of Persia , ",,"Persia = |pure| or |splendid|<BR> 1) the empire Persia; encompassed the territory from India on the east to Egypt and Thrace on the west, and included, besides portions of Europe and Africa, the whole of western Asia between the Black Sea, the Caucasus, the Caspian and the Jaxartes on the north, the Arabian desert, the Persian Gulf and the Indian Ocean on the south <BR> 1a) Persia proper was bounded on the west by Susiana or Elam, on the north by Media, on the south by the Persian Gulf and on the east by Carmania <BR> Persian = see Persia |pure| or |splendid| <BR> 2) the people of the Persian empire"
174999,0,174999,Hebrew,12018,לִכְל֥וֹת,liḵ·lō·wṯ,Prep-l | V-Qal-Inf,Preposition-l | Verb - Qal - Infinitive construct,3615,,,, to fulfill ,,"1) to accomplish, cease, consume, determine, end, fail, finish, be complete, be accomplished, be ended, be at an end, be finished, be spent <BR> 1a) (Qal) <BR> 1a1) to be complete, be at an end <BR> 1a2) to be completed, be finished <BR> 1a3) to be accomplished, be fulfilled <BR> 1a4) to be determined, be plotted (bad sense) <BR> 1a5) to be spent, be used up <BR> 1a6) to waste away, be exhausted, fail <BR> 1a7) to come to an end, vanish, perish, be destroyed <BR> 1b) (Piel) <BR> 1b1) to complete, bring to an end, finish <BR> 1b2) to complete (a period of time) <BR> 1b3) to finish (doing a thing) <BR> 1b4) to make an end, end <BR> 1b5) to accomplish, fulfil, bring to pass <BR> 1b6) to accomplish, determine (in thought) <BR> 1b7) to put an end to, cause to cease <BR> 1b8) to cause to fail, exhaust, use up, spend <BR> 1b9) to destroy, exterminate <BR> 1c) (Pual) to be finished, be ended, be completed"
175000,0,175000,Hebrew,12018,דְּבַר־,də·ḇar-,N-msc,Noun - masculine singular construct,1697,,,, the word ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
175001,0,175001,Hebrew,12018,יְהוָ֖ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, of the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
175002,0,175002,Hebrew,12018,מִפִּ֣י,mip·pî,Prep-m | N-msc,Preposition-m | Noun - masculine singular construct,6310,,,, spoken ,,"peh<BR> 1) mouth <BR> 1a) mouth (of man)<BR> 1b) mouth (as organ of speech) <BR> 1c) mouth (of animals) <BR> 1d) mouth, opening, orifice (of a well, river, etc) <BR> 1e) extremity, end pim <BR> 2) a weight equal to one third of a shekel, occurs only in 1Sa 13:21"
175003,0,175003,Hebrew,12018,יִרְמְיָ֑ה,yir·mə·yāh,N-proper-ms,Noun - proper - masculine singular,3414,,,," through Jeremiah , ",,"Jeremiah = |whom Jehovah has appointed|<BR> 1) the major prophet, son of Hilkiah of the priestly family in Anathoth; author of the prophetic book bearing his name <BR> 2) a man of Libnah and father of Hamutal the wife of king Josiah <BR> 3) a Gadite who joined David at Ziklag <BR> 4) a Manassehite, one of the mighty men of valour of the Transjordanic half tribe of Manasseh <BR> 5) a Gadite and warrior of David <BR> 6) a warrior of David <BR> 7) a priest who joined Nehemiah in the covenant ceremony <BR> 8) a priest also in the time of Nehemiah; maybe same as 7 <BR> 9) father of Jaazaniah the Rechabites"
