Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
178747,0,178747,Hebrew,12298,דִּבְרֵ֥י,diḇ·rê,N-mpc,Noun - masculine plural construct,1697,Nehemiah 1:1,Nehemiah’s Prayer,(Deuteronomy 30:1–10), [These are] the words ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
178748,0,178748,Hebrew,12298,נְחֶמְיָ֖ה,nə·ḥem·yāh,N-proper-ms,Noun - proper - masculine singular,5166,,,, of Nehemiah ,,"Nehemiah = |Jehovah comforts|<BR> 1) the son of Hachaliah, cupbearer to king Artaxerxes, who became governor of Judah after the return from exile<BR> 2) one of the 12 heads of the people who returned from exile with Zerubbabel <BR> 3) son of Azbuk and ruler of the half part of Beth-zur, who helped to repair the wall of Jerusalem"
178749,0,178749,Hebrew,12298,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
178750,0,178750,Hebrew,12298,חֲכַלְיָ֑ה,ḥă·ḵal·yāh,N-proper-ms,Noun - proper - masculine singular,2446,,,, of Hacaliah : ,,Hachaliah = |whom Jehovah enlightens|<BR> 1) the father of Nehemiah
178751,0,178751,Hebrew,12298,וַיְהִ֤י,way·hî,Conj-w | V-Qal-ConsecImperf-3ms,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular,1961,,,, vvv ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
178752,0,178752,Hebrew,12298,בְחֹֽדֶשׁ־,ḇə·ḥō·ḏeš-,Prep-b | N-msc,Preposition-b | Noun - masculine singular construct,2320,,,, In the month ,,"1) the new moon, month, monthly <BR> 1a) the first day of the month <BR> 1b) the lunar month"
178753,0,178753,Hebrew,12298,כִּסְלֵו,kis·lēw,N-proper-fs,Noun - proper - feminine singular,3691,,,," of Chislev , ","<i>Chislev</i> is the ninth month of the Hebrew lunar calendar, usually occurring within the months of November and December.",Chisleu = |his confidence|<BR> 1) the 9th month of the calendar corresponding to Nov-Dec
178755,0,178754,Hebrew,12298,עֶשְׂרִ֔ים,‘eś·rîm,Number-cp,Number - common plural,6242,,,, in the twentieth ,,"1) twenty, twentieth"
178754,0,178755,Hebrew,12298,שְׁנַ֣ת,šə·naṯ,N-fsc,Noun - feminine singular construct,8141,,,," year , ",,1) year <BR> 1a) as division of time <BR> 1b) as measure of time <BR> 1c) as indication of age <BR> 1d) a lifetime (of years of life)
178756,0,178756,Hebrew,12298,וַאֲנִ֥י,wa·’ă·nî,Conj-w | Pro-1cs,Conjunctive waw | Pronoun - first person common singular,589,,,, while I ,,1) I (first pers. sing. -usually used for emphasis)
178757,0,178757,Hebrew,12298,הָיִ֖יתִי,hā·yî·ṯî,V-Qal-Perf-1cs,Verb - Qal - Perfect - first person common singular,1961,,,, was ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
