Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
184060,0,184060,Hebrew,12704,וַיְהִ֖י,way·hî,Conj-w | V-Qal-ConsecImperf-3ms,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular,1961,Esther 1:1,Xerxes’ Royal Feast,, This is what happened ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
184061,0,184061,Hebrew,12704,בִּימֵ֣י,bî·mê,Prep-b | N-mpc,Preposition-b | Noun - masculine plural construct,3117,,,, in the days ,,"1) day, time, year <BR> 1a) day (as opposed to night) <BR> 1b) day (24 hour period) <BR> 1b1) as defined by evening and morning in Genesis 1 <BR> 1b2) as a division of time <BR> 1b2a) a working day, a day's journey <BR> 1c) days, lifetime (pl.) <BR> 1d) time, period (general) <BR> 1e) year <BR> 1f) temporal references <BR> 1f1) today <BR> 1f2) yesterday <BR> 1f3) tomorrow"
184062,0,184062,Hebrew,12704,אֲחַשְׁוֵר֑וֹשׁ,’ă·ḥaš·wê·rō·wōš,N-proper-ms,Noun - proper - masculine singular,325,,,," of Xerxes , ",Hebrew <i>Ahasuerus</i>; here and throughout Esther ,"Ahasuerus = |I will be silent and poor|<BR> 1) title of the king of Persia, probably Xerxes"
184063,0,184063,Hebrew,12704,ה֣וּא,hū,Pro-3ms,Pronoun - third person masculine singular,1931,,,, . . . ,,"pron 3p s<BR> 1) he, she, it <BR> 1a) himself (with emphasis) <BR> 1b) resuming subj with emphasis <BR> 1c) (with minimum emphasis following predicate) <BR> 1d) (anticipating subj) <BR> 1e) (emphasising predicate) <BR> 1f) that, it (neuter) demons pron <BR> 2) that (with article)"
184064,0,184064,Hebrew,12704,אֲחַשְׁוֵר֗וֹשׁ,’ă·ḥaš·wê·rō·wōš,N-proper-ms,Noun - proper - masculine singular,325,,,, . . . ,,"Ahasuerus = |I will be silent and poor|<BR> 1) title of the king of Persia, probably Xerxes"
184065,0,184065,Hebrew,12704,הַמֹּלֵךְ֙,ham·mō·lêḵ,Art | V-Qal-Prtcpl-ms,Article | Verb - Qal - Participle - masculine singular,4427,,,, who reigned over ,,"1) to be or become king or queen, reign <BR> 1a) (Qal) to be or become king or queen, reign <BR> 1b) (Hiphil) to make one king or queen, cause to reign <BR> 1c) (Hophal) to be made king or queen <BR> 2) to counsel, advise <BR> 2a) (Niphal) to consider"
184069,0,184066,Hebrew,12704,שֶׁ֛בַע,še·ḇa‘,Number-fs,Number - feminine singular,7651,,,,127,,"1) seven (cardinal number) <BR> 1a) as ordinal number <BR> 1b) in combination-17, 700 etc"
184070,0,184067,Hebrew,12704,וְעֶשְׂרִ֥ים,wə·‘eś·rîm,Conj-w | Number-cp,Conjunctive waw | Number - common plural,6242,,,, . . . ,,"1) twenty, twentieth"
184071,0,184068,Hebrew,12704,וּמֵאָ֖ה,ū·mê·’āh,Conj-w | Number-fs,Conjunctive waw | Number - feminine singular,3967,,,, . . . ,,1) hundred <BR> 1a) as simple number <BR> 1b) as part of larger number <BR> 1c) as a fraction-one one-hundredth (1/100)
184072,0,184069,Hebrew,12704,מְדִינָֽה׃,mə·ḏî·nāh,N-fs,Noun - feminine singular,4082,,,, provinces ,,"1) province, district <BR> 1a) district <BR> 1b) province"
184066,0,184070,Hebrew,12704,מֵהֹ֣דּוּ,mê·hōd·dū,Prep-m | N-proper-fs,Preposition-m | Noun - proper - feminine singular,1912,,,, from India ,,"India = |flee away| or | give ye thanks|<BR> 1) the country surrounding the Indus, mentioned as the eastern border of the empire of Ahasuerus"
184067,0,184071,Hebrew,12704,וְעַד־,wə·‘aḏ-,Conj-w | Prep,Conjunctive waw | Preposition,5704,,,, to ,,"prep<BR> 1) as far as, even to, until, up to, while, as far as <BR> 1a) of space <BR> 1a1) as far as, up to, even to <BR> 1b) in combination <BR> 1b1) from...as far as, both...and (with 'min' -from) <BR> 1c) of time <BR> 1c1) even to, until, unto, till, during, end <BR> 1d) of degree <BR> 1d1) even to, to the degree of, even like <BR> conj <BR> 2) until, while, to the point that, so that even"
184068,0,184072,Hebrew,12704,כּ֔וּשׁ,kūš,N-proper-fs,Noun - proper - feminine singular,3568,,,, Cush . ,"That is, the upper Nile region",Cush = |black| <BR> n pr m <BR> 1) a Benjamite mentioned only in the title of Ps 7:1 <BR> 2) the son of Ham and grandson of Noah and the progenitor of the southernmost peoples located in Africa <BR> 3) the peoples descended from Cush <BR> n pr loc <BR> 4) the land occupied by the descendants of Cush located around the southern parts of the Nile (Ethiopia)
184074,0,184073,Hebrew,12705,הָהֵ֑ם,hā·hêm,Art | Pro-3mp,Article | Pronoun - third person masculine plural,1992,Esther 1:2,,, In those ,,"1) they, these, the same, who"
184073,0,184074,Hebrew,12705,בַּיָּמִ֖ים,bay·yā·mîm,"Prep-b, Art | N-mp","Preposition-b, Article | Noun - masculine plural",3117,,,, days ,,"1) day, time, year <BR> 1a) day (as opposed to night) <BR> 1b) day (24 hour period) <BR> 1b1) as defined by evening and morning in Genesis 1 <BR> 1b2) as a division of time <BR> 1b2a) a working day, a day's journey <BR> 1c) days, lifetime (pl.) <BR> 1d) time, period (general) <BR> 1e) year <BR> 1f) temporal references <BR> 1f1) today <BR> 1f2) yesterday <BR> 1f3) tomorrow"
184076,0,184075,Hebrew,12705,הַמֶּ֣לֶךְ,ham·me·leḵ,Art | N-ms,Article | Noun - masculine singular,4428,,,, King ,,1) king
184077,0,184076,Hebrew,12705,אֲחַשְׁוֵר֗וֹשׁ,’ă·ḥaš·wê·rō·wōš,N-proper-ms,Noun - proper - masculine singular,325,,,, Xerxes ,,"Ahasuerus = |I will be silent and poor|<BR> 1) title of the king of Persia, probably Xerxes"
184075,0,184077,Hebrew,12705,כְּשֶׁ֣בֶת׀,kə·še·ḇeṯ,Prep-k | V-Qal-Inf,Preposition-k | Verb - Qal - Infinitive construct,3427,,,, sat ,,"1) to dwell, remain, sit, abide <BR> 1a) (Qal) <BR> 1a1) to sit, sit down <BR> 1a2) to be set <BR> 1a3) to remain, stay <BR> 1a4) to dwell, have one's abode <BR> 1b) (Niphal) to be inhabited <BR> 1c) (Piel) to set, place <BR> 1d) (Hiphil) <BR> 1d1) to cause to sit <BR> 1d2) to cause to abide, set <BR> 1d3) to cause to dwell <BR> 1d4) to cause (cities) to be inhabited <BR> 1d5) to marry (give an dwelling to) <BR> 1e) (Hophal) <BR> 1e1) to be inhabited <BR> 1e2) to make to dwell"
184078,0,184078,Hebrew,12705,עַ֚ל,‘al,Prep,Preposition,5921,,,, on ,,"prep<BR> 1) upon, on the ground of, according to, on account of, on behalf of, concerning, beside, in addition to, together with, beyond, above, over, by, on to, towards, to, against <BR> 1a) upon, on the ground of, on the basis of, on account of, because of, therefore, on behalf of, for the sake of, for, with, in spite of, notwithstanding, concerning, in the matter of, as regards <BR> 1b) above, beyond, over (of excess) <BR> 1c) above, over (of elevation or pre-eminence) <BR> 1d) upon, to, over to, unto, in addition to, together with, with (of addition) <BR> 1e) over (of suspension or extension) <BR> 1f) by, adjoining, next, at, over, around (of contiguity or proximity) <BR> 1g) down upon, upon, on, from, up upon, up to, towards, over towards, to, against (with verbs of motion) <BR> 1h) to (as a dative) <BR> conj <BR> 2) because that, because, notwithstanding, although"
184080,0,184079,Hebrew,12705,מַלְכוּת֔וֹ,mal·ḵū·ṯōw,N-fsc | 3ms,Noun - feminine singular construct | third person masculine singular,4438,,,, his royal ,,"1) royalty, royal power, reign, kingdom, sovereign power <BR> 1a) royal power, dominion <BR> 1b) reign <BR> 1c) kingdom, realm"
184081,0,184080,Hebrew,12705,אֲשֶׁ֖ר,’ă·šer,Pro-r,Pronoun - relative,834,,,, - ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
184079,0,184081,Hebrew,12705,כִּסֵּ֣א,kis·sê,N-msc,Noun - masculine singular construct,3678,,,, throne ,,"1) seat (of honour), throne, seat, stool <BR> 1a) seat (of honour), throne <BR> 1b) royal dignity, authority, power (fig.)"
184083,0,184082,Hebrew,12705,הַבִּירָֽה׃,hab·bî·rāh,Art | N-fs,Article | Noun - feminine singular,1002,,,, in the citadel ,,"1) palace, castle <BR> 2) temple"
184082,0,184083,Hebrew,12705,בְּשׁוּשַׁ֥ן,bə·šū·šan,Prep-b | N-proper-ms,Preposition-b | Noun - proper - masculine singular,7800,,,, of Susa . ,,Shushan or Susa = |lily|<BR> 1) the winter residence of the Persian kings; located on the river Ulai or Choaspes
184085,0,184084,Hebrew,12706,שָׁלוֹשׁ֙,šā·lō·wōš,Number-fs,Number - feminine singular,7969,Esther 1:3,,, In the third ,,"1) three, triad <BR> 1a) 3, 300, third"
184084,0,184085,Hebrew,12706,בִּשְׁנַ֤ת,biš·naṯ,Prep-b | N-fsc,Preposition-b | Noun - feminine singular construct,8141,,,, year ,,1) year <BR> 1a) as division of time <BR> 1b) as measure of time <BR> 1c) as indication of age <BR> 1d) a lifetime (of years of life)
184086,0,184086,Hebrew,12706,לְמָלְכ֔וֹ,lə·mā·lə·ḵōw,Prep-l | V-Qal-Inf | 3ms,Preposition-l | Verb - Qal - Infinitive construct | third person masculine singular,4427,,,," of his reign , ",,"1) to be or become king or queen, reign <BR> 1a) (Qal) to be or become king or queen, reign <BR> 1b) (Hiphil) to make one king or queen, cause to reign <BR> 1c) (Hophal) to be made king or queen <BR> 2) to counsel, advise <BR> 2a) (Niphal) to consider"
184087,0,184087,Hebrew,12706,עָשָׂ֣ה,‘ā·śāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,6213,,,, [Xerxes] held ,,"1) to do, fashion, accomplish, make <BR> 1a) (Qal) <BR> 1a1) to do, work, make, produce <BR> 1a1a) to do <BR> 1a1b) to work <BR> 1a1c) to deal (with) <BR> 1a1d) to act, act with effect, effect <BR> 1a2) to make <BR> 1a2a) to make <BR> 1a2b) to produce <BR> 1a2c) to prepare <BR> 1a2d) to make (an offering) <BR> 1a2e) to attend to, put in order <BR> 1a2f) to observe, celebrate <BR> 1a2g) to acquire (property) <BR> 1a2h) to appoint, ordain, institute <BR> 1a2i) to bring about <BR> 1a2j) to use <BR> 1a2k) to spend, pass <BR> 1b) (Niphal) <BR> 1b1) to be done <BR> 1b2) to be made <BR> 1b3) to be produced <BR> 1b4) to be offered <BR> 1b5) to be observed <BR> 1b6) to be used <BR> 1c) (Pual) to be made <BR> 2) (Piel) to press, squeeze"
184088,0,184088,Hebrew,12706,מִשְׁתֶּ֔ה,miš·teh,N-ms,Noun - masculine singular,4960,,,, a feast ,,"1) feast, drink, banquet <BR> 1a) feast, banquet <BR> 1b) drink"
184089,0,184089,Hebrew,12706,לְכָל־,lə·ḵāl,Prep-l | N-msc,Preposition-l | Noun - masculine singular construct,3605,,,, for all ,,"1) all, the whole <BR> 1a) all, the whole of <BR> 1b) any, each, every, anything <BR> 1c) totality, everything"
184090,0,184090,Hebrew,12706,שָׂרָ֖יו,śā·rāw,N-mpc | 3ms,Noun - masculine plural construct | third person masculine singular,8269,,,, his officials ,,"1) prince, ruler, leader, chief, chieftain, official, captain <BR> 1a) chieftain, leader <BR> 1b) vassal, noble, official (under king) <BR> 1c) captain, general, commander (military) <BR> 1d) chief, head, overseer (of other official classes) <BR> 1e) heads, princes (of religious office) <BR> 1f) elders (of representative leaders of people) <BR> 1g) merchant-princes (of rank and dignity) <BR> 1h) patron-angel <BR> 1i) Ruler of rulers (of God) <BR> 1j) warden"
