Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
187106,0,187105,Hebrew,12871,הָיָ֥ה,hā·yāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,1961,Job 1:1,Job’s Character and Wealth,(James 5:7–12), There was ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
187105,0,187106,Hebrew,12871,אִ֛ישׁ,’îš,N-ms,Noun - masculine singular,376,,,, a man ,,"1) man <BR> 1a) man, male (in contrast to woman, female) <BR> 1b) husband <BR> 1c) human being, person (in contrast to God) <BR> 1d) servant <BR> 1e) mankind <BR> 1f) champion <BR> 1g) great man <BR> 2) whosoever <BR> 3) each (adjective)"
187107,0,187107,Hebrew,12871,בְאֶֽרֶץ־,ḇə·’e·reṣ-,Prep-b | N-fsc,Preposition-b | Noun - feminine singular construct,776,,,, in the land ,,"1) land, earth<BR> 1a) earth <BR> 1a1) whole earth (as opposed to a part) <BR> 1a2) earth (as opposed to heaven) <BR> 1a3) earth (inhabitants) <BR> 1b) land <BR> 1b1) country, territory <BR> 1b2) district, region <BR> 1b3) tribal territory <BR> 1b4) piece of ground <BR> 1b5) land of Canaan, Israel <BR> 1b6) inhabitants of land <BR> 1b7) Sheol, land without return, (under) world <BR> 1b8) city (-state) <BR> 1c) ground, surface of the earth <BR> 1c1) ground <BR> 1c2) soil <BR> 1d) (in phrases) <BR> 1d1) people of the land <BR> 1d2) space or distance of country (in measurements of distance) <BR> 1d3) level or plain country <BR> 1d4) land of the living <BR> 1d5) end(s) of the earth <BR> 1e) (almost wholly late in usage) <BR> 1e1) lands, countries <BR> 1e1a) often in contrast to Canaan"
187108,0,187108,Hebrew,12871,ע֖וּץ,‘ūṣ,N-proper-fs,Noun - proper - feminine singular,5780,,,, of Uz ,,"Uz = |wooded| <BR> n pr m <BR> 1) son of Aram and grandson of Seth <BR> 2) son of Nahor by Milcah <BR> 3) an Edomite, son of Dishan and grandson of Seir <BR> n pr loc <BR> 4) the country of Job; probably east and southeast of Palestine somewhere in the Arabian desert"
187110,0,187109,Hebrew,12871,שְׁמ֑וֹ,šə·mōw,N-msc | 3ms,Noun - masculine singular construct | third person masculine singular,8034,,,, whose name [was] ,,"1) name <BR> 1a) name <BR> 1b) reputation, fame, glory <BR> 1c) the Name (as designation of God) <BR> 1d) memorial, monument"
187109,0,187110,Hebrew,12871,אִיּ֣וֹב,’î·yō·wḇ,N-proper-ms,Noun - proper - masculine singular,347,,,, Job . ,,"Job = |hated|<BR> 1) a patriarch, the subject of the book of Job"
187112,0,187111,Hebrew,12871,הָאִ֣ישׁ,hā·’îš,Art | N-ms,Article | Noun - masculine singular,376,,,, And this man ,,"1) man <BR> 1a) man, male (in contrast to woman, female) <BR> 1b) husband <BR> 1c) human being, person (in contrast to God) <BR> 1d) servant <BR> 1e) mankind <BR> 1f) champion <BR> 1g) great man <BR> 2) whosoever <BR> 3) each (adjective)"
187111,0,187112,Hebrew,12871,וְהָיָ֣ה׀,wə·hā·yāh,Conj-w | V-Qal-ConjPerf-3ms,Conjunctive waw | Verb - Qal - Conjunctive perfect - third person masculine singular,1961,,,, was ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
187113,0,187113,Hebrew,12871,הַה֗וּא,ha·hū,Art | Pro-3ms,Article | Pronoun - third person masculine singular,1931,,,, ,,"pron 3p s<BR> 1) he, she, it <BR> 1a) himself (with emphasis) <BR> 1b) resuming subj with emphasis <BR> 1c) (with minimum emphasis following predicate) <BR> 1d) (anticipating subj) <BR> 1e) (emphasising predicate) <BR> 1f) that, it (neuter) demons pron <BR> 2) that (with article)"
187114,0,187114,Hebrew,12871,תָּ֧ם,tām,Adj-ms,Adjective - masculine singular,8535,,,, blameless ,,"1) perfect, complete <BR> 1a) complete, perfect <BR> 1a1) one who lacks nothing in physical strength, beauty, etc<BR> 1b) sound, wholesome <BR> 1b1) an ordinary, quiet sort of person <BR> 1c) complete, morally innocent, having integrity <BR> 1c1) one who is morally and ethically pure"
187115,0,187115,Hebrew,12871,וְיָשָׁ֛ר,wə·yā·šār,Conj-w | Adj-ms,Conjunctive waw | Adjective - masculine singular,3477,,,," and upright , ",,"1) straight, upright, correct, right <BR> 1a) straight, level <BR> 1b) right, pleasing, correct <BR> 1c) straightforward, just, upright, fitting, proper <BR> 1d) uprightness, righteous, upright <BR> 1e) that which is upright (subst)"
187116,0,187116,Hebrew,12871,וִירֵ֥א,wî·rê,Conj-w | Adj-msc,Conjunctive waw | Adjective - masculine singular construct,3373,,,, fearing ,,"1) fearing, reverent, afraid"
187117,0,187117,Hebrew,12871,אֱלֹהִ֖ים,’ĕ·lō·hîm,N-mp,Noun - masculine plural,430,,,, God ,,"1) (plural) <BR> 1a) rulers, judges <BR> 1b) divine ones <BR> 1c) angels <BR> 1d) gods <BR> 2) (plural intensive-singular meaning) <BR> 2a) god, goddess <BR> 2b) godlike one <BR> 2c) works or special possessions of God <BR> 2d) the (true) God <BR> 2e) God"
187118,0,187118,Hebrew,12871,וְסָ֥ר,wə·sār,Conj-w | V-Qal-Prtcpl-ms,Conjunctive waw | Verb - Qal - Participle - masculine singular,5493,,,, and shunning ,,"1) to turn aside, depart <BR> 1a) (Qal) <BR> 1a1) to turn aside, turn in unto <BR> 1a2) to depart, depart from way, avoid <BR> 1a3) to be removed <BR> 1a4) to come to an end <BR> 1b) (Polel) to turn aside <BR> 1c) (Hiphil) <BR> 1c1) to cause to turn aside, cause to depart, remove, take away, put away, depose <BR> 1c2) to put aside, leave undone, retract, reject, abolish <BR> 1d) (Hophal) to be taken away, be removed"
