Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
215034,0,215034,Hebrew,16402,מִ֭שְׁלֵי,miš·lê,N-mpc,Noun - masculine plural construct,4912,Proverbs 1:1,The Beginning of Knowledge,(Proverbs 9:1–12), [These are] the proverbs ,,"1) proverb, parable <BR> 1a) proverb, proverbial saying, aphorism <BR> 1b) byword <BR> 1c) similitude, parable <BR> 1d) poem <BR> 1e) sentences of ethical wisdom, ethical maxims"
215035,0,215035,Hebrew,16402,שְׁלֹמֹ֣ה,šə·lō·mōh,N-proper-ms,Noun - proper - masculine singular,8010,,,, of Solomon ,,Solomon = |peace|<BR> 1) son of David by Bathsheba and 3rd king of Israel; author of Proverbs and Song of Songs
215036,0,215036,Hebrew,16402,בֶן־,ḇen-,N-msc,Noun - masculine singular construct,1121,,,, son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
215037,0,215037,Hebrew,16402,דָּוִ֑ד,dā·wiḏ,N-proper-ms,Noun - proper - masculine singular,1732,,,," of David , ",,David = |beloved|<BR> 1) youngest son of Jesse and second king of Israel
215038,0,215038,Hebrew,16402,מֶ֝֗לֶךְ,me·leḵ,N-msc,Noun - masculine singular construct,4428,,,, king ,,1) king
215039,0,215039,Hebrew,16402,יִשְׂרָאֵֽל׃,yiś·rā·’êl,N-proper-ms,Noun - proper - masculine singular,3478,,,," of Israel , ",,Israel = |God prevails|<BR> 1) the second name for Jacob given to him by God after his wrestling with the angel at Peniel <BR> 2) the name of the descendants and the nation of the descendants of Jacob <BR> 2a) the name of the nation until the death of Solomon and the split <BR> 2b) the name used and given to the northern kingdom consisting of the 10 tribes under Jeroboam; the southern kingdom was known as Judah <BR> 2c) the name of the nation after the return from exile
215040,0,215040,Hebrew,16403,לָדַ֣עַת,lā·ḏa·‘aṯ,Prep-l | V-Qal-Inf,Preposition-l | Verb - Qal - Infinitive construct,3045,Proverbs 1:2,,, for gaining ,,"1) to know <BR> 1a) (Qal) <BR> 1a1) to know <BR> 1a1a) to know, learn to know <BR> 1a1b) to perceive <BR> 1a1c) to perceive and see, find out and discern <BR> 1a1d) to discriminate, distinguish <BR> 1a1e) to know by experience <BR> 1a1f) to recognise, admit, acknowledge, confess <BR> 1a1g) to consider <BR> 1a2) to know, be acquainted with <BR> 1a3) to know (a person carnally) <BR> 1a4) to know how, be skilful in <BR> 1a5) to have knowledge, be wise <BR> 1b) (Niphal) <BR> 1b1) to be made known, be or become known, be revealed <BR> 1b2) to make oneself known <BR> 1b3) to be perceived <BR> 1b4) to be instructed <BR> 1c) (Piel) to cause to know <BR> 1d) (Poal) to cause to know <BR> 1e) (Pual) <BR> 1e1) to be known <BR> 1e2) known, one known, acquaintance (participle) <BR> 1f) (Hiphil) to make known, declare <BR> 1g) (Hophal) to be made known <BR> 1h) (Hithpael) to make oneself known, reveal oneself"
215041,0,215041,Hebrew,16403,חָכְמָ֣ה,ḥāḵ·māh,N-fs,Noun - feminine singular,2451,,,, wisdom ,,"1) wisdom <BR> 1a) skill (in war) <BR> 1b) wisdom (in administration) <BR> 1c) shrewdness, wisdom <BR> 1d) wisdom, prudence (in religious affairs) <BR> 1e) wisdom (ethical and religious)"
215042,0,215042,Hebrew,16403,וּמוּסָ֑ר,ū·mū·sār,Conj-w | N-ms,Conjunctive waw | Noun - masculine singular,4148,,,," and discipline , ",,"1) discipline, chastening, correction <BR> 1a) discipline, correction <BR> 1b) chastening"
215043,0,215043,Hebrew,16403,לְ֝הָבִ֗ין,lə·hā·ḇîn,Prep-l | V-Hifil-Inf,Preposition-l | Verb - Hifil - Infinitive construct,995,,,, for comprehending ,,"1) to discern, understand, consider <BR> 1a) (Qal) <BR> 1a1) to perceive, discern <BR> 1a2) to understand, know (with the mind) <BR> 1a3) to observe, mark, give heed to, distinguish, consider <BR> 1a4) to have discernment, insight, understanding <BR> 1b) (Niphal) to be discerning, intelligent, discreet, have understanding <BR> 1c) (Hiphil) <BR> 1c1) to understand <BR> 1c2) to cause to understand, give understanding, teach <BR> 1d) (Hithpolel) to show oneself discerning or attentive, consider diligently <BR> 1e) (Polel) to teach, instruct <BR> 2) (TWOT) prudent, regard"
215044,0,215044,Hebrew,16403,אִמְרֵ֥י,’im·rê,N-mpc,Noun - masculine plural construct,561,,,, words ,,"1) utterance, speech, word, saying, promise, command"
215045,0,215045,Hebrew,16403,בִינָֽה׃,ḇî·nāh,N-fs,Noun - feminine singular,998,,,," of insight , ",,"1) understanding, discernment <BR> 1a) act <BR> 1b) faculty <BR> 1c) object <BR> 1d) personified"
