Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
221949,0,221949,Hebrew,17317,דִּבְרֵי֙,diḇ·rê,N-mpc,Noun - masculine plural construct,1697,Ecclesiastes 1:1,Everything Is Futile,, [These are] the words ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
221950,0,221950,Hebrew,17317,קֹהֶ֣לֶת,qō·he·leṯ,N-ms,Noun - masculine singular,6953,,,," of the Teacher , ",Or <i>the Convener</i> or <i>the Preacher</i> or <i>the leader of the assembly</i>; Hebrew <i>Qoheleth</i> is rendered as <i>the Teacher</i> throughout Ecclesiastes.,"1) collector (of sentences), preacher, public speaker, speaker in an assembly, Qoheleth"
221951,0,221951,Hebrew,17317,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, the son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
221952,0,221952,Hebrew,17317,דָּוִ֔ד,dā·wiḏ,N-proper-ms,Noun - proper - masculine singular,1732,,,," of David , ",,David = |beloved|<BR> 1) youngest son of Jesse and second king of Israel
221953,0,221953,Hebrew,17317,מֶ֖לֶךְ,me·leḵ,N-ms,Noun - masculine singular,4428,,,, king ,,1) king
221954,0,221954,Hebrew,17317,בִּירוּשָׁלִָֽם׃,bî·rū·šā·lim,Prep-b | N-proper-fs,Preposition-b | Noun - proper - feminine singular,3389,,,, in Jerusalem : ,,Jerusalem = |teaching of peace| <BR> 1) the chief city of Palestine and capital of the united kingdom and the nation of Judah after the split
221955,0,221955,Hebrew,17318,הֲבֵ֤ל,hă·ḇêl,N-msc,Noun - masculine singular construct,1892,Ecclesiastes 1:2,,, “ Futility ,Literally <i>vapor</i> or <i>breath</i>; the Hebrew words translated in Ecclesiastes as forms of <i>futile</i> or <i>fleeting</i> can also be translated as <i>vanity</i> or <i>meaningless</i>.,"n m <BR> 1) vapour, breath <BR> 1a) breath, vapour <BR> 1b) vanity (fig.) <BR> adv<BR> 2) vainly"
221956,0,221956,Hebrew,17318,הֲבָלִים֙,hă·ḇā·lîm,N-mp,Noun - masculine plural,1892,,,," of futilities , ” ",,"n m <BR> 1) vapour, breath <BR> 1a) breath, vapour <BR> 1b) vanity (fig.) <BR> adv<BR> 2) vainly"
221957,0,221957,Hebrew,17318,אָמַ֣ר,’ā·mar,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,559,,,, says ,,"1) to say, speak, utter <BR> 1a) (Qal) to say, to answer, to say in one's heart, to think, to command, to promise, to intend <BR> 1b) (Niphal) to be told, to be said, to be called <BR> 1c) (Hithpael) to boast, to act proudly <BR> 1d) (Hiphil) to avow, to avouch"
221958,0,221958,Hebrew,17318,קֹהֶ֔לֶת,qō·he·leṯ,N-ms,Noun - masculine singular,6953,,,," the Teacher , ",,"1) collector (of sentences), preacher, public speaker, speaker in an assembly, Qoheleth"
221959,0,221959,Hebrew,17318,הֲבֵ֥ל,hă·ḇêl,N-msc,Noun - masculine singular construct,1892,,,, “ futility ,,"n m <BR> 1) vapour, breath <BR> 1a) breath, vapour <BR> 1b) vanity (fig.) <BR> adv<BR> 2) vainly"
221960,0,221960,Hebrew,17318,הֲבָלִ֖ים,hă·ḇā·lîm,N-mp,Noun - masculine plural,1892,,,, of futilities ! ,,"n m <BR> 1) vapour, breath <BR> 1a) breath, vapour <BR> 1b) vanity (fig.) <BR> adv<BR> 2) vainly"
221961,0,221961,Hebrew,17318,הַכֹּ֥ל,hak·kōl,Art | N-ms,Article | Noun - masculine singular,3605,,,, Everything ,,"1) all, the whole <BR> 1a) all, the whole of <BR> 1b) any, each, every, anything <BR> 1c) totality, everything"
221962,0,221962,Hebrew,17318,הָֽבֶל׃,hā·ḇel,N-ms,Noun - masculine singular,1892,,,, is futile ! ” ,,"n m <BR> 1) vapour, breath <BR> 1a) breath, vapour <BR> 1b) vanity (fig.) <BR> adv<BR> 2) vainly"
