Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
224938,0,224936,Hebrew,17539,אֲשֶׁ֥ר,’ă·šer,Pro-r,Pronoun - relative,834,Song of Solomon 1:1,The Bride Confesses Her Love,(Ephesians 5:22–33; 1 Peter 3:1–7), This [is] ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
224939,0,224937,Hebrew,17539,לִשְׁלֹמֹֽה׃,liš·lō·mōh,Prep-l | N-proper-ms,Preposition-l | Noun - proper - masculine singular,8010,,,, Solomon’s ,,Solomon = |peace|<BR> 1) son of David by Bathsheba and 3rd king of Israel; author of Proverbs and Song of Songs
224936,0,224938,Hebrew,17539,שִׁ֥יר,šîr,N-msc,Noun - masculine singular construct,7892,,,, Song ,,"n m <BR> 1) song <BR> 1a) lyric song <BR> 1b) religious song <BR> 1c) song of Levitical choirs <BR> n f <BR> 2) song <BR> 2a) song, ode"
224937,0,224939,Hebrew,17539,הַשִּׁירִ֖ים,haš·šî·rîm,Art | N-mp,Article | Noun - masculine plural,7892,,,, of Songs . ,"Most translators add subheadings for speaker identifications such as <i>The Bride</i>, <i>The Groom</i>, and <i>The Friends</i> based on the gender and number of the Hebrew words.","n m <BR> 1) song <BR> 1a) lyric song <BR> 1b) religious song <BR> 1c) song of Levitical choirs <BR> n f <BR> 2) song <BR> 2a) song, ode"
224940,0,224940,Hebrew,17540,יִשָּׁקֵ֙נִי֙,yiš·šā·qê·nî,V-Qal-Imperf-3ms | 1cs,Verb - Qal - Imperfect - third person masculine singular | first person common singular,5401,Song of Solomon 1:2,The Bride,, Let him kiss me ,,"1) to put together, kiss <BR> 1a) (Qal) to kiss <BR> 1b) (Piel) to kiss <BR> 1c) (Hiphil) to touch gently <BR> 2) to handle, be equipped with <BR> 2a) (Qal) to be equipped"
224941,0,224941,Hebrew,17540,מִנְּשִׁיק֣וֹת,min·nə·šî·qō·wṯ,Prep-m | N-fpc,Preposition-m | Noun - feminine plural construct,5390,,,, with the kisses ,,1) kiss
224942,0,224942,Hebrew,17540,פִּ֔יהוּ,pî·hū,N-msc | 3ms,Noun - masculine singular construct | third person masculine singular,6310,,,, of his mouth ! ,,"peh<BR> 1) mouth <BR> 1a) mouth (of man)<BR> 1b) mouth (as organ of speech) <BR> 1c) mouth (of animals) <BR> 1d) mouth, opening, orifice (of a well, river, etc) <BR> 1e) extremity, end pim <BR> 2) a weight equal to one third of a shekel, occurs only in 1Sa 13:21"
224943,0,224943,Hebrew,17540,כִּֽי־,kî-,Conj,Conjunction,3588,,,, For ,,"1) that, for, because, when, as though, as, because that, but, then, certainly, except, surely, since <BR> 1a) that <BR> 1a1) yea, indeed <BR> 1b) when (of time) <BR> 1b1) when, if, though (with a concessive force) <BR> 1c) because, since (causal connection) <BR> 1d) but (after negative) <BR> 1e) that if, for if, indeed if, for though, but if <BR> 1f) but rather, but <BR> 1g) except that <BR> 1h) only, nevertheless <BR> 1i) surely <BR> 1j) that is <BR> 1k) but if <BR> 1l) for though <BR> 1m) forasmuch as, for therefore"
224945,0,224944,Hebrew,17540,דֹּדֶ֖יךָ,dō·ḏe·ḵā,N-mpc | 2ms,Noun - masculine plural construct | second person masculine singular,1730,,,, your love ,,"1) beloved, love, uncle <BR> 1a) loved one, beloved <BR> 1b) uncle <BR> 1c) love (pl. abstract)"
224944,0,224945,Hebrew,17540,טוֹבִ֥ים,ṭō·w·ḇîm,Adj-mp,Adjective - masculine plural,2896,,,, is more delightful ,,"adj <BR> 1) good, pleasant, agreeable <BR> 1a) pleasant, agreeable (to the senses) <BR> 1b) pleasant (to the higher nature) <BR> 1c) good, excellent (of its kind) <BR> 1d) good, rich, valuable in estimation <BR> 1e) good, appropriate, becoming <BR> 1f) better (comparative) <BR> 1g) glad, happy, prosperous (of man's sensuous nature) <BR> 1h) good understanding (of man's intellectual nature) <BR> 1i) good, kind, benign <BR> 1j) good, right (ethical) <BR> n m <BR> 2) a good thing, benefit, welfare <BR> 2a) welfare, prosperity, happiness <BR> 2b) good things (collective) <BR> 2c) good, benefit <BR> 2d) moral good <BR> n f <BR> 3) welfare, benefit, good things <BR> 3a) welfare, prosperity, happiness <BR> 3b) good things (collective) <BR> 3c) bounty"
224946,0,224946,Hebrew,17540,מִיָּֽיִן׃,mî·yā·yin,Prep-m | N-ms,Preposition-m | Noun - masculine singular,3196,,,, than wine . ,,1) wine
224947,0,224947,Hebrew,17541,לְרֵ֙יחַ֙,lə·rê·aḥ,Prep-l | N-ms,Preposition-l | Noun - masculine singular,7381,Song of Solomon 1:3,,, The fragrance ,,"1) scent, fragrance, aroma, odour <BR> 1a) scent, odour <BR> 1b) odour of soothing (technical term for sacrifice to God)"
224948,0,224948,Hebrew,17541,שְׁמָנֶ֣יךָ,šə·mā·ne·ḵā,N-mpc | 2ms,Noun - masculine plural construct | second person masculine singular,8081,,,, of your perfume ,,"1) fat, oil <BR> 1a) fat, fatness <BR> 1b) oil, olive oil <BR> 1b1) as staple, medicament or unguent <BR> 1b2) for anointing <BR> 1c) fat (of fruitful land, valleys) (metaph)"
224949,0,224949,Hebrew,17541,טוֹבִ֔ים,ṭō·w·ḇîm,Adj-mp,Adjective - masculine plural,2896,,,, is pleasing ; ,,"adj <BR> 1) good, pleasant, agreeable <BR> 1a) pleasant, agreeable (to the senses) <BR> 1b) pleasant (to the higher nature) <BR> 1c) good, excellent (of its kind) <BR> 1d) good, rich, valuable in estimation <BR> 1e) good, appropriate, becoming <BR> 1f) better (comparative) <BR> 1g) glad, happy, prosperous (of man's sensuous nature) <BR> 1h) good understanding (of man's intellectual nature) <BR> 1i) good, kind, benign <BR> 1j) good, right (ethical) <BR> n m <BR> 2) a good thing, benefit, welfare <BR> 2a) welfare, prosperity, happiness <BR> 2b) good things (collective) <BR> 2c) good, benefit <BR> 2d) moral good <BR> n f <BR> 3) welfare, benefit, good things <BR> 3a) welfare, prosperity, happiness <BR> 3b) good things (collective) <BR> 3c) bounty"
