Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
264951,0,264951,Hebrew,20312,אֵיכָ֣ה׀,’ê·ḵāh,Interjection,Interjection,349,Lamentations 1:1,How Lonely Lies the City!,(2 Kings 24:10–17), How ,"This chapter is an acrostic poem, each verse beginning with the successive letters of the Hebrew alphabet.",interrog adv <BR> 1) how? <BR> interj <BR> 2) how! (in lamentation) <BR> 3) expression of satisfaction
264953,0,264952,Hebrew,20312,בָדָ֗ד,ḇā·ḏāḏ,N-ms,Noun - masculine singular,910,,,, lonely ,,"n m <BR> 1) isolation, withdrawal, separation <BR> 1a) an isolated city <BR> adv <BR> 2) alone <BR> 2a) security (fig.)"
264952,0,264953,Hebrew,20312,יָשְׁבָ֣ה,yā·šə·ḇāh,V-Qal-Perf-3fs,Verb - Qal - Perfect - third person feminine singular,3427,,,, lies ,,"1) to dwell, remain, sit, abide <BR> 1a) (Qal) <BR> 1a1) to sit, sit down <BR> 1a2) to be set <BR> 1a3) to remain, stay <BR> 1a4) to dwell, have one's abode <BR> 1b) (Niphal) to be inhabited <BR> 1c) (Piel) to set, place <BR> 1d) (Hiphil) <BR> 1d1) to cause to sit <BR> 1d2) to cause to abide, set <BR> 1d3) to cause to dwell <BR> 1d4) to cause (cities) to be inhabited <BR> 1d5) to marry (give an dwelling to) <BR> 1e) (Hophal) <BR> 1e1) to be inhabited <BR> 1e2) to make to dwell"
264954,0,264954,Hebrew,20312,הָעִיר֙,hā·‘îr,Art | N-fs,Article | Noun - feminine singular,5892,,,," the city , ",,"1) excitement, anguish <BR> 1a) of terror <BR> 2) city, town (a place of waking, guarded) <BR> 2a) city, town"
264955,0,264955,Hebrew,20312,רַבָּ֣תִי,rab·bā·ṯî,Adj-fsc,Adjective - feminine singular construct,7227,,,, once so full ,,"adj <BR> 1) much, many, great <BR> 1a) much <BR> 1b) many <BR> 1c) abounding in <BR> 1d) more numerous than <BR> 1e) abundant, enough <BR> 1f) great <BR> 1g) strong <BR> 1h) greater than <BR> adv <BR> 1i) much, exceedingly <BR> n m <BR> 2) captain, chief"
264956,0,264956,Hebrew,20312,עָ֔ם,‘ām,N-ms,Noun - masculine singular,5971,,,, of people ! ,,"1) nation, people <BR> 1a) people, nation <BR> 1b) persons, members of one's people, compatriots, country-men <BR> 2) kinsman, kindred"
264959,0,264957,Hebrew,20312,רַּבָּ֣תִי,rab·bå̄·ṯī,Adj-fsc,Adjective - feminine singular construct,7227,,,, She who was great ,,"adj <BR> 1) much, many, great <BR> 1a) much <BR> 1b) many <BR> 1c) abounding in <BR> 1d) more numerous than <BR> 1e) abundant, enough <BR> 1f) great <BR> 1g) strong <BR> 1h) greater than <BR> adv <BR> 1i) much, exceedingly <BR> n m <BR> 2) captain, chief"
264960,0,264958,Hebrew,20312,בַגּוֹיִ֗ם,ḇag·gō·w·yim,"Prep-b, Art | N-mp","Preposition-b, Article | Noun - masculine plural",1471,,,, among the nations ,,"n m <BR> 1) nation, people <BR> 1a) nation, people<BR> 1a1) usually of non-Hebrew people <BR> 1a2) of descendants of Abraham <BR> 1a3) of Israel <BR> 1b) of swarm of locusts, other animals (fig.) <BR> n pr m <BR> 1c) Goyim? = |nations|"
264957,0,264959,Hebrew,20312,הָיְתָ֖ה,hā·yə·ṯāh,V-Qal-Perf-3fs,Verb - Qal - Perfect - third person feminine singular,1961,,,, has become ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
264958,0,264960,Hebrew,20312,כְּאַלְמָנָ֑ה,kə·’al·mā·nāh,Prep-k | N-fs,Preposition-k | Noun - feminine singular,490,,,, a widow . ,,1) widow
264961,0,264961,Hebrew,20312,שָׂרָ֙תִי֙,śā·rā·ṯî,N-fsc,Noun - feminine singular construct,8282,,,, The princess ,,"1) princess, noblewoman, noble lady"
264962,0,264962,Hebrew,20312,בַּמְּדִינ֔וֹת,bam·mə·ḏî·nō·wṯ,"Prep-b, Art | N-fp","Preposition-b, Article | Noun - feminine plural",4082,,,, of the provinces ,,"1) province, district <BR> 1a) district <BR> 1b) province"
