Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
285224,0,285223,Hebrew,21739,שָׁל֔וֹשׁ,šā·lō·wōš,Number-fs,Number - feminine singular,7969,Daniel 1:1,Daniel Removed to Babylon,, In the third ,,"1) three, triad <BR> 1a) 3, 300, third"
285223,0,285224,Hebrew,21739,בִּשְׁנַ֣ת,biš·naṯ,Prep-b | N-fsc,Preposition-b | Noun - feminine singular construct,8141,,,, year ,,1) year <BR> 1a) as division of time <BR> 1b) as measure of time <BR> 1c) as indication of age <BR> 1d) a lifetime (of years of life)
285225,0,285225,Hebrew,21739,לְמַלְכ֖וּת,lə·mal·ḵūṯ,Prep-l | N-fsc,Preposition-l | Noun - feminine singular construct,4438,,,, of the reign ,,"1) royalty, royal power, reign, kingdom, sovereign power <BR> 1a) royal power, dominion <BR> 1b) reign <BR> 1c) kingdom, realm"
285226,0,285226,Hebrew,21739,יְהוֹיָקִ֣ים,yə·hō·w·yā·qîm,N-proper-ms,Noun - proper - masculine singular,3079,,,, of Jehoiakim ,,Jehoiakim = |Jehovah raises up|<BR> 1) son of Josiah and the third from the last king of Judah; subject vassel of Nebuchadnezzar who reigned for 11 years before he died a violent death either in combat or by the hands of his own subjects
285227,0,285227,Hebrew,21739,מֶֽלֶךְ־,me·leḵ-,N-msc,Noun - masculine singular construct,4428,,,, king ,,1) king
285228,0,285228,Hebrew,21739,יְהוּדָ֑ה,yə·hū·ḏāh,N-proper-ms,Noun - proper - masculine singular,3063,,,," of Judah , ",,Judah = |praised|<BR> 1) the son of Jacob by Leah <BR> 2) the tribe descended from Judah the son of Jacob <BR> 3) the territory occupied by the tribe of Judah <BR> 4) the kingdom comprised of the tribes of Judah and Benjamin which occupied the southern part of Canaan after the nation split upon the death of Solomon <BR> 5) a Levite in Ezra's time <BR> 6) an overseer of Jerusalem in the time of Nehemiah <BR> 7) a Levite musician in the time of Nehemiah <BR> 8) a priest in the time of Nehemiah
285230,0,285229,Hebrew,21739,נְבוּכַדְנֶאצַּ֧ר,nə·ḇū·ḵaḏ·neṣ·ṣar,N-proper-ms,Noun - proper - masculine singular,5019,,,, Nebuchadnezzar ,,Nebuchadnezzar or Nebuchadrezzar = |may Nebo protect the crown|<BR> 1) the great king of Babylon who captured Jerusalem and carried Judah captive
285231,0,285230,Hebrew,21739,מֶֽלֶךְ־,me·leḵ-,N-msc,Noun - masculine singular construct,4428,,,, king ,,1) king
285232,0,285231,Hebrew,21739,בָּבֶ֛ל,bā·ḇel,N-proper-fs,Noun - proper - feminine singular,894,,,, of Babylon ,,"Babel or Babylon = |confusion (by mixing)|<BR> 1) Babel or Babylon, the ancient site and/or capital of Babylonia (modern Hillah) situated on the Euphrates"
285229,0,285232,Hebrew,21739,בָּ֣א,bā,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,935,,,, came ,,"1) to go in, enter, come, go, come in <BR> 1a) (Qal) <BR> 1a1) to enter, come in <BR> 1a2) to come <BR> 1a2a) to come with <BR> 1a2b) to come upon, fall or light upon, attack (enemy) <BR> 1a2c) to come to pass <BR> 1a3) to attain to <BR> 1a4) to be enumerated <BR> 1a5) to go <BR> 1b) (Hiphil) <BR> 1b1) to lead in <BR> 1b2) to carry in <BR> 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon <BR> 1b4) to bring to pass <BR> 1c) (Hophal) <BR> 1c1) to be brought, brought in <BR> 1c2) to be introduced, be put"
285233,0,285233,Hebrew,21739,יְרוּשָׁלִַ֖ם,yə·rū·šā·lim,N-proper-fs,Noun - proper - feminine singular,3389,,,, to Jerusalem ,,Jerusalem = |teaching of peace| <BR> 1) the chief city of Palestine and capital of the united kingdom and the nation of Judah after the split
285234,0,285234,Hebrew,21739,וַיָּ֥צַר,way·yā·ṣar,Conj-w | V-Qal-ConsecImperf-3ms,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular,6696,,,, and besieged ,,"1) to bind, besiege, confine, cramp <BR> 1a) (Qal) <BR> 1a1) to confine, secure <BR> 1a2) to shut in, beseige <BR> 1a3) to shut up, enclose <BR> 2) (Qal) to show hostility to, be an adversary, treat as foe <BR> 3) (Qal) to form, fashion, delineate"
