Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
291142,0,291142,Hebrew,22096,דְּבַר־,də·ḇar-,N-msc,Noun - masculine singular construct,1697,Hosea 1:1,Hosea’s Wife and Children,, [This is] the word ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
291143,0,291143,Hebrew,22096,יְהוָ֣ה׀,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, of the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
291144,0,291144,Hebrew,22096,אֲשֶׁ֣ר,’ă·šer,Pro-r,Pronoun - relative,834,,,, that ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
291145,0,291145,Hebrew,22096,הָיָ֗ה,hā·yāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,1961,,,, came ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
291146,0,291146,Hebrew,22096,אֶל־,’el-,Prep,Preposition,413,,,, to ,,"1) to, toward, unto (of motion) <BR> 2) into (limit is actually entered) <BR> 2a) in among <BR> 3) toward (of direction, not necessarily physical motion) <BR> 4) against (motion or direction of a hostile character) <BR> 5) in addition to, to <BR> 6) concerning, in regard to, in reference to, on account of <BR> 7) according to (rule or standard) <BR> 8) at, by, against (of one's presence) <BR> 9) in between, in within, to within, unto (idea of motion to)"
291147,0,291147,Hebrew,22096,הוֹשֵׁ֙עַ֙,hō·wō·šê·a‘,N-proper-ms,Noun - proper - masculine singular,1954,,,, Hosea ,,"Hosea or Hoshea or Oshea = |salvation|<BR> 1) family name of Joshua, the son of Nun <BR> 2) the 19th and last king of the northern kingdom of Israel <BR> 3) son of Beeri, and the first of the minor prophets; prophet to the northern kingdom of Israel in the reign of Jeroboam II <BR> 4) a son of Azaziah, a chief of Ephraim in the time of David <BR> 5) an Israelite chief who sealed the covenant with Nehemiah"
291148,0,291148,Hebrew,22096,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
291149,0,291149,Hebrew,22096,בְּאֵרִ֔י,bə·’ê·rî,N-proper-ms,Noun - proper - masculine singular,882,,,, of Beeri ,,Beeri = |my well|<BR> 1) Esau's Hittite father-in-law <BR> 2) father of Hosea
291150,0,291150,Hebrew,22096,בִּימֵ֨י,bî·mê,Prep-b | N-mpc,Preposition-b | Noun - masculine plural construct,3117,,,, in the days ,,"1) day, time, year <BR> 1a) day (as opposed to night) <BR> 1b) day (24 hour period) <BR> 1b1) as defined by evening and morning in Genesis 1 <BR> 1b2) as a division of time <BR> 1b2a) a working day, a day's journey <BR> 1c) days, lifetime (pl.) <BR> 1d) time, period (general) <BR> 1e) year <BR> 1f) temporal references <BR> 1f1) today <BR> 1f2) yesterday <BR> 1f3) tomorrow"
291151,0,291151,Hebrew,22096,עֻזִּיָּ֥ה,‘uz·zî·yāh,N-proper-ms,Noun - proper - masculine singular,5818,,,," of Uzziah , ",,"Uzziah = |my strength is Jehovah|<BR> 1) son of king Amaziah of Judah and king of Judah himself for 52 years; also 'Azariah' <BR> 2) a Kohathite Levite and ancestor of Samuel <BR> 3) a priest of the sons of Harim who took a foreign wife in the time of Ezra <BR> 4) a Judaite, father of Athaiah or Uthai <BR> 5) father of Jehonathan, one of David's overseers"
