Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
293523,0,293523,Hebrew,22293,דְּבַר־,də·ḇar-,N-msc,Noun - masculine singular construct,1697,Joel 1:1,The Invasion of Locusts,, [This is] the word ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
293524,0,293524,Hebrew,22293,יְהוָה֙,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, of the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
293525,0,293525,Hebrew,22293,אֲשֶׁ֣ר,’ă·šer,Pro-r,Pronoun - relative,834,,,, that ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
293526,0,293526,Hebrew,22293,הָיָ֔ה,hā·yāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,1961,,,, came ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
293527,0,293527,Hebrew,22293,אֶל־,’el-,Prep,Preposition,413,,,, to ,,"1) to, toward, unto (of motion) <BR> 2) into (limit is actually entered) <BR> 2a) in among <BR> 3) toward (of direction, not necessarily physical motion) <BR> 4) against (motion or direction of a hostile character) <BR> 5) in addition to, to <BR> 6) concerning, in regard to, in reference to, on account of <BR> 7) according to (rule or standard) <BR> 8) at, by, against (of one's presence) <BR> 9) in between, in within, to within, unto (idea of motion to)"
293528,0,293528,Hebrew,22293,יוֹאֵ֖ל,yō·w·’êl,N-proper-ms,Noun - proper - masculine singular,3100,,,, Joel ,,"Joel = |Jehovah is God|<BR> 1) son of Pethuel and the 2nd of the 12 minor prophets with a book by his name; probably prophesied in the time of king Uzziah of Judah <BR> 2) eldest son of Samuel the prophet and father of Heman the singer <BR> 3) a Simeonite chief <BR> 4) a Reubenite <BR> 5) a chief of Gad <BR> 6) son of Izrahiah and a chief of Issachar <BR> 7) brother of Nathan of Zobah and one of David's mighty warriors <BR> 8) son of Pedaiah and a chief of the half tribe of Manasseh west of the Jordan in the time of David <BR> 9) a son of Nebo who returned with Ezra and had a foreign wife <BR> 10) a Benjamite, son of Zichri <BR> 11) a Levite <BR> 12) a Kohathite Levite in the reign of Hezekiah <BR> 13) a Gershonite Levite chief in the time of David <BR> 14) a Gershonite Levite, son of Jehiel and a descendant of Laadan; maybe same as 13"
293529,0,293529,Hebrew,22293,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
293530,0,293530,Hebrew,22293,פְּתוּאֵֽל׃,pə·ṯū·’êl,N-proper-ms,Noun - proper - masculine singular,6602,,,, of Pethuel : ,,Pethuel = |vision of God|<BR> 1) father of the prophet Joel
293531,0,293531,Hebrew,22294,שִׁמְעוּ־,šim·‘ū-,V-Qal-Imp-mp,Verb - Qal - Imperative - masculine plural,8085,Joel 1:2,,, Hear ,,"v <BR> 1) to hear, listen to, obey <BR> 1a) (Qal) <BR> 1a1) to hear (perceive by ear) <BR> 1a2) to hear of or concerning <BR> 1a3) to hear (have power to hear) <BR> 1a4) to hear with attention or interest, listen to <BR> 1a5) to understand (language) <BR> 1a6) to hear (of judicial cases) <BR> 1a7) to listen, give heed <BR> 1a7a) to consent, agree <BR> 1a7b) to grant request <BR> 1a8) to listen to, yield to <BR> 1a9) to obey, be obedient <BR> 1b) (Niphal) <BR> 1b1) to be heard (of voice or sound) <BR> 1b2) to be heard of <BR> 1b3) to be regarded, be obeyed <BR> 1c) (Piel) to cause to hear, call to hear, summon <BR> 1d) (Hiphil) <BR> 1d1) to cause to hear, tell, proclaim, utter a sound <BR> 1d2) to sound aloud (musical term) <BR> 1d3) to make proclamation, summon <BR> 1d4) to cause to be heard <BR> n m <BR> 2) sound"
293532,0,293532,Hebrew,22294,זֹאת֙,zōṯ,Pro-fs,Pronoun - feminine singular,2063,,,," this , ",,"1) this, this one, here, which, this...that, the one...the other, such <BR> 1a) (alone) <BR> 1a1) this one <BR> 1a2) this...that, the one...the other, another <BR> 1b) (appos to subst) <BR> 1b1) this <BR> 1c) (as predicate) <BR> 1c1) this, such <BR> 1d) (enclitically) <BR> 1d1) then <BR> 1d2) who, whom <BR> 1d3) how now, what now <BR> 1d4) what now <BR> 1d5) wherefore now <BR> 1d6) behold here <BR> 1d7) just now <BR> 1d8) now, now already <BR> 1e) (poetry) <BR> 1e1) wherein, which, those who <BR> 1f) (with prefixes) <BR> 1f1) in this (place) here, then <BR> 1f2) on these conditions, herewith, thus provided, by, through this, for this cause, in this matter <BR> 1f3) thus and thus <BR> 1f4) as follows, things such as these, accordingly, to that effect, in like manner, thus and thus <BR> 1f5) from here, hence, on one side...on the other side <BR> 1f6) on this account <BR> 1f7) in spite of this, which, whence, how"
293533,0,293533,Hebrew,22294,הַזְּקֵנִ֔ים,haz·zə·qê·nîm,Art | Adj-mp,Article | Adjective - masculine plural,2205,,,, O elders ; ,,1) old <BR> 1a) old (of humans) <BR> 1b) elder (of those having authority)
293534,0,293534,Hebrew,22294,וְהַֽאֲזִ֔ינוּ,wə·ha·’ă·zî·nū,Conj-w | V-Hifil-Imp-mp,Conjunctive waw | Verb - Hifil - Imperative - masculine plural,238,,,," and give ear , ",,"1) to hear, listen <BR> 1a) (Hiphil) <BR> 1a1) to hear, listen, give ear <BR> 1a2) to be obedient, harken <BR> 1a3) to hear or listen to prayers (of God)"
293535,0,293535,Hebrew,22294,כֹּ֖ל,kōl,N-msc,Noun - masculine singular construct,3605,,,, all ,,"1) all, the whole <BR> 1a) all, the whole of <BR> 1b) any, each, every, anything <BR> 1c) totality, everything"
