Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
294480,0,294480,Hebrew,22366,דִּבְרֵ֣י,diḇ·rê,N-mpc,Noun - masculine plural construct,1697,Amos 1:1,Judgment on Israel’s Neighbors,(Jeremiah 12:14–17), [These are] the words ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
294481,0,294481,Hebrew,22366,עָמ֔וֹס,‘ā·mō·ws,N-proper-ms,Noun - proper - masculine singular,5986,,,," of Amos , ",,Amos = |burden|<BR> 1) a prophet of the Lord who prophesied in the northern kingdom; native of Tekoa in Judah near Bethlehem and a shepherd by trade; author of the prophetic book by his name
294482,0,294482,Hebrew,22366,אֲשֶׁר־,’ă·šer-,Pro-r,Pronoun - relative,834,,,, who ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
294483,0,294483,Hebrew,22366,הָיָ֥ה,hā·yāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,1961,,,, was ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
294484,0,294484,Hebrew,22366,בַנֹּקְדִ֖ים,ḇan·nō·qə·ḏîm,"Prep-b, Art | N-mp","Preposition-b, Article | Noun - masculine plural",5349,,,, among the sheepherders ,Or <i>sheep breeders</i>,"1) sheep-raiser, sheep-dealer, sheep-tender"
294485,0,294485,Hebrew,22366,מִתְּק֑וֹעַ,mit·tə·qō·w·a‘,Prep-m | N-proper-fs,Preposition-m | Noun - proper - feminine singular,8620,,,, of Tekoa — ,,"Tekoa or Tekoah = |a stockade| <BR> n pr m <BR> 1) a Judaite, son of Ashur and grandson of Hezron <BR> n pr loc <BR> 2) a town in the hill country of Judah near Hebron built by king Rehoboam of Judah; birthplace of Amos <BR> 3) a wilderness area where king Jehoshaphat of Judah defeated the people of Moab, Ammon, and Mount Seir"
294486,0,294486,Hebrew,22366,אֲשֶׁר֩,’ă·šer,Pro-r,Pronoun - relative,834,,,, what ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
294487,0,294487,Hebrew,22366,חָזָ֨ה,ḥā·zāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,2372,,,, he saw ,,"1) to see, perceive, look, behold, prophesy, provide <BR> 1a) (Qal) <BR> 1a1) to see, behold <BR> 1a2) to see as a seer in the ecstatic state <BR> 1a3) to see, perceive <BR> 1a3a) with the intelligence <BR> 1a3b) to see (by experience) <BR> 1a3c) to provide"
294488,0,294488,Hebrew,22366,עַל־,‘al-,Prep,Preposition,5921,,,, concerning ,,"prep<BR> 1) upon, on the ground of, according to, on account of, on behalf of, concerning, beside, in addition to, together with, beyond, above, over, by, on to, towards, to, against <BR> 1a) upon, on the ground of, on the basis of, on account of, because of, therefore, on behalf of, for the sake of, for, with, in spite of, notwithstanding, concerning, in the matter of, as regards <BR> 1b) above, beyond, over (of excess) <BR> 1c) above, over (of elevation or pre-eminence) <BR> 1d) upon, to, over to, unto, in addition to, together with, with (of addition) <BR> 1e) over (of suspension or extension) <BR> 1f) by, adjoining, next, at, over, around (of contiguity or proximity) <BR> 1g) down upon, upon, on, from, up upon, up to, towards, over towards, to, against (with verbs of motion) <BR> 1h) to (as a dative) <BR> conj <BR> 2) because that, because, notwithstanding, although"
294489,0,294489,Hebrew,22366,יִשְׂרָאֵ֜ל,yiś·rā·’êl,N-proper-ms,Noun - proper - masculine singular,3478,,,, Israel ,,Israel = |God prevails|<BR> 1) the second name for Jacob given to him by God after his wrestling with the angel at Peniel <BR> 2) the name of the descendants and the nation of the descendants of Jacob <BR> 2a) the name of the nation until the death of Solomon and the split <BR> 2b) the name used and given to the northern kingdom consisting of the 10 tribes under Jeroboam; the southern kingdom was known as Judah <BR> 2c) the name of the nation after the return from exile
294500,0,294490,Hebrew,22366,שְׁנָתַ֖יִם,šə·nā·ṯa·yim,N-fd,Noun - fd,8141,,,, two years ,Or <i>during the two years</i>,1) year <BR> 1a) as division of time <BR> 1b) as measure of time <BR> 1c) as indication of age <BR> 1d) a lifetime (of years of life)
294501,0,294491,Hebrew,22366,לִפְנֵ֥י,lip̄·nê,Prep-l | N-cpc,Preposition-l | Noun - common plural construct,6440,,,, before ,,"1) face <BR> 1a) face, faces <BR> 1b) presence, person <BR> 1c) face (of seraphim or cherubim) <BR> 1d) face (of animals) <BR> 1e) face, surface (of ground) <BR> 1f) as adv of loc/temp <BR> 1f1) before and behind, toward, in front of, forward, formerly, from beforetime, before <BR> 1g) with prep <BR> 1g1) in front of, before, to the front of, in the presence of, in the face of, at the face or front of, from the presence of, from before, from before the face of"
294502,0,294492,Hebrew,22366,הָרָֽעַשׁ׃,hā·rā·‘aš,Art | N-ms,Article | Noun - masculine singular,7494,,,," the earthquake , ",,"1) quaking, rattling, shaking <BR> 1a) earthquake <BR> 1b) quaking, trembling (of person) <BR> 1c) shaking, quivering (of dart)"
294490,0,294493,Hebrew,22366,בִּימֵ֣י׀,bî·mê,Prep-b | N-mpc,Preposition-b | Noun - masculine plural construct,3117,,,, in the days ,,"1) day, time, year <BR> 1a) day (as opposed to night) <BR> 1b) day (24 hour period) <BR> 1b1) as defined by evening and morning in Genesis 1 <BR> 1b2) as a division of time <BR> 1b2a) a working day, a day's journey <BR> 1c) days, lifetime (pl.) <BR> 1d) time, period (general) <BR> 1e) year <BR> 1f) temporal references <BR> 1f1) today <BR> 1f2) yesterday <BR> 1f3) tomorrow"
294491,0,294494,Hebrew,22366,עֻזִיָּ֣ה,ʿu·zī·yå̄h,N-proper-ms,Noun - proper - masculine singular,5818,,,, [when] Uzziah ,,"Uzziah = |my strength is Jehovah|<BR> 1) son of king Amaziah of Judah and king of Judah himself for 52 years; also 'Azariah' <BR> 2) a Kohathite Levite and ancestor of Samuel <BR> 3) a priest of the sons of Harim who took a foreign wife in the time of Ezra <BR> 4) a Judaite, father of Athaiah or Uthai <BR> 5) father of Jehonathan, one of David's overseers"
294492,0,294495,Hebrew,22366,מֶֽלֶךְ־,me·leḵ-,N-msc,Noun - masculine singular construct,4428,,,, [was] king ,,1) king
294493,0,294496,Hebrew,22366,יְהוּדָ֗ה,yə·hū·ḏāh,N-proper-ms,Noun - proper - masculine singular,3063,,,, of Judah ,,Judah = |praised|<BR> 1) the son of Jacob by Leah <BR> 2) the tribe descended from Judah the son of Jacob <BR> 3) the territory occupied by the tribe of Judah <BR> 4) the kingdom comprised of the tribes of Judah and Benjamin which occupied the southern part of Canaan after the nation split upon the death of Solomon <BR> 5) a Levite in Ezra's time <BR> 6) an overseer of Jerusalem in the time of Nehemiah <BR> 7) a Levite musician in the time of Nehemiah <BR> 8) a priest in the time of Nehemiah
294494,0,294497,Hebrew,22366,וּבִימֵ֞י,ū·ḇî·mê,"Conj-w, Prep-b | N-mpc","Conjunctive waw, Preposition-b | Noun - masculine plural construct",3117,,,, . . . ,,"1) day, time, year <BR> 1a) day (as opposed to night) <BR> 1b) day (24 hour period) <BR> 1b1) as defined by evening and morning in Genesis 1 <BR> 1b2) as a division of time <BR> 1b2a) a working day, a day's journey <BR> 1c) days, lifetime (pl.) <BR> 1d) time, period (general) <BR> 1e) year <BR> 1f) temporal references <BR> 1f1) today <BR> 1f2) yesterday <BR> 1f3) tomorrow"
294495,0,294498,Hebrew,22366,יָרָבְעָ֤ם,yā·rā·ḇə·‘ām,N-proper-ms,Noun - proper - masculine singular,3379,,,, and Jeroboam ,,"Jeroboam = |the people will contend|<BR> 1) the first king of the northern kingdom of Israel when the kingdom split at the death of Solomon and the 10 tribes split off from Judah and Benjamin and the kingdom under Solomon's son Rehoboam; idolatry was introduced at the beginning of his reign <BR> 2) the 8th king of the northern kingdom of Israel, son of Joash, and 4th in the dynasty of Jehu; during his reign the Syrian invaders were repelled and the kingdom restored to its former borders but the idolatry of the kingdom was maintained"
294496,0,294499,Hebrew,22366,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
294497,0,294500,Hebrew,22366,יוֹאָשׁ֙,yō·w·’āš,N-proper-ms,Noun - proper - masculine singular,3101,,,, of Jehoash ,"Hebrew <i>Joash</i>, a variant of <i>Jehoash</i>",Joash = |given by the Lord|<BR> 1) son of king Ahaziah and the 8th king of Judah <BR> 2) son of king Jehoahaz and the 12th king of the northern kingdom of Israel <BR> 3) father of Gideon <BR> 4) a son of king Ahab <BR> 5) a descendant of Shelah the son of Judah; either the son of Shelah or the son of Jokim <BR> 6) son of Shemaah of Gibeah who resorted to David at Ziklag
294498,0,294501,Hebrew,22366,מֶ֣לֶךְ,me·leḵ,N-msc,Noun - masculine singular construct,4428,,,, [was] king ,,1) king
294499,0,294502,Hebrew,22366,יִשְׂרָאֵ֔ל,yiś·rā·’êl,N-proper-ms,Noun - proper - masculine singular,3478,,,, of Israel . ,,Israel = |God prevails|<BR> 1) the second name for Jacob given to him by God after his wrestling with the angel at Peniel <BR> 2) the name of the descendants and the nation of the descendants of Jacob <BR> 2a) the name of the nation until the death of Solomon and the split <BR> 2b) the name used and given to the northern kingdom consisting of the 10 tribes under Jeroboam; the southern kingdom was known as Judah <BR> 2c) the name of the nation after the return from exile
294503,0,294503,Hebrew,22367,וַיֹּאמַ֓ר׀,way·yō·mar,Conj-w | V-Qal-ConsecImperf-3ms,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular,559,Amos 1:2,,, He said : ,,"1) to say, speak, utter <BR> 1a) (Qal) to say, to answer, to say in one's heart, to think, to command, to promise, to intend <BR> 1b) (Niphal) to be told, to be said, to be called <BR> 1c) (Hithpael) to boast, to act proudly <BR> 1d) (Hiphil) to avow, to avouch"
294504,0,294504,Hebrew,22367,יְהוָה֙,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, “ The LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
294506,0,294505,Hebrew,22367,יִשְׁאָ֔ג,yiš·’āḡ,V-Qal-Imperf-3ms,Verb - Qal - Imperfect - third person masculine singular,7580,,,, roars ,,"1) (Qal) to roar <BR> 1a) of lion, conqueror, Jehovah, cry of distress"
294505,0,294506,Hebrew,22367,מִצִיּ֣וֹן,mi·ṣī·yōn,Prep-m | N-proper-fs,Preposition-m | Noun - proper - feminine singular,6726,,,, from Zion ,,Zion = |parched place|<BR> 1) another name for Jerusalem especially in the prophetic books
294508,0,294507,Hebrew,22367,יִתֵּ֣ן,yit·tên,V-Qal-Imperf-3ms,Verb - Qal - Imperfect - third person masculine singular,5414,,,, and raises ,,"1) to give, put, set <BR> 1a) (Qal) <BR> 1a1) to give, bestow, grant, permit, ascribe, employ, devote, consecrate, dedicate, pay wages, sell, exchange, lend, commit, entrust, give over, deliver up, yield produce, occasion, produce, requite to, report, mention, utter, stretch out, extend <BR> 1a2) to put, set, put on, put upon, set, appoint, assign, designate <BR> 1a3) to make, constitute <BR> 1b) (Niphal) <BR> 1b1) to be given, be bestowed, be provided, be entrusted to, be granted to, be permitted, be issued, be published, be uttered, be assigned <BR> 1b2) to be set, be put, be made, be inflicted <BR> 1c) (Hophal) <BR> 1c1) to be given, be bestowed, be given up, be delivered up <BR> 1c2) to be put upon"
294509,0,294508,Hebrew,22367,קוֹל֑וֹ,qō·w·lōw,N-msc | 3ms,Noun - masculine singular construct | third person masculine singular,6963,,,, His voice ,,"1) voice, sound, noise <BR> 1a) voice <BR> 1b) sound (of instrument) <BR> 2) lightness, frivolity"
294507,0,294509,Hebrew,22367,וּמִירוּשָׁלִַ֖ם,ū·mî·rū·šā·lim,"Conj-w, Prep-m | N-proper-fs","Conjunctive waw, Preposition-m | Noun - proper - feminine singular",3389,,,, from Jerusalem ; ,,Jerusalem = |teaching of peace| <BR> 1) the chief city of Palestine and capital of the united kingdom and the nation of Judah after the split
294511,0,294510,Hebrew,22367,נְא֣וֹת,nə·’ō·wṯ,N-fpc,Noun - feminine plural construct,4999,,,, the pastures ,,"1) pasture, abode, abode of shepherd, habitation, meadow <BR> 1a) pasture, meadow <BR> 1b) abode"
294512,0,294511,Hebrew,22367,הָרֹעִ֔ים,hā·rō·‘îm,Art | V-Qal-Prtcpl-mp,Article | Verb - Qal - Participle - masculine plural,7462,,,, of the shepherds ,,"1) to pasture, tend, graze, feed <BR> 1a) (Qal) <BR> 1a1) to tend, pasture <BR> 1a1a) to shepherd <BR> 1a1b) of ruler, teacher (fig) <BR> 1a1c) of people as flock (fig) <BR> 1a1d) shepherd, herdsman (subst) <BR> 1a2) to feed, graze <BR> 1a2a) of cows, sheep etc (literal) <BR> 1a2b) of idolater, Israel as flock (fig) <BR> 1b) (Hiphil) shepherd, shepherdess <BR> 2) to associate with, be a friend of (meaning probable) <BR> 2a) (Qal) to associate with <BR> 2b) (Hithpael) to be companions <BR> 3) (Piel) to be a special friend"
294510,0,294512,Hebrew,22367,וְאָֽבְלוּ֙,wə·’ā·ḇə·lū,Conj-w | V-Qal-ConjPerf-3cp,Conjunctive waw | Verb - Qal - Conjunctive perfect - third person common plural,56,,,," mourn , ",,"1) to mourn, lament <BR> 1a) (Qal) to mourn, lament <BR> 1a1) of humans <BR> 1a2) of inanimate objects (fig.) <BR> 1a2a) of gates <BR> 1a2b) of land <BR> 1b) (Hiphil) <BR> 1b1) to mourn, cause to mourn (fig.) <BR> 1c) (Hithpael) <BR> 1c1) to mourn <BR> 1c2) play the mourner"
294514,0,294513,Hebrew,22367,רֹ֥אשׁ,rōš,N-msc,Noun - masculine singular construct,7218,,,, and the summit ,,"1) head, top, summit, upper part, chief, total, sum, height, front, beginning <BR> 1a) head (of man, animals) <BR> 1b) top, tip (of mountain) <BR> 1c) height (of stars) <BR> 1d) chief, head (of man, city, nation, place, family, priest) <BR> 1e) head, front, beginning <BR> 1f) chief, choicest, best <BR> 1g) head, division, company, band <BR> 1h) sum"
294515,0,294514,Hebrew,22367,הַכַּרְמֶֽל׃פ,hak·kar·mel,Art | N-proper-fs,Article | Noun - proper - feminine singular,3760,,,, of Carmel ,,"Carmel = |garden-land|<BR> 1) a mountain on the Mediterranean coast of northern Israel, just below Haifa <BR> 2) a town in the mountains on the west side of the Dead Sea and south of Hebron"
294513,0,294515,Hebrew,22367,וְיָבֵ֖שׁ,wə·yā·ḇêš,Conj-w | V-Qal-ConjPerf-3ms,Conjunctive waw | Verb - Qal - Conjunctive perfect - third person masculine singular,3001,,,, withers . ” ,,"1) to make dry, wither, be dry, become dry, be dried up, be withered <BR> 1a) (Qal) <BR> 1a1) to be dry, be dried up, be without moisture <BR> 1a2) to be dried up <BR> 1b) (Piel) to make dry, dry up <BR> 1c) (Hiphil) <BR> 1c1) to dry up, make dry <BR> 1c1a) to dry up (water) <BR> 1c1b) to make dry, wither <BR> 1c1c) to exhibit dryness"
294516,0,294516,Hebrew,22368,כֹּ֚ה,kōh,Adv,Adverb,3541,Amos 1:3,,, This is what ,,"1) thus, here, in this manner <BR> 1a) thus, so <BR> 1b) here, here and there<BR> 1c) until now, until now...until then, meanwhile"
294518,0,294517,Hebrew,22368,יְהוָ֔ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
294517,0,294518,Hebrew,22368,אָמַ֣ר,’ā·mar,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,559,,,, says : ,,"1) to say, speak, utter <BR> 1a) (Qal) to say, to answer, to say in one's heart, to think, to command, to promise, to intend <BR> 1b) (Niphal) to be told, to be said, to be called <BR> 1c) (Hithpael) to boast, to act proudly <BR> 1d) (Hiphil) to avow, to avouch"
294519,0,294519,Hebrew,22368,עַל־,‘al-,Prep,Preposition,5921,,,, “ For ,,"prep<BR> 1) upon, on the ground of, according to, on account of, on behalf of, concerning, beside, in addition to, together with, beyond, above, over, by, on to, towards, to, against <BR> 1a) upon, on the ground of, on the basis of, on account of, because of, therefore, on behalf of, for the sake of, for, with, in spite of, notwithstanding, concerning, in the matter of, as regards <BR> 1b) above, beyond, over (of excess) <BR> 1c) above, over (of elevation or pre-eminence) <BR> 1d) upon, to, over to, unto, in addition to, together with, with (of addition) <BR> 1e) over (of suspension or extension) <BR> 1f) by, adjoining, next, at, over, around (of contiguity or proximity) <BR> 1g) down upon, upon, on, from, up upon, up to, towards, over towards, to, against (with verbs of motion) <BR> 1h) to (as a dative) <BR> conj <BR> 2) because that, because, notwithstanding, although"
294520,0,294520,Hebrew,22368,שְׁלֹשָׁה֙,šə·lō·šāh,Number-ms,Number - masculine singular,7969,,,, three ,,"1) three, triad <BR> 1a) 3, 300, third"
