Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
296522,0,296522,Hebrew,22512,חֲז֖וֹן,ḥă·zō·wn,N-msc,Noun - masculine singular construct,2377,Obadiah 1:1,The Destruction of Edom,(Jeremiah 49:7–22), [This is] the vision ,,"1) vision <BR> 1a) vision (in ecstatic state) <BR> 1b) vision (in night) <BR> 1c) vision, oracle, prophecy (divine communication) <BR> 1d) vision (as title of book of prophecy)"
296523,0,296523,Hebrew,22512,עֹֽבַדְיָ֑ה,‘ō·ḇaḏ·yāh,N-proper-ms,Noun - proper - masculine singular,5662,,,, of Obadiah : ,,"Obadiah = |servant of Jehovah|<BR> 1) the 4th of the 12 minor prophets; nothing personal is known of him but it is probable that he was contemporary with Jeremiah, Ezekiel, and Daniel <BR> 1a) the prophetic book by him; prophesies against Edom <BR> 2) father of Ishmaiah, one of the chiefs of Zebulun in the time of David <BR> 3) a Merarite Levite overseer of the work of restoring the temple in the time of king Josiah of Judah <BR> 4) chief of the household of king Ahab of Israel; an devout worshipper of Jehovah who at risk to his own life hid over 100 prophets during the persecution of Jezebel <BR> 5) a descendant of David <BR> 6) a chief of the tribe of Issachar <BR> 7) a Benjamite, one of the 6 sons of Azel and a descendant of king Saul <BR> 8) a Levite, son of Shemaiah and a descendant of Jeduthun <BR> 9) a Gadite chief, the 2nd of the lion-faced Gadites who joined David at Ziklag <BR> 10) a prince of Judah in the time of king Jehoshaphat of Judah <BR> 11) a priest, son of Jehiel of the sons of Joab who returned from exile with Ezra <BR> 12) a gatekeeper in the time of Nehemiah <BR> 13) one of the men who sealed the covenant with Nehemiah <BR> 13a) perhaps the same as 12"
296524,0,296524,Hebrew,22512,כֹּֽה־,kōh-,Adv,Adverb,3541,,,, This is what ,,"1) thus, here, in this manner <BR> 1a) thus, so <BR> 1b) here, here and there<BR> 1c) until now, until now...until then, meanwhile"
296526,0,296525,Hebrew,22512,אֲדֹנָ֨י,’ă·ḏō·nāy,N-proper-ms,Noun - proper - masculine singular,136,,,, the Lord ,,"1) my lord, lord <BR> 1a) of men <BR> 1b) of God <BR> 2) Lord-title, spoken in place of Yahweh in Jewish display of reverence"
296527,0,296526,Hebrew,22512,יְהוִ֜ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3069,,,, GOD ,,1) Jehovah-used primarily in the combination 'Lord Jehovah' <BR> 1a) equal to H03068 but pointed with the vowels of H0430
296525,0,296527,Hebrew,22512,אָמַר֩,’ā·mar,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,559,,,, says ,,"1) to say, speak, utter <BR> 1a) (Qal) to say, to answer, to say in one's heart, to think, to command, to promise, to intend <BR> 1b) (Niphal) to be told, to be said, to be called <BR> 1c) (Hithpael) to boast, to act proudly <BR> 1d) (Hiphil) to avow, to avouch"
296528,0,296528,Hebrew,22512,לֶאֱד֗וֹם,le·’ĕ·ḏō·wm,Prep-l | N-proper-ms,Preposition-l | Noun - proper - masculine singular,123,,,, about Edom — ,,"Edom = |red|<BR> 1) Edom <BR> 2) Edomite, Idumean-descendants of Esau <BR> 3) land of Edom, Idumea-land south and south east of Palestine"
296530,0,296529,Hebrew,22512,שָׁמַ֜עְנוּ,šā·ma‘·nū,V-Qal-Perf-1cp,Verb - Qal - Perfect - first person common plural,8085,,,, We have heard ,,"v <BR> 1) to hear, listen to, obey <BR> 1a) (Qal) <BR> 1a1) to hear (perceive by ear) <BR> 1a2) to hear of or concerning <BR> 1a3) to hear (have power to hear) <BR> 1a4) to hear with attention or interest, listen to <BR> 1a5) to understand (language) <BR> 1a6) to hear (of judicial cases) <BR> 1a7) to listen, give heed <BR> 1a7a) to consent, agree <BR> 1a7b) to grant request <BR> 1a8) to listen to, yield to <BR> 1a9) to obey, be obedient <BR> 1b) (Niphal) <BR> 1b1) to be heard (of voice or sound) <BR> 1b2) to be heard of <BR> 1b3) to be regarded, be obeyed <BR> 1c) (Piel) to cause to hear, call to hear, summon <BR> 1d) (Hiphil) <BR> 1d1) to cause to hear, tell, proclaim, utter a sound <BR> 1d2) to sound aloud (musical term) <BR> 1d3) to make proclamation, summon <BR> 1d4) to cause to be heard <BR> n m <BR> 2) sound"
296531,0,296530,Hebrew,22512,מֵאֵ֤ת,mê·’êṯ,Prep-m | DirObjM,Preposition-m | Direct object marker,854,,,, . . . ,,"1) with, near, together with <BR> 1a) with, together with <BR> 1b) with (of relationship) <BR> 1c) near (of place)<BR> 1d) with (poss.) <BR> 1e) from...with, from (with other prep)"
296529,0,296531,Hebrew,22512,שְׁמוּעָ֨ה,šə·mū·‘āh,N-fs,Noun - feminine singular,8052,,,, a message ,,"1) report, news, rumour <BR> 1a) report, news, tidings <BR> 1b) mention"
