Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
297501,0,297501,Hebrew,22581,דְּבַר־,də·ḇar-,N-msc,Noun - masculine singular construct,1697,Micah 1:1,Judgment to Come,(Isaiah 7:17–25), [This is] the word ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
297502,0,297502,Hebrew,22581,יְהוָ֣ה׀,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, of the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
297503,0,297503,Hebrew,22581,אֲשֶׁ֣ר,’ă·šer,Pro-r,Pronoun - relative,834,,,, that ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
297504,0,297504,Hebrew,22581,הָיָ֗ה,hā·yāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,1961,,,, came ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
297505,0,297505,Hebrew,22581,אֶל־,’el-,Prep,Preposition,413,,,, to ,,"1) to, toward, unto (of motion) <BR> 2) into (limit is actually entered) <BR> 2a) in among <BR> 3) toward (of direction, not necessarily physical motion) <BR> 4) against (motion or direction of a hostile character) <BR> 5) in addition to, to <BR> 6) concerning, in regard to, in reference to, on account of <BR> 7) according to (rule or standard) <BR> 8) at, by, against (of one's presence) <BR> 9) in between, in within, to within, unto (idea of motion to)"
297506,0,297506,Hebrew,22581,מִיכָה֙,mî·ḵāh,N-proper-ms,Noun - proper - masculine singular,4318,,,, Micah ,,"Micah or Micaiah or Michah = |who is like God|<BR> 1) the 6th in order of the minor prophets; a native of Moresheth, he prophesied during the reigns of Jotham, Ahaz, and Hezekiah of Judah, and was contemporary with the prophets Hosea, Amos, and Isaiah <BR> 2) an Ephraimite during the period of the judges <BR> 3) a descendant of Joel the Reubenite <BR> 4) son of Meribbaal and grandson of Jonathan <BR> 5) a Kohathite Levite, the eldest son of Uzziel the brother of Amram <BR> 6) father of Abdon, a man of high station in the reign of Josiah <BR> 7) son of Imlah and a prophet of Samaria who predicted the defeat and death of king Ahab of Israel"
297507,0,297507,Hebrew,22581,הַמֹּ֣רַשְׁתִּ֔י,ham·mō·raš·tî,Art | N-proper-fs,Article | Noun - proper - feminine singular,4183,,,, the Moreshite ,,Morasthite see Moreshethgath = |possession of Gath|<BR> 1) an inhabitant of Moresheth <BR> 1a) the prophet Micah
297508,0,297508,Hebrew,22581,בִּימֵ֥י,bî·mê,Prep-b | N-mpc,Preposition-b | Noun - masculine plural construct,3117,,,, in the days ,,"1) day, time, year <BR> 1a) day (as opposed to night) <BR> 1b) day (24 hour period) <BR> 1b1) as defined by evening and morning in Genesis 1 <BR> 1b2) as a division of time <BR> 1b2a) a working day, a day's journey <BR> 1c) days, lifetime (pl.) <BR> 1d) time, period (general) <BR> 1e) year <BR> 1f) temporal references <BR> 1f1) today <BR> 1f2) yesterday <BR> 1f3) tomorrow"
297509,0,297509,Hebrew,22581,יוֹתָ֛ם,yō·w·ṯām,N-proper-ms,Noun - proper - masculine singular,3147,,,," of Jotham , ",,Jotham = |Jehovah is perfect|<BR> 1) son of king Uzziah of Judah by Jerushah; king of Judah for 16 years and contemporary with Isaiah and king Pekah of Israel <BR> 2) son of Jahdai and a descendant of Caleb and Judah <BR> 3) youngest son of Gideon who escaped from the massacre of his brothers
297510,0,297510,Hebrew,22581,אָחָ֥ז,’ā·ḥāz,N-proper-ms,Noun - proper - masculine singular,271,,,," Ahaz , ",,"Ahaz = |he has grasped|<BR> 1) king of Judah, son Jotham, father of Hezekiah <BR> 2) a Benjamite, son of Micah, and great grandson of Jonathan"
