Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
298897,0,298897,Hebrew,22686,מַשָּׂ֖א,maś·śā,N-msc,Noun - masculine singular construct,4853,Nahum 1:1,The Burden against Nineveh,(Jonah 1:1–3), This is the burden ,,"n m <BR> 1) load, bearing, tribute, burden, lifting <BR> 1a) load, burden <BR> 1b) lifting, uplifting, that to which the soul lifts itself up <BR> 1c) bearing, carrying <BR> 1d) tribute, that which is carried or brought or borne <BR> 2) utterance, oracle, burden <BR> Massa = |burden| <BR> n pr m <BR> 3) (BDB) a son of Ishmael"
298898,0,298898,Hebrew,22686,נִֽינְוֵ֑ה,nî·nə·wêh,N-proper-fs,Noun - proper - feminine singular,5210,,,," against Nineveh , ",,"Nineveh = |abode of Ninus|<BR> 1) capital of the ancient kingdom of Assyria; located on the east bank of the Tigris river, 550 miles (880 km) from its mouth and 250 miles (400 km) north of Babylon"
298899,0,298899,Hebrew,22686,סֵ֧פֶר,sê·p̄er,N-msc,Noun - masculine singular construct,5612,,,, the book ,,"n f<BR> 1) book <BR> n m <BR> 2) missive, document, writing, book <BR> 2a) missive <BR> 2a1) letter (of instruction), written order, commission, request, written decree <BR> 2b) legal document, certificate of divorce, deed of purchase, indictment, sign <BR> 2c) book, scroll <BR> 2c1) book of prophecies <BR> 2c2) genealogical register <BR> 2c3) law-book <BR> 2c4) book (of poems) <BR> 2c5) book (of kings) <BR> 2c6) books of the canon, scripture <BR> 2c7) record book (of God) <BR> 2d) book-learning, writing <BR> 2d1) be able to read (after verb 'to know')"
298900,0,298900,Hebrew,22686,חֲז֛וֹן,ḥă·zō·wn,N-msc,Noun - masculine singular construct,2377,,,, of the vision ,,"1) vision <BR> 1a) vision (in ecstatic state) <BR> 1b) vision (in night) <BR> 1c) vision, oracle, prophecy (divine communication) <BR> 1d) vision (as title of book of prophecy)"
298901,0,298901,Hebrew,22686,נַח֖וּם,na·ḥūm,N-proper-ms,Noun - proper - masculine singular,5151,,,, of Nahum ,,"Nahum = |comfort|<BR> 1) the Elkoshite, prophet who predicted the fall and destruction of Nineveh; writer of the book by his name; personal history and situation unknown"
298902,0,298902,Hebrew,22686,הָאֶלְקֹשִֽׁי׃,hā·’el·qō·šî,Art | N-proper-ms,Article | Noun - proper - masculine singular,512,,,, the Elkoshite : ,,Elkoshite = |God the ensnarer|<BR> 1) a native and/or descendant of Elkosh (location unknown)
298906,0,298903,Hebrew,22687,יְהוָ֔ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,Nahum 1:2,,, The LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
298904,0,298904,Hebrew,22687,קַנּ֤וֹא,qan·nō·w,Adj-ms,Adjective - masculine singular,7072,,,, is a jealous ,,1) jealous
298905,0,298905,Hebrew,22687,וְנֹקֵם֙,wə·nō·qêm,Conj-w | V-Qal-Prtcpl-ms,Conjunctive waw | Verb - Qal - Participle - masculine singular,5358,,,, and avenging ,,"1) to avenge, take vengeance, revenge, avenge oneself, be avenged, be punished <BR> 1a) (Qal)<BR> 1a1) to avenge, take vengeance <BR> 1a2) to entertain revengeful feelings <BR> 1b) (Niphal) <BR> 1b1) to avenge oneself <BR> 1b2) to suffer vengeance <BR> 1c) (Piel) to avenge <BR> 1d) (Hophal) to be avenged, vengeance be taken (for blood) <BR> 1e) (Hithpael) to avenge oneself"
298903,0,298906,Hebrew,22687,אֵ֣ל,’êl,N-ms,Noun - masculine singular,410,,,, God ; ,,"1) god, god-like one, mighty one <BR> 1a) mighty men, men of rank, mighty heroes <BR> 1b) angels <BR> 1c) god, false god, (demons, imaginations) <BR> 1d) God, the one true God, Jehovah <BR> 2) mighty things in nature <BR> 3) strength, power"
298908,0,298907,Hebrew,22687,יְהוָ֖ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
298907,0,298908,Hebrew,22687,נֹקֵ֥ם,nō·qêm,V-Qal-Prtcpl-ms,Verb - Qal - Participle - masculine singular,5358,,,, is avenging ,,"1) to avenge, take vengeance, revenge, avenge oneself, be avenged, be punished <BR> 1a) (Qal)<BR> 1a1) to avenge, take vengeance <BR> 1a2) to entertain revengeful feelings <BR> 1b) (Niphal) <BR> 1b1) to avenge oneself <BR> 1b2) to suffer vengeance <BR> 1c) (Piel) to avenge <BR> 1d) (Hophal) to be avenged, vengeance be taken (for blood) <BR> 1e) (Hithpael) to avenge oneself"
298909,0,298909,Hebrew,22687,וּבַ֣עַל,ū·ḇa·‘al,Conj-w | N-msc,Conjunctive waw | Noun - masculine singular construct,1167,,,, and full ,,"1) owner, husband, lord <BR> 1a) owner <BR> 1b) a husband <BR> 1c) citizens, inhabitants <BR> 1d) rulers, lords <BR> 1e) (noun of relationship used to characterise-ie, master of dreams) <BR> 1f) lord (used of foreign gods)"
298910,0,298910,Hebrew,22687,חֵמָ֑ה,ḥê·māh,N-fs,Noun - feminine singular,2534,,,, of wrath . ,,"1) heat, rage, hot displeasure, indignation, anger, wrath, poison, bottles <BR> 1a) heat <BR> 1a1) fever <BR> 1a2) venom, poison (fig.) <BR> 1b) burning anger, rage"
298912,0,298911,Hebrew,22687,יְהוָה֙,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, The LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
298911,0,298912,Hebrew,22687,נֹקֵ֤ם,nō·qêm,V-Qal-Prtcpl-ms,Verb - Qal - Participle - masculine singular,5358,,,, takes vengeance ,,"1) to avenge, take vengeance, revenge, avenge oneself, be avenged, be punished <BR> 1a) (Qal)<BR> 1a1) to avenge, take vengeance <BR> 1a2) to entertain revengeful feelings <BR> 1b) (Niphal) <BR> 1b1) to avenge oneself <BR> 1b2) to suffer vengeance <BR> 1c) (Piel) to avenge <BR> 1d) (Hophal) to be avenged, vengeance be taken (for blood) <BR> 1e) (Hithpael) to avenge oneself"
298913,0,298913,Hebrew,22687,לְצָרָ֔יו,lə·ṣā·rāw,Prep-l | N-mpc | 3ms,Preposition-l | Noun - masculine plural construct | third person masculine singular,6862,,,, on His foes ,,"1) narrow, tight <BR> 2) straits, distress <BR> 3) adversary, foe, enemy, oppressor <BR> 4) hard pebble, flint"
298915,0,298914,Hebrew,22687,ה֖וּא,hū,Pro-3ms,Pronoun - third person masculine singular,1931,,,, - ,,"pron 3p s<BR> 1) he, she, it <BR> 1a) himself (with emphasis) <BR> 1b) resuming subj with emphasis <BR> 1c) (with minimum emphasis following predicate) <BR> 1d) (anticipating subj) <BR> 1e) (emphasising predicate) <BR> 1f) that, it (neuter) demons pron <BR> 2) that (with article)"
298914,0,298915,Hebrew,22687,וְנוֹטֵ֥ר,wə·nō·w·ṭêr,Conj-w | V-Qal-Prtcpl-ms,Conjunctive waw | Verb - Qal - Participle - masculine singular,5201,,,, and reserves [wrath] ,,"1) to keep, keep guard, reserve, maintain <BR> 1a) (Qal) <BR> 1a1) to keep, maintain <BR> 1a2) to keep, guard"
298916,0,298916,Hebrew,22687,לְאֹיְבָֽיו׃,lə·’ō·yə·ḇāw,Prep-l | V-Qal-Prtcpl-mpc | 3ms,Preposition-l | Verb - Qal - Participle - masculine plural construct | third person masculine singular,341,,,, for His enemies . ,,1) (Qal) enemy <BR> 1a) personal <BR> 1b) national
298917,0,298917,Hebrew,22688,יְהֹוָ֗ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,Nahum 1:3,,, The LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
298918,0,298918,Hebrew,22688,אֶ֤רֶךְ,’e·reḵ,Adj-msc,Adjective - masculine singular construct,750,,,, is slow ,,"1) long (pinions) <BR> 2) patient, slow to anger"
298919,0,298919,Hebrew,22688,אַפַּ֙יִם֙,’ap·pa·yim,N-md,Noun - md,639,,,, to anger ,,"1) nostril, nose, face <BR> 2) anger"
