Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
299455,0,299455,Hebrew,22733,הַמַּשָׂא֙,ham·ma·śå̄,Art | N-ms,Article | Noun - masculine singular,4853,Habakkuk 1:1,Habakkuk’s First Complaint,, [This is] the burden ,,"n m <BR> 1) load, bearing, tribute, burden, lifting <BR> 1a) load, burden <BR> 1b) lifting, uplifting, that to which the soul lifts itself up <BR> 1c) bearing, carrying <BR> 1d) tribute, that which is carried or brought or borne <BR> 2) utterance, oracle, burden <BR> Massa = |burden| <BR> n pr m <BR> 3) (BDB) a son of Ishmael"
299456,0,299456,Hebrew,22733,אֲשֶׁ֣ר,’ă·šer,Pro-r,Pronoun - relative,834,,,, that ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
299458,0,299457,Hebrew,22733,חֲבַקּ֖וּק,ḥă·ḇaq·qūq,N-proper-ms,Noun - proper - masculine singular,2265,,,, Habakkuk ,,Habakkuk = |embrace|<BR> 1) a prophet of Israel who wrote the book by that name; probably lived about the 12th or 13th year of the reign of Josiah
299459,0,299458,Hebrew,22733,הַנָּבִֽיא׃,han·nā·ḇî,Art | N-ms,Article | Noun - masculine singular,5030,,,, the prophet ,,"1) spokesman, speaker, prophet <BR> 1a) prophet <BR> 1b) false prophet <BR> 1c) heathen prophet"
299457,0,299459,Hebrew,22733,חָזָ֔ה,ḥā·zāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,2372,,,, received in a vision : ,,"1) to see, perceive, look, behold, prophesy, provide <BR> 1a) (Qal) <BR> 1a1) to see, behold <BR> 1a2) to see as a seer in the ecstatic state <BR> 1a3) to see, perceive <BR> 1a3a) with the intelligence <BR> 1a3b) to see (by experience) <BR> 1a3c) to provide"
299460,0,299460,Hebrew,22734,עַד־,‘aḏ-,Prep,Preposition,5704,Habakkuk 1:2,,, How long ,,"prep<BR> 1) as far as, even to, until, up to, while, as far as <BR> 1a) of space <BR> 1a1) as far as, up to, even to <BR> 1b) in combination <BR> 1b1) from...as far as, both...and (with 'min' -from) <BR> 1c) of time <BR> 1c1) even to, until, unto, till, during, end <BR> 1d) of degree <BR> 1d1) even to, to the degree of, even like <BR> conj <BR> 2) until, while, to the point that, so that even"
299461,0,299461,Hebrew,22734,אָ֧נָה,’ā·nāh,Adv,Adverb,575,,,," . . . , ",,"1) where?, whither? (of place) <BR> 2) when?, until when?, how long? (of time)"
299462,0,299462,Hebrew,22734,יְהוָ֛ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,," O LORD , ",,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
299463,0,299463,Hebrew,22734,שִׁוַּ֖עְתִּי,šiw·wa‘·tî,V-Piel-Perf-1cs,Verb - Piel - Perfect - first person common singular,7768,,,, must I call for help ,,"1) (Piel) to cry out (for help), shout"
299464,0,299464,Hebrew,22734,וְלֹ֣א,wə·lō,Conj-w | Adv-NegPrt,Conjunctive waw | Adverb - Negative particle,3808,,,, but You do not ,,"1) not, no <BR> 1a) not (with verb-absolute prohibition) <BR> 1b) not (with modifier-negation) <BR> 1c) nothing (subst) <BR> 1d) without (with particle) <BR> 1e) before (of time)"
