Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
300126,0,300126,Hebrew,22789,דְּבַר־,də·ḇar-,N-msc,Noun - masculine singular construct,1697,Zephaniah 1:1,Zephaniah Prophesies Judgment on Judah,(Matthew 13:36–43), [This is] the word ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
300127,0,300127,Hebrew,22789,יְהוָ֣ה׀,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, of the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
300128,0,300128,Hebrew,22789,אֲשֶׁ֣ר,’ă·šer,Pro-r,Pronoun - relative,834,,,, that ,,"1) (relative part.) <BR> 1a) which, who <BR> 1b) that which <BR> 2) (conj) <BR> 2a) that (in obj clause) <BR> 2b) when <BR> 2c) since <BR> 2d) as <BR> 2e) conditional if"
300129,0,300129,Hebrew,22789,הָיָ֗ה,hā·yāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,1961,,,, came ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
300130,0,300130,Hebrew,22789,אֶל־,’el-,Prep,Preposition,413,,,, to ,,"1) to, toward, unto (of motion) <BR> 2) into (limit is actually entered) <BR> 2a) in among <BR> 3) toward (of direction, not necessarily physical motion) <BR> 4) against (motion or direction of a hostile character) <BR> 5) in addition to, to <BR> 6) concerning, in regard to, in reference to, on account of <BR> 7) according to (rule or standard) <BR> 8) at, by, against (of one's presence) <BR> 9) in between, in within, to within, unto (idea of motion to)"
300131,0,300131,Hebrew,22789,צְפַנְיָה֙,ṣə·p̄an·yāh,N-proper-ms,Noun - proper - masculine singular,6846,,,, Zephaniah ,,Zephaniah = |Jehovah has treasured|<BR> 1) the 9th in order of the 12 minor prophets; descendant of king Hezekiah of Judah and prophet in the time of king Josiah of Judah <BR> 2) son of Maaseiah and second priest in the reign of king Zedekiah of Judah; succeeded Jehoiada and an officer of the temple; slain at Riblah on the capture of Jerusalem <BR> 3) father of Josiah and Hen in the time of the prophet Zechariah <BR> 4) a Levite
300132,0,300132,Hebrew,22789,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
300133,0,300133,Hebrew,22789,כּוּשִׁ֣י,kū·šî,N-proper-ms,Noun - proper - masculine singular,3569,,,," of Cushi , ",,Cushi or Ethiopian = see Cushan |their blackness|<BR> 1) one of the descendants of Cush the grandson of Noah through Ham and a member of that nation or people <BR> 2) one of Joab's couriers <BR> 3) (TWOT) Ethiopian
300134,0,300134,Hebrew,22789,בֶן־,ḇen-,N-msc,Noun - masculine singular construct,1121,,,, the son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
300135,0,300135,Hebrew,22789,גְּדַלְיָ֔ה,gə·ḏal·yāh,N-proper-ms,Noun - proper - masculine singular,1436,,,," of Gedaliah , ",,"Gedaliah = |Jehovah is great|<BR> 1) a son of Jeduthun in the time of David <BR> 2) son of Ahikam, the governor of Judea appointed by Nebuchadnezzar <BR> 3) son of Pashur, one of the chiefs of Jerusalem in the time of Jeremiah <BR> 4) son of Amariah and grandson of Hezekiah <BR> 5) a priest of the sons of Jeshua in the time of Ezra"
300136,0,300136,Hebrew,22789,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, the son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
300137,0,300137,Hebrew,22789,אֲמַרְיָ֖ה,’ă·mar·yāh,N-proper-ms,Noun - proper - masculine singular,568,,,," of Amariah , ",,"Amariah = |Jehovah speaks| or |Yah(u) has promised|<BR> 1) Zadok's grandfather <BR> 2) a head priest's son in Solomon's time <BR> 3) a chief priest under Jehoshaphat <BR> 4) Hezekiah's son, great-grandfather of Zephaniah <BR> 5) a Levite in Ezra's time <BR> 6) a Levite under Hezekiah <BR> 7) a priest in Nehemiah's time"
300138,0,300138,Hebrew,22789,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, the son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
