Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
300894,0,300893,Hebrew,22842,שְׁתַּ֙יִם֙,šə·ta·yim,Number-fd,Number - fd,8147,Haggai 1:1,A Call to Rebuild the Temple,(Ezra 5:1–5), In the second ,,"1) two <BR> 1a) two (the cardinal number) <BR> 1a1) two, both, double, twice <BR> 1b) second (the ordinal number) <BR> 1c) in combination with other numbers <BR> 1d) both (a dual number)"
300893,0,300894,Hebrew,22842,בִּשְׁנַ֤ת,biš·naṯ,Prep-b | N-fsc,Preposition-b | Noun - feminine singular construct,8141,,,, year ,,1) year <BR> 1a) as division of time <BR> 1b) as measure of time <BR> 1c) as indication of age <BR> 1d) a lifetime (of years of life)
300896,0,300895,Hebrew,22842,הַמֶּ֔לֶךְ,ham·me·leḵ,Art | N-ms,Article | Noun - masculine singular,4428,,,, of the reign ,,1) king
300895,0,300896,Hebrew,22842,לְדָרְיָ֣וֶשׁ,lə·ḏā·rə·yā·weš,Prep-l | N-proper-ms,Preposition-l | Noun - proper - masculine singular,1867,,,," of Darius , ",,"Darius = |lord|<BR> 1) Darius the Mede, the son of Ahasuerus, king of the Chaldeans, who succeeded to the Babylonian kingdom on the death of Belshazzar; probably the same as |Astyages| the last king of the Medes (538 BC) <BR> 2) Darius, the son of Hystaspes, the founder of the Perso-Arian dynasty (521 BC) <BR> 3) Darius II or Darius III <BR> 3a) Darius II, Nothus (Ochus) was king of Persia during the time of Nehemiah (424/3-405/4 BC). Darius II is the most probable because he is mentioned by Nehemiah and ruled during the time of Nehemiah <BR> 3b) Darius III, Codomannus was king of Persia during its last years at the time of Alexander the Great and was his opponent (336-330 BC)"
300900,0,300897,Hebrew,22842,אֶחָ֖ד,’e·ḥāḏ,Number-ms,Number - masculine singular,259,,,, on the first ,,"1) one (number) <BR> 1a) one (number) <BR> 1b) each, every <BR> 1c) a certain <BR> 1d) an (indefinite article) <BR> 1e) only, once, once for all <BR> 1f) one...another, the one...the other, one after another, one by one <BR> 1g) first <BR> 1h) eleven (in combination), eleventh (ordinal)"
300901,0,300898,Hebrew,22842,לַחֹ֑דֶשׁ,la·ḥō·ḏeš,"Prep-l, Art | N-ms","Preposition-l, Article | Noun - masculine singular",2320,,,, . . . ,,"1) the new moon, month, monthly <BR> 1a) the first day of the month <BR> 1b) the lunar month"
300899,0,300899,Hebrew,22842,בְּי֥וֹם,bə·yō·wm,Prep-b | N-ms,Preposition-b | Noun - masculine singular,3117,,,, day ,,"1) day, time, year <BR> 1a) day (as opposed to night) <BR> 1b) day (24 hour period) <BR> 1b1) as defined by evening and morning in Genesis 1 <BR> 1b2) as a division of time <BR> 1b2a) a working day, a day's journey <BR> 1c) days, lifetime (pl.) <BR> 1d) time, period (general) <BR> 1e) year <BR> 1f) temporal references <BR> 1f1) today <BR> 1f2) yesterday <BR> 1f3) tomorrow"
300898,0,300900,Hebrew,22842,הַשִּׁשִּׁ֔י,haš·šiš·šî,Art | Number-oms,Article | Number - ordinal masculine singular,8345,,,, of the sixth ,,1) sixth <BR> 1a) sixth (ordinal number) <BR> 1b) sixth (as fraction)
300897,0,300901,Hebrew,22842,בַּחֹ֙דֶשׁ֙,ba·ḥō·ḏeš,"Prep-b, Art | N-ms","Preposition-b, Article | Noun - masculine singular",2320,,,," month , ",,"1) the new moon, month, monthly <BR> 1a) the first day of the month <BR> 1b) the lunar month"
300903,0,300902,Hebrew,22842,דְבַר־,ḏə·ḇar-,N-msc,Noun - masculine singular construct,1697,,,, the word ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
300904,0,300903,Hebrew,22842,יְהוָ֜ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, of the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
