Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
301494,0,301493,Hebrew,22880,הַשְּׁמִינִ֔י,haš·šə·mî·nî,Art | Number-oms,Article | Number - ordinal masculine singular,8066,Zechariah 1:1,A Call to Repentance,(Jeremiah 3:11–25; Hosea 14:1–3), In the eighth ,,1) eighth (ordinal number)
301493,0,301494,Hebrew,22880,בַּחֹ֙דֶשׁ֙,ba·ḥō·ḏeš,"Prep-b, Art | N-ms","Preposition-b, Article | Noun - masculine singular",2320,,,, month ,,"1) the new moon, month, monthly <BR> 1a) the first day of the month <BR> 1b) the lunar month"
301496,0,301495,Hebrew,22880,שְׁתַּ֖יִם,šə·ta·yim,Number-fd,Number - fd,8147,,,, of the second ,,"1) two <BR> 1a) two (the cardinal number) <BR> 1a1) two, both, double, twice <BR> 1b) second (the ordinal number) <BR> 1c) in combination with other numbers <BR> 1d) both (a dual number)"
301495,0,301496,Hebrew,22880,בִּשְׁנַ֥ת,biš·naṯ,Prep-b | N-fsc,Preposition-b | Noun - feminine singular construct,8141,,,, year ,,1) year <BR> 1a) as division of time <BR> 1b) as measure of time <BR> 1c) as indication of age <BR> 1d) a lifetime (of years of life)
301497,0,301497,Hebrew,22880,לְדָרְיָ֑וֶשׁ,lə·ḏā·rə·yā·weš,Prep-l | N-proper-ms,Preposition-l | Noun - proper - masculine singular,1867,,,," of Darius , ",,"Darius = |lord|<BR> 1) Darius the Mede, the son of Ahasuerus, king of the Chaldeans, who succeeded to the Babylonian kingdom on the death of Belshazzar; probably the same as |Astyages| the last king of the Medes (538 BC) <BR> 2) Darius, the son of Hystaspes, the founder of the Perso-Arian dynasty (521 BC) <BR> 3) Darius II or Darius III <BR> 3a) Darius II, Nothus (Ochus) was king of Persia during the time of Nehemiah (424/3-405/4 BC). Darius II is the most probable because he is mentioned by Nehemiah and ruled during the time of Nehemiah <BR> 3b) Darius III, Codomannus was king of Persia during its last years at the time of Alexander the Great and was his opponent (336-330 BC)"
301499,0,301498,Hebrew,22880,דְבַר־,ḏə·ḇar-,N-msc,Noun - masculine singular construct,1697,,,, the word ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
301500,0,301499,Hebrew,22880,יְהוָ֗ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, of the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
301498,0,301500,Hebrew,22880,הָיָ֣ה,hā·yāh,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,1961,,,, came ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
301501,0,301501,Hebrew,22880,אֶל־,’el-,Prep,Preposition,413,,,, to ,,"1) to, toward, unto (of motion) <BR> 2) into (limit is actually entered) <BR> 2a) in among <BR> 3) toward (of direction, not necessarily physical motion) <BR> 4) against (motion or direction of a hostile character) <BR> 5) in addition to, to <BR> 6) concerning, in regard to, in reference to, on account of <BR> 7) according to (rule or standard) <BR> 8) at, by, against (of one's presence) <BR> 9) in between, in within, to within, unto (idea of motion to)"
301507,0,301502,Hebrew,22880,הַנָּבִ֖יא,han·nā·ḇî,Art | N-ms,Article | Noun - masculine singular,5030,,,, the prophet ,,"1) spokesman, speaker, prophet <BR> 1a) prophet <BR> 1b) false prophet <BR> 1c) heathen prophet"
301502,0,301503,Hebrew,22880,זְכַרְיָה֙,zə·ḵar·yāh,N-proper-ms,Noun - proper - masculine singular,2148,,,, Zechariah ,,"Zechariah = |Jehovah remembers|<BR> 1) 11th in order of the minor prophets; a priest, son of Berechiah and grandson of Iddo, who, along with Haggai, directed the rebuilding of the temple in the days of Zerubbabel <BR> 2) king of Israel, son of Jeroboam II <BR> 3) son of Meshelemiah of Shelemiah, a Korhite, and keeper of the north gate of the tabernacle of the congregation <BR> 4) one of the sons of Jehiel <BR> 5) a Levite of the second order in the temple band in the time of David <BR> 6) one of the princes of Judah in the reign of Jehoshaphat <BR> 7) son of the high priest Jehoiada, in the reign of Joash king of Judah, who was stoned in the court of the temple <BR> 8) a Kohathite Levite in the reign of Josiah <BR> 9) the leader of the sons of Pharosh who returned with Ezra <BR> 10) son of Bebai <BR> 11) one of the chiefs of the people whom Ezra summoned in council at the river Ahava; stood at Ezra's left hand when Ezra expounded the law to the people <BR> 12) one of the family of Elam who had married a foreign wife after the captivity <BR> 13) ancestor of Athaiah or Uthai <BR> 14) a Shilonite, descendant of Perez, grandfather of Athaiah <BR> 15) a priest, son of Pashur <BR> 16) the representative of the priestly family of Iddo in the days of Joiakim the son of Jeshua; possibly the same as 1 above <BR> 17) one of the priests, son of Jonathan, who blew with the trumpets at the dedication of the city wall by Ezra and Nehemiah <BR> 18) a chief of the Reubenites at the time of the captivity by Tiglath-pileser <BR> 19) one of the priests who accompanied the ark from the house of Obed-edom <BR> 20) son of Isshiah of Jesiah, a Kohathite Levite descended from Uzziel <BR> 21) 4th son of Hosah, of the children of Merari <BR> 22) a Manassite, father of Iddo <BR> 23) father of Jahaziel. He prophesied in the spirit <BR> 24) one of the sons of Jehoshaphat <BR> 25) a prophet in the reign of Uzziah, who appears to have acted as the king's counsellor, but of whom nothing is known <BR> 26) father of Abijah or Abi, Hezekiah's mother <BR> 27) one of the family of Asaph in the reign of Hezekiah <BR> 28) one of the rulers of the temple in the reign of Josiah <BR> 29) son of Jeberechiah who was taken by the prophet Isaiah as one of the 'faithful witnesses to record' when he wrote concerning Maher-shalal-hash-baz"
301503,0,301504,Hebrew,22880,בֶּן־,ben-,N-msc,Noun - masculine singular construct,1121,,,, son ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
301504,0,301505,Hebrew,22880,בֶּ֣רֶכְיָ֔ה,be·reḵ·yāh,N-proper-ms,Noun - proper - masculine singular,1296,,,," of Berechiah , ",,"Berachiah or Berechiah = |Jehovah blesses|<BR> 1) a son of Zerubbabel <BR> 2) a Levite who returned for the exile <BR> 3) father of Meshullam, one of Nehemiah's chiefs who assisted in rebuilding the walls of Jerusalem <BR> 4) father of Zechariah <BR> 5) a Gershonite Levite, the father of Asaph, the singer, doorkeeper of the ark <BR> 6) an Ephraimite chief in the time of Ahaz"
