Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
304621,0,304621,Hebrew,23091,מַשָּׂ֥א,maś·śā,N-msc,Noun - masculine singular construct,4853,Malachi 1:1,The LORD’s Love for Israel,(Genesis 25:19–28; Romans 9:6–29), [This is] the burden ,,"n m <BR> 1) load, bearing, tribute, burden, lifting <BR> 1a) load, burden <BR> 1b) lifting, uplifting, that to which the soul lifts itself up <BR> 1c) bearing, carrying <BR> 1d) tribute, that which is carried or brought or borne <BR> 2) utterance, oracle, burden <BR> Massa = |burden| <BR> n pr m <BR> 3) (BDB) a son of Ishmael"
304622,0,304622,Hebrew,23091,דְבַר־,ḏə·ḇar-,N-msc,Noun - masculine singular construct,1697,,,, of the word ,,"1) speech, word, speaking, thing <BR> 1a) speech <BR> 1b) saying, utterance <BR> 1c) word, words <BR> 1d) business, occupation, acts, matter, case, something, manner (by extension)"
304623,0,304623,Hebrew,23091,יְהוָ֖ה,Yah·weh,N-proper-ms,Noun - proper - masculine singular,3068,,,, of the LORD ,,Jehovah = |the existing One|<BR> 1) the proper name of the one true God <BR> 1a) unpronounced except with the vowel pointings of H0136
304624,0,304624,Hebrew,23091,אֶל־,’el-,Prep,Preposition,413,,,, to ,,"1) to, toward, unto (of motion) <BR> 2) into (limit is actually entered) <BR> 2a) in among <BR> 3) toward (of direction, not necessarily physical motion) <BR> 4) against (motion or direction of a hostile character) <BR> 5) in addition to, to <BR> 6) concerning, in regard to, in reference to, on account of <BR> 7) according to (rule or standard) <BR> 8) at, by, against (of one's presence) <BR> 9) in between, in within, to within, unto (idea of motion to)"
304625,0,304625,Hebrew,23091,יִשְׂרָאֵ֑ל,yiś·rā·’êl,N-proper-ms,Noun - proper - masculine singular,3478,,,, Israel ,,Israel = |God prevails|<BR> 1) the second name for Jacob given to him by God after his wrestling with the angel at Peniel <BR> 2) the name of the descendants and the nation of the descendants of Jacob <BR> 2a) the name of the nation until the death of Solomon and the split <BR> 2b) the name used and given to the northern kingdom consisting of the 10 tribes under Jeroboam; the southern kingdom was known as Judah <BR> 2c) the name of the nation after the return from exile
304626,0,304626,Hebrew,23091,בְּיַ֖ד,bə·yaḏ,Prep-b | N-fsc,Preposition-b | Noun - feminine singular construct,3027,,,, through ,,"1) hand <BR> 1a) hand (of man)<BR> 1b) strength, power (fig.) <BR> 1c) side (of land), part, portion (metaph.) (fig.) <BR> 1d) (various special, technical senses) <BR> 1d1) sign, monument <BR> 1d2) part, fractional part, share <BR> 1d3) time, repetition <BR> 1d4) axle-trees, axle <BR> 1d5) stays, support (for laver) <BR> 1d6) tenons (in tabernacle) <BR> 1d7) a phallus, a hand (meaning unsure) <BR> 1d8) wrists"
304627,0,304627,Hebrew,23091,מַלְאָכִֽי׃,mal·’ā·ḵî,N-proper-ms,Noun - proper - masculine singular,4401,,,, Malachi : ,<i>Malachi</i> means <i>My messenger</i>.,Malachi = |My messenger|<BR> 1) the prophet who wrote the last book of the Old Testament; nothing else is known
304628,0,304628,Hebrew,23092,אָהַ֤בְתִּי,’ā·haḇ·tî,V-Qal-Perf-1cs,Verb - Qal - Perfect - first person common singular,157,Malachi 1:2,,," “ I have loved you , ” ",,"1) to love <BR> 1a) (Qal) <BR> 1a1) human love for another, includes family, and sexual <BR> 1a2) human appetite for objects such as food, drink, sleep, wisdom <BR> 1a3) human love for or to God <BR> 1a4) act of being a friend <BR> 1a4a) lover (participle) <BR> 1a4b) friend (participle) <BR> 1a5) God's love toward man <BR> 1a5a) to individual men <BR> 1a5b) to people Israel <BR> 1a5c) to righteousness <BR> 1b) (Niphal) <BR> 1b1) lovely (participle) <BR> 1b2) loveable (participle) <BR> 1c) (Piel) <BR> 1c1) friends <BR> 1c2) lovers (fig. of adulterers) <BR> 2) to like"
304629,0,304629,Hebrew,23092,אֶתְכֶם֙,’eṯ·ḵem,DirObjM | 2mp,Direct object marker | second person masculine plural,853,,,, - ,,"1) sign of the definite direct object, not translated in English but generally preceding and indicating the accusative"
304630,0,304630,Hebrew,23092,אָמַ֣ר,’ā·mar,V-Qal-Perf-3ms,Verb - Qal - Perfect - third person masculine singular,559,,,, says ,,"1) to say, speak, utter <BR> 1a) (Qal) to say, to answer, to say in one's heart, to think, to command, to promise, to intend <BR> 1b) (Niphal) to be told, to be said, to be called <BR> 1c) (Hithpael) to boast, to act proudly <BR> 1d) (Hiphil) to avow, to avouch"
