Heb Sort,Grk Sort,BSB Sort,Language,Vs,Original Word,Translit,Parsing,Parsing Detailed,Strongs,Verse,Heading,Cross References,BSB Version,Footnotes,BDB / Thayers
99921,0,99920,Hebrew,7129,בִּימֵי֙,bî·mê,Prep-b | N-mpc,Preposition-b | Noun - masculine plural construct,3117,Ruth 1:1,Naomi Becomes a Widow,(1 Timothy 5:3–16), In the days ,,"1) day, time, year <BR> 1a) day (as opposed to night) <BR> 1b) day (24 hour period) <BR> 1b1) as defined by evening and morning in Genesis 1 <BR> 1b2) as a division of time <BR> 1b2a) a working day, a day's journey <BR> 1c) days, lifetime (pl.) <BR> 1d) time, period (general) <BR> 1e) year <BR> 1f) temporal references <BR> 1f1) today <BR> 1f2) yesterday <BR> 1f3) tomorrow"
99923,0,99921,Hebrew,7129,הַשֹּׁפְטִ֔ים,haš·šō·p̄ə·ṭîm,Art | V-Qal-Prtcpl-mp,Article | Verb - Qal - Participle - masculine plural,8199,,,, when the judges ,,"1) to judge, govern, vindicate, punish <BR> 1a) (Qal)<BR> 1a1) to act as law-giver or judge or governor (of God, man) <BR> 1a1a) to rule, govern, judge <BR> 1a2) to decide controversy (of God, man) <BR> 1a3) to execute judgment <BR> 1a3a) discriminating (of man) <BR> 1a3b) vindicating <BR> 1a3c) condemning and punishing <BR> 1a3d) at theophanic advent for final judgment <BR> 1b) (Niphal) <BR> 1b1) to enter into controversy, plead, have controversy together <BR> 1b2) to be judged <BR> 1c) (Poel) judge, opponent-at-law (participle)"
99922,0,99922,Hebrew,7129,שְׁפֹ֣ט,šə·p̄ōṭ,V-Qal-Inf,Verb - Qal - Infinitive construct,8199,,,," ruled , ",,"1) to judge, govern, vindicate, punish <BR> 1a) (Qal)<BR> 1a1) to act as law-giver or judge or governor (of God, man) <BR> 1a1a) to rule, govern, judge <BR> 1a2) to decide controversy (of God, man) <BR> 1a3) to execute judgment <BR> 1a3a) discriminating (of man) <BR> 1a3b) vindicating <BR> 1a3c) condemning and punishing <BR> 1a3d) at theophanic advent for final judgment <BR> 1b) (Niphal) <BR> 1b1) to enter into controversy, plead, have controversy together <BR> 1b2) to be judged <BR> 1c) (Poel) judge, opponent-at-law (participle)"
99924,0,99923,Hebrew,7129,וַיְהִ֥י,way·hî,Conj-w | V-Qal-ConsecImperf-3ms,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular,1961,,,, . . . ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
99920,0,99924,Hebrew,7129,וַיְהִ֗י,way·hî,Conj-w | V-Qal-ConsecImperf-3ms,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular,1961,,,, there was ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
99925,0,99925,Hebrew,7129,רָעָ֖ב,rā·‘āḇ,N-ms,Noun - masculine singular,7458,,,, a famine ,,"1) famine, hunger <BR> 1a) famine (in land, nation) <BR> 1a1) of Jehovah's word (fig) <BR> 1b) hunger (of individuals)"
99926,0,99926,Hebrew,7129,בָּאָ֑רֶץ,bā·’ā·reṣ,"Prep-b, Art | N-fs","Preposition-b, Article | Noun - feminine singular",776,,,, in the land . ,,"1) land, earth<BR> 1a) earth <BR> 1a1) whole earth (as opposed to a part) <BR> 1a2) earth (as opposed to heaven) <BR> 1a3) earth (inhabitants) <BR> 1b) land <BR> 1b1) country, territory <BR> 1b2) district, region <BR> 1b3) tribal territory <BR> 1b4) piece of ground <BR> 1b5) land of Canaan, Israel <BR> 1b6) inhabitants of land <BR> 1b7) Sheol, land without return, (under) world <BR> 1b8) city (-state) <BR> 1c) ground, surface of the earth <BR> 1c1) ground <BR> 1c2) soil <BR> 1d) (in phrases) <BR> 1d1) people of the land <BR> 1d2) space or distance of country (in measurements of distance) <BR> 1d3) level or plain country <BR> 1d4) land of the living <BR> 1d5) end(s) of the earth <BR> 1e) (almost wholly late in usage) <BR> 1e1) lands, countries <BR> 1e1a) often in contrast to Canaan"
99928,0,99927,Hebrew,7129,אִ֜ישׁ,’îš,N-ms,Noun - masculine singular,376,,,, And a certain man ,,"1) man <BR> 1a) man, male (in contrast to woman, female) <BR> 1b) husband <BR> 1c) human being, person (in contrast to God) <BR> 1d) servant <BR> 1e) mankind <BR> 1f) champion <BR> 1g) great man <BR> 2) whosoever <BR> 3) each (adjective)"
99929,0,99928,Hebrew,7129,מִבֵּ֧ית,mib·bêṯ,Prep,Preposition,1035,,,, from ,,"Beth-lehem = |house of bread (food)|<BR> 1) a city in Judah, birthplace of David <BR> 2) a place in Zebulun"
99930,0,99929,Hebrew,7129,לֶ֣חֶם,le·ḥem,Prep | N-proper-fs,Preposition | Noun - proper - feminine singular,1035,,,, Bethlehem ,,"Beth-lehem = |house of bread (food)|<BR> 1) a city in Judah, birthplace of David <BR> 2) a place in Zebulun"
99931,0,99930,Hebrew,7129,יְהוּדָ֗ה,yə·hū·ḏāh,N-proper-ms,Noun - proper - masculine singular,3063,,,," in Judah , ",,Judah = |praised|<BR> 1) the son of Jacob by Leah <BR> 2) the tribe descended from Judah the son of Jacob <BR> 3) the territory occupied by the tribe of Judah <BR> 4) the kingdom comprised of the tribes of Judah and Benjamin which occupied the southern part of Canaan after the nation split upon the death of Solomon <BR> 5) a Levite in Ezra's time <BR> 6) an overseer of Jerusalem in the time of Nehemiah <BR> 7) a Levite musician in the time of Nehemiah <BR> 8) a priest in the time of Nehemiah
99936,0,99931,Hebrew,7129,וְאִשְׁתּ֖וֹ,wə·’iš·tōw,Conj-w | N-fsc | 3ms,Conjunctive waw | Noun - feminine singular construct | third person masculine singular,802,,,, with his wife ,,"1) woman, wife, female <BR> 1a) woman (opposite of man) <BR> 1b) wife (woman married to a man)<BR> 1c) female (of animals) <BR> 1d) each, every (pronoun)"
99937,0,99932,Hebrew,7129,וּשְׁנֵ֥י,ū·šə·nê,Conj-w | Number-mdc,Conjunctive waw | Number - masculine dual construct,8147,,,, and two ,,"1) two <BR> 1a) two (the cardinal number) <BR> 1a1) two, both, double, twice <BR> 1b) second (the ordinal number) <BR> 1c) in combination with other numbers <BR> 1d) both (a dual number)"
99938,0,99933,Hebrew,7129,בָנָֽיו׃,ḇā·nāw,N-mpc | 3ms,Noun - masculine plural construct | third person masculine singular,1121,,,," sons , ",,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
99927,0,99934,Hebrew,7129,וַיֵּ֨לֶךְ,way·yê·leḵ,Conj-w | V-Qal-ConsecImperf-3ms,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular,1980,,,, went ,,"1) to go, walk, come <BR> 1a) (Qal) <BR> 1a1) to go, walk, come, depart, proceed, move, go away <BR> 1a2) to die, live, manner of life (fig.) <BR> 1b) (Piel) <BR> 1b1) to walk <BR> 1b2) to walk (fig.) <BR> 1c) (Hithpael) <BR> 1c1) to traverse <BR> 1c2) to walk about <BR> 1d) (Niphal) to lead, bring, lead away, carry, cause to walk"
99932,0,99935,Hebrew,7129,לָגוּר֙,lā·ḡūr,Prep-l | V-Qal-Inf,Preposition-l | Verb - Qal - Infinitive construct,1481,,,, to reside ,,"1) to sojourn, abide, dwell in, dwell with, remain, inhabit, be a stranger, be continuing, surely <BR> 1a) (Qal) <BR> 1a1) to sojourn, dwell for a time <BR> 1a2) to abide, stay, temporarily dwell <BR> 1b) (Hithpolel) <BR> 1b1) to seek hospitality with <BR> 1b2) to assemble oneself <BR> 2) to stir up trouble, strife, quarrel, gather together <BR> 2a) (Qal) <BR> 2a1) to stir up strife <BR> 2a2) to quarrel <BR> 2b) (Hithpolel) to excite oneself <BR> 3) to dread, fear, stand in awe, be afraid <BR> 3a) (Qal) <BR> 3a1) to fear, be afraid <BR> 3a2) to be in awe, stand in awe"
99933,0,99936,Hebrew,7129,בִּשְׂדֵ֣י,biś·ḏê,Prep-b | N-mpc,Preposition-b | Noun - masculine plural construct,7704,,,, in the land ,,"1) field, land <BR> 1a) cultivated field<BR> 1b) of home of wild beasts <BR> 1c) plain (opposed to mountain) <BR> 1d) land (opposed to sea)"
99934,0,99937,Hebrew,7129,מוֹאָ֔ב,mō·w·’āḇ,N-proper-fs,Noun - proper - feminine singular,4124,,,, of Moab . ,,Moab = |of his father| <BR> n pr m <BR> 1) a son of Lot by his eldest daughter <BR> 2) the nation descended from the son of Lot <BR> n pr loc <BR> 3) the land inhabited by the descendants of the son of Lot
99935,0,99938,Hebrew,7129,ה֥וּא,hū,Pro-3ms,Pronoun - third person masculine singular,1931,,,, - ,,"pron 3p s<BR> 1) he, she, it <BR> 1a) himself (with emphasis) <BR> 1b) resuming subj with emphasis <BR> 1c) (with minimum emphasis following predicate) <BR> 1d) (anticipating subj) <BR> 1e) (emphasising predicate) <BR> 1f) that, it (neuter) demons pron <BR> 2) that (with article)"
99940,0,99939,Hebrew,7130,הָאִ֣ישׁ,hā·’îš,Art | N-ms,Article | Noun - masculine singular,376,Ruth 1:2,,, The man’s ,,"1) man <BR> 1a) man, male (in contrast to woman, female) <BR> 1b) husband <BR> 1c) human being, person (in contrast to God) <BR> 1d) servant <BR> 1e) mankind <BR> 1f) champion <BR> 1g) great man <BR> 2) whosoever <BR> 3) each (adjective)"
99939,0,99940,Hebrew,7130,וְשֵׁ֣ם,wə·šêm,Conj-w | N-msc,Conjunctive waw | Noun - masculine singular construct,8034,,,, name ,,"1) name <BR> 1a) name <BR> 1b) reputation, fame, glory <BR> 1c) the Name (as designation of God) <BR> 1d) memorial, monument"
99941,0,99941,Hebrew,7130,אֱ‍ֽלִימֶ֡לֶךְ,’ĕlî·me·leḵ,N-proper-ms,Noun - proper - masculine singular,458,,,," was Elimelech , ",,Elimelech = |my God is king|<BR> 1) Naomi's husband
99943,0,99942,Hebrew,7130,אִשְׁתּ֨וֹ,’iš·tōw,N-fsc | 3ms,Noun - feminine singular construct | third person masculine singular,802,,,, his wife’s ,,"1) woman, wife, female <BR> 1a) woman (opposite of man) <BR> 1b) wife (woman married to a man)<BR> 1c) female (of animals) <BR> 1d) each, every (pronoun)"
99942,0,99943,Hebrew,7130,וְשֵׁם֩,wə·šêm,Conj-w | N-msc,Conjunctive waw | Noun - masculine singular construct,8034,,,, name ,,"1) name <BR> 1a) name <BR> 1b) reputation, fame, glory <BR> 1c) the Name (as designation of God) <BR> 1d) memorial, monument"
99944,0,99944,Hebrew,7130,נָעֳמִ֜י,nā·‘o·mî,N-proper-fs,Noun - proper - feminine singular,5281,,,," was Naomi , ",,"Naomi = |my delight|<BR> 1) wife of Elimelech, mother of Mahlon and Chilion, and mother-in-law of Ruth and Orpah"
99945,0,99945,Hebrew,7130,וְשֵׁ֥ם,wə·šêm,Conj-w | N-msc,Conjunctive waw | Noun - masculine singular construct,8034,,,, and the names ,,"1) name <BR> 1a) name <BR> 1b) reputation, fame, glory <BR> 1c) the Name (as designation of God) <BR> 1d) memorial, monument"
99946,0,99946,Hebrew,7130,שְׁנֵֽי־,šə·nê-,Number-mdc,Number - masculine dual construct,8147,,,, of his two ,,"1) two <BR> 1a) two (the cardinal number) <BR> 1a1) two, both, double, twice <BR> 1b) second (the ordinal number) <BR> 1c) in combination with other numbers <BR> 1d) both (a dual number)"
99947,0,99947,Hebrew,7130,בָנָ֣יו׀,ḇā·nāw,N-mpc | 3ms,Noun - masculine plural construct | third person masculine singular,1121,,,, sons ,,"1) son, grandson, child, member of a group <BR> 1a) son, male child <BR> 1b) grandson <BR> 1c) children (pl. - male and female) <BR> 1d) youth, young men (pl.) <BR> 1e) young (of animals) <BR> 1f) sons (as characterisation, i.e. sons of injustice [for un- righteous men] or sons of God [for angels] <BR> 1g) people (of a nation) (pl.) <BR> 1h) of lifeless things, i.e. sparks, stars, arrows (fig.) <BR> 1i) a member of a guild, order, class"
99948,0,99948,Hebrew,7130,מַחְל֤וֹן,maḥ·lō·wn,N-proper-ms,Noun - proper - masculine singular,4248,,,, were Mahlon ,,Mahlon = |sick|<BR> 1) son of Elimelech by Naomi and first husband of Ruth
99949,0,99949,Hebrew,7130,וְכִלְיוֹן֙,wə·ḵil·yō·wn,Conj-w | N-proper-ms,Conjunctive waw | Noun - proper - masculine singular,3630,,,, and Chilion . ,,Chilion = |pining|<BR> 1) an Ephraimite and son of Elimelech by Naomi and the deceased husband of Ruth (or maybe deceased husband of Orpah)
99950,0,99950,Hebrew,7130,אֶפְרָתִ֔ים,’ep̄·rā·ṯîm,N-proper-mp,Noun - proper - masculine plural,673,,,, They were Ephrathites ,,Ephrathite = |ashiness: fruitfulness|<BR> 1) an inhabitant or descendant of Ephraim <BR> 2) an inhabitant of Bethlehem
99951,0,99951,Hebrew,7130,מִבֵּ֥ית,mib·bêṯ,Prep,Preposition,1035,,,, from ,,"Beth-lehem = |house of bread (food)|<BR> 1) a city in Judah, birthplace of David <BR> 2) a place in Zebulun"
99952,0,99952,Hebrew,7130,לֶ֖חֶם,le·ḥem,Prep | N-proper-fs,Preposition | Noun - proper - feminine singular,1035,,,, Bethlehem ,,"Beth-lehem = |house of bread (food)|<BR> 1) a city in Judah, birthplace of David <BR> 2) a place in Zebulun"
99953,0,99953,Hebrew,7130,יְהוּדָ֑ה,yə·hū·ḏāh,N-proper-ms,Noun - proper - masculine singular,3063,,,," in Judah , ",,Judah = |praised|<BR> 1) the son of Jacob by Leah <BR> 2) the tribe descended from Judah the son of Jacob <BR> 3) the territory occupied by the tribe of Judah <BR> 4) the kingdom comprised of the tribes of Judah and Benjamin which occupied the southern part of Canaan after the nation split upon the death of Solomon <BR> 5) a Levite in Ezra's time <BR> 6) an overseer of Jerusalem in the time of Nehemiah <BR> 7) a Levite musician in the time of Nehemiah <BR> 8) a priest in the time of Nehemiah
99954,0,99954,Hebrew,7130,וַיָּבֹ֥אוּ,way·yā·ḇō·’ū,Conj-w | V-Qal-ConsecImperf-3mp,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine plural,935,,,, and they entered ,,"1) to go in, enter, come, go, come in <BR> 1a) (Qal) <BR> 1a1) to enter, come in <BR> 1a2) to come <BR> 1a2a) to come with <BR> 1a2b) to come upon, fall or light upon, attack (enemy) <BR> 1a2c) to come to pass <BR> 1a3) to attain to <BR> 1a4) to be enumerated <BR> 1a5) to go <BR> 1b) (Hiphil) <BR> 1b1) to lead in <BR> 1b2) to carry in <BR> 1b3) to bring in, cause to come in, gather, cause to come, bring near, bring against, bring upon <BR> 1b4) to bring to pass <BR> 1c) (Hophal) <BR> 1c1) to be brought, brought in <BR> 1c2) to be introduced, be put"
99955,0,99955,Hebrew,7130,שְׂדֵי־,śə·ḏê-,N-mpc,Noun - masculine plural construct,7704,,,, the land ,,"1) field, land <BR> 1a) cultivated field<BR> 1b) of home of wild beasts <BR> 1c) plain (opposed to mountain) <BR> 1d) land (opposed to sea)"
99956,0,99956,Hebrew,7130,מוֹאָ֖ב,mō·w·’āḇ,N-proper-fs,Noun - proper - feminine singular,4124,,,, of Moab ,,Moab = |of his father| <BR> n pr m <BR> 1) a son of Lot by his eldest daughter <BR> 2) the nation descended from the son of Lot <BR> n pr loc <BR> 3) the land inhabited by the descendants of the son of Lot
99957,0,99957,Hebrew,7130,וַיִּֽהְיוּ־,way·yih·yū-,Conj-w | V-Qal-ConsecImperf-3mp,Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine plural,1961,,,, and settled ,,"1) to be, become, come to pass, exist, happen, fall out <BR> 1a) (Qal) <BR> 1a1) ----- <BR> 1a1a) to happen, fall out, occur, take place, come about, come to pass <BR> 1a1b) to come about, come to pass <BR> 1a2) to come into being, become <BR> 1a2a) to arise, appear, come <BR> 1a2b) to become <BR> 1a2b1) to become <BR> 1a2b2) to become like <BR> 1a2b3) to be instituted, be established <BR> 1a3) to be <BR> 1a3a) to exist, be in existence <BR> 1a3b) to abide, remain, continue (with word of place or time) <BR> 1a3c) to stand, lie, be in, be at, be situated (with word of locality) <BR> 1a3d) to accompany, be with <BR> 1b) (Niphal) <BR> 1b1) to occur, come to pass, be done, be brought about <BR> 1b2) to be done, be finished, be gone"
99958,0,99958,Hebrew,7130,שָֽׁם׃,šām,Adv,Adverb,8033,,,, there . ,,"1) there, thither <BR> 1a) there <BR> 1b) thither (after verbs of motion) <BR> 1c) from there, thence <BR> 1d) then (as an adverb of time)"
99962,0,99959,Hebrew,7131,נָעֳמִ֑י,nā·‘o·mî,N-proper-fs,Noun - proper - feminine singular,5281,Ruth 1:3,,, Then Naomi’s ,,"Naomi = |my delight|<BR> 1) wife of Elimelech, mother of Mahlon and Chilion, and mother-in-law of Ruth and Orpah"
99961,0,99960,Hebrew,7131,אִ֣ישׁ,’îš,N-msc,Noun - masculine singular construct,376,,,, husband ,,"1) man <BR> 1a) man, male (in contrast to woman, female) <BR> 1b) husband <BR> 1c) human being, person (in contrast to God) <BR> 1d) servant <BR> 1e) mankind <BR> 1f) champion <BR> 1g) great man <BR> 2) whosoever <BR> 3) each (adjective)"
99960,0,99961,Hebrew,7131,אֱלִימֶ֖לֶךְ,’ĕ·lî·me·leḵ,N-proper-ms,Noun - proper - masculine singular,458,,,, Elimelech ,,Elimelech = |my God is king|<BR> 1) Naomi's husband
